"STAND","BA_t1_m2ha","BA_obs","BA_pred_raw","BA_pred_v37corr"
"30300190L1_I01",13.283,30.431,17.9735618906624,13.7960435080186
"30300258L1_I01",9.252,14.371,14.6797481689741,10.0883799412422
"30300666L1_I01",30.051,1.704,31.8653255920381,30.8070408733944
"30300893L1_I01",21.258,19.026,20.1346920404814,17.4407070828377
"30300893S1_I01",1.386,2.009,3.48042095976585,-1.11094726796602
"30300894S1_I01",5.162,10.735,13.3027143600715,8.71134613233964
"30300895S1_I01",1.844,0.856,3.80575020553208,-0.785618022199783
"30301411L1_I01",28.838,31.97,27.1087897954057,25.824859177762
"30301411S1_I01",4.336,3.291,10.6713982774837,6.08003004975188
"30301487L1_I01",9.113,13.889,15.8664237118999,11.275055484168
"30301611L1_I01",35.172,49.082,38.8123166268928,38.7066556912491
"30301947S1_I01",8.373,3.298,20.245089501014,15.6537212732822
"30302630L1_I01",17.573,1.173,18.9444826511683,15.5650029385245
"30303253L1_I01",31.515,28.081,34.1573811983706,33.3714341517269
"30303332L1_I01",22.592,26.412,21.0335353221688,18.5877050465251
"30303552L1_I01",22.286,37.056,24.3664295315428,21.8636762178991
"30303590S1_I01",5.205,6.17,13.6212265767134,9.02985834898156
"30303774L1_I01",38.498,25.33,41.1535611934205,41.1535611934205
"30303837L1_I01",76.071,74.665,77.8257240624914,77.8257240624914
"30303837S1_I01",2.15,2.909,6.63865005415899,2.04728182642712
"30303838S1_I01",1.643,2.834,5.11641949640199,0.525051268670124
"30304123S1_I01",0.725,2.59,2.89441602880775,-1.69695219892412
"30304173L1_I01",42.004,43.911,39.4747991888953,39.4747991888953
"30305041S1_I01",5.577,3.37,13.9775117289684,9.38614350123657
"30305043S1_I01",6.017,6.673,14.5756089874742,9.98424075974235
"30305303L1_I01",33.057,31.16,34.298397087455,33.7992975068113
"30305519L1_I01",20.645,21.213,21.301515481095,18.4934984244513
"30305561L1_I01",24.925,31.137,28.5582305293646,26.5463919127208
"30305563S1_I01",0.598,5.073,2.2754392001075,-2.31592902762436
"30305582S1_I01",1.559,1.471,4.93771907139681,0.346350843664948
"30305857L1_I01",3.922,4.603,5.70562822189737,1.1142599941655
"30305995L1_I01",18.357,25.816,23.3182000501191,20.0845623694753
"30306051L1_I01",6.238,9.19,9.4788168061764,4.88744857844453
"30306301L1_I01",32.909,39.037,38.5231374929276,37.9965065082839
"30306301S1_I01",5.12,4.692,13.129390787038,8.53802255930612
"30306489L1_I01",7.602,9.14,10.5866043579991,5.99523613026721
"30306639L1_I01",26.207,23.181,25.4892102087184,23.7158530780747
"30306718L1_I01",12.235,16.123,15.1490948332009,10.7766243465572
"30306915L1_I01",22.608,25.836,21.8764479460646,19.4335940384209
"30307385S1_I01",6.858,7.162,16.7456186762371,12.1542504485052
"30307387L1_I01",21.773,21.856,23.0162197448487,20.418036632205
"30307634S1_I01",1.569,2.093,5.42387217839005,0.832503950658184
"30307635S1_I01",1.231,2.303,4.18499092299051,-0.406377304741355
"30307641S1_I01",3.45,3.587,8.29102395775775,3.69965573002589
"30307770L1_I01",40.713,46.114,37.0937024400872,37.0937024400872
"30307837L1_I01",1.418,4.741,3.24227807047296,-1.3490901572589
"30308036S1_I01",10.004,11.044,19.9088807317541,15.3175125040222
"30308077L1_I01",30.197,30.596,32.9222900073674,31.8911646467236
"30308145L1_I01",18.48,21.399,23.3430777909317,20.132320939288
"30308209S1_I01",3.922,4.108,9.49347564154409,4.90210741381223
