CN,LAT,LON,BGI
18039567010661,45.13896,-67.19388,3199.0
18039671010661,45.16674,-67.1661,0.0
18039708010661,45.13896,-67.19388,3199.0
18039756010661,44.94452,-67.27721,3479.0
18039840010661,44.9723,-67.27721,3687.0
18039929010661,45.11119,-67.38833,4064.0
18039980010661,45.11119,-67.41611,3536.0
18040071010661,44.55563,-67.97167,3485.0
18040126010661,44.52786,-67.97167,3067.0
18040204010661,44.9723,-67.4161,3768.0
18040256010661,44.55563,-67.69388,3860.0
18040333010661,45.13896,-67.47166,3172.0
18040402010661,44.55563,-67.88833,3265.0
18040451010661,45.19452,-67.555,3787.0
18040542010661,44.63897,-67.55499,4102.0
18040544010661,44.63897,-67.66611,3737.0
18040605010661,45.11119,-67.52722,4201.0
18040675010661,45.13896,-67.58277,3166.0
18040752010661,44.75008,-67.38832,3613.0
18040841010661,44.66675,-67.38832,4032.0
18040878010661,44.66674,-67.805,3602.0
18040926010661,44.77785,-67.49944,3491.0
18041004010661,44.7223,-67.33277,3433.0
18041097010661,45.00008,-67.61055,3859.0
18041130010661,45.02785,-67.61055,3612.0
18041226010661,45.52785,-67.72167,3960.0
18041292010661,45.5834,-67.83279,3785.0
18041343010661,45.55562,-67.86057,2669.0
18041438010661,45.36118,-67.63833,3915.0
18041494010661,45.36118,-67.69389,4677.0
18041544010661,45.36118,-67.74945,4375.0
18041594010661,45.36118,-67.86056,4378.0
18041672010661,45.36118,-67.9439,4261.0
18041768010661,45.25007,-67.63833,3697.0
18041836010661,45.25007,-67.66611,4308.0
18041838010661,45.25007,-67.74945,4331.0
18041897010661,45.19452,-67.72167,4244.0
18041962010661,44.94452,-67.30499,3591.0
18042075010661,45.66673,-67.91612,3883.0
18042089010661,44.88897,-67.33277,3873.0
18042201010661,44.88897,-67.36055,3561.0
18042251010661,44.94452,-67.36055,2457.0
18042253010661,44.88897,-67.4161,3805.0
18042260010661,44.88897,-67.44388,3518.0
18042355010661,44.75007,-67.94389,3870.0
18042409010661,44.88896,-67.97167,3129.0
18042458010661,44.7223,-67.55499,2896.0
18042501010661,44.80563,-67.61055,3665.0
18042555010661,44.80563,-67.66611,3663.0
18042616010661,44.77785,-67.66611,2830.0
18042675010661,44.83341,-67.63833,3331.0
18042756010661,44.69452,-67.66611,3817.0
18042758010661,44.83341,-67.11054,3625.0
18042846010661,44.86119,-67.13832,3904.0
18042943010661,44.7223,-68.05501,3145.0
18042987010661,44.83341,-68.02723,4042.0
18043071010661,45.02786,-67.13832,3718.0
18043169010661,45.47229,-67.69389,4728.0
18043261010661,45.63895,-67.69389,4278.0
18043334010661,44.88896,-68.05501,3951.0
18043370010661,44.83341,-68.08279,4393.0
18043416010661,45.25007,-67.97167,3855.0
18043513010661,45.11118,-67.99945,3911.0
18043596010661,44.86118,-67.94389,3874.0
18043681010661,45.0834,-67.97167,4031.0
18043724010661,45.05563,-67.83278,4444.0
18043809010661,44.83341,-67.99945,3622.0
18043853010661,44.77785,-67.99945,3852.0
18043925010661,44.7223,-67.97167,3937.0
18043945010661,45.66673,-67.91612,3883.0
18044025010661,45.41673,-67.91612,3827.0
18044094010661,44.91674,-67.91612,3263.0
18044135010661,44.83341,-67.91612,3685.0
18044137010661,44.83341,-67.91612,3685.0
18044182010661,44.77785,-67.94389,4027.0
18044208010661,44.77785,-67.91612,3632.0
18044210010661,44.75007,-67.88834,3625.0
18044277010661,44.52786,-67.94389,3324.0
18044386010661,44.52786,-67.86056,0.0
18044434010661,45.61118,-67.80501,3994.0
18044510010661,45.5834,-67.74945,3993.0
18044598010661,45.38896,-67.86056,3633.0
18044651010661,45.36118,-67.83278,4275.0
18044720010661,45.13896,-67.805,4520.0
18044762010661,45.00007,-67.99945,3315.0
18044880010661,44.94452,-67.86056,3992.0
18044944010661,44.86118,-67.83278,4159.0
18045005010661,44.75007,-67.86056,3782.0
18045026010661,44.69452,-67.83278,2874.0
18045028010661,44.69452,-67.83278,2874.0
18045049010661,44.66674,-67.83278,4163.0
18045062010661,44.66674,-67.805,3602.0
18045065010661,44.66674,-67.86056,3694.0
18045107010661,44.61119,-67.83278,4025.0
18045163010661,44.55563,-67.805,0.0
18045241010661,45.52785,-67.77723,3996.0
18045284010661,45.5834,-67.66612,4556.0
18045348010661,45.38896,-67.77723,4403.0
18045380010661,45.27785,-67.74945,4065.0
18045481010661,45.11118,-67.72167,4271.0
18045547010661,45.02785,-67.74944,4626.0
18045618010661,44.83341,-67.72166,3998.0
18045642010661,44.66674,-67.72166,4081.0
18045658010661,44.63897,-67.72166,3767.0
18045734010661,44.61119,-67.72166,3650.0
18045767010661,44.50008,-67.74944,0.0
