"attribute","stratum","level","n","pred_obs_ratio","multiplier"
"BAPH","BA_t1_class","BA1_high",9398,1.0143,0.9859
"BAPH","BA_t1_class","BA1_low",7057,0.7987,1.252
"BAPH","BA_t1_class","BA1_med",8971,0.9488,1.054
"BAPH","BA_t1_class","BA1_vhigh",4720,1.0254,0.9753
"BAPH","FT_GROUP","aspen-birch",1254,0.9694,1.0316
"BAPH","FT_GROUP","maple-beech-birch",13347,0.9962,1.0038
"BAPH","FT_GROUP","nonstocked-other",2805,0.975,1.0256
"BAPH","FT_GROUP","oak-hickory",1067,0.9753,1.0254
"BAPH","FT_GROUP","oak-pine",3260,0.9667,1.0345
"BAPH","FT_GROUP","spruce-fir",8190,0.975,1.0257
"BAPH","FT_GROUP","unknown",49,0.9654,1.0359
"BAPH","FT_GROUP","white-red-jack-pine",174,0.9753,1.0254
"BAPH","interval_years","4",737,0.9557,1.0463
"BAPH","interval_years","5",19905,0.9861,1.0141
"BAPH","interval_years","6",4826,0.9773,1.0232
"BAPH","interval_years","7",4678,0.9837,1.0166
"BAPH","OVERALL","ALL",30146,0.9835,1.0168
"BAPH","SI_tercile","SI_high",8022,0.9755,1.0252
"BAPH","SI_tercile","SI_low",8731,0.9938,1.0062
"BAPH","SI_tercile","SI_med",8447,0.9871,1.013
"QMD","BA_t1_class","BA1_high",9398,0.9853,1.0149
"QMD","BA_t1_class","BA1_low",7057,1.007,0.9931
"QMD","BA_t1_class","BA1_med",8971,0.9965,1.0035
"QMD","BA_t1_class","BA1_vhigh",4720,0.9842,1.0161
"QMD","FT_GROUP","aspen-birch",1254,0.9876,1.0126
"QMD","FT_GROUP","maple-beech-birch",13347,0.9986,1.0014
"QMD","FT_GROUP","nonstocked-other",2805,0.9862,1.014
"QMD","FT_GROUP","oak-hickory",1067,0.9806,1.0198
"QMD","FT_GROUP","oak-pine",3260,0.9716,1.0292
"QMD","FT_GROUP","spruce-fir",8190,1.0011,0.9989
"QMD","FT_GROUP","unknown",49,0.982,1.0184
"QMD","FT_GROUP","white-red-jack-pine",174,0.9617,1.0398
"QMD","interval_years","4",737,0.9935,1.0066
"QMD","interval_years","5",19905,1.0014,0.9986
"QMD","interval_years","6",4826,0.9788,1.0217
"QMD","interval_years","7",4678,0.9803,1.0201
"QMD","OVERALL","ALL",30146,0.993,1.0071
"QMD","SI_tercile","SI_high",8022,0.9881,1.0121
"QMD","SI_tercile","SI_low",8731,1.0067,0.9934
"QMD","SI_tercile","SI_med",8447,0.9914,1.0086
"TOPHT","BA_t1_class","BA1_high",9398,0.9959,1.0041
"TOPHT","BA_t1_class","BA1_low",7057,0.9658,1.0354
"TOPHT","BA_t1_class","BA1_med",8971,0.9915,1.0085
"TOPHT","BA_t1_class","BA1_vhigh",4720,0.9923,1.0078
"TOPHT","FT_GROUP","aspen-birch",1254,0.9781,1.0224
"TOPHT","FT_GROUP","maple-beech-birch",13347,0.997,1.003
"TOPHT","FT_GROUP","nonstocked-other",2805,0.9833,1.017
"TOPHT","FT_GROUP","oak-hickory",1067,0.9711,1.0298
"TOPHT","FT_GROUP","oak-pine",3260,0.9751,1.0255
"TOPHT","FT_GROUP","spruce-fir",8190,0.9863,1.0139
"TOPHT","FT_GROUP","unknown",49,0.9691,1.0318
"TOPHT","FT_GROUP","white-red-jack-pine",174,0.9485,1.0543
"TOPHT","interval_years","4",737,0.9816,1.0187
"TOPHT","interval_years","5",19905,0.9952,1.0049
"TOPHT","interval_years","6",4826,0.9866,1.0136
"TOPHT","interval_years","7",4678,0.9674,1.0336
"TOPHT","OVERALL","ALL",30146,0.9885,1.0117
"TOPHT","SI_tercile","SI_high",8022,0.9815,1.0188
"TOPHT","SI_tercile","SI_low",8731,0.998,1.002
"TOPHT","SI_tercile","SI_med",8447,0.9892,1.0109
"TPA","BA_t1_class","BA1_high",9398,1.06,0.9434
"TPA","BA_t1_class","BA1_low",7057,0.7198,1.3893
"TPA","BA_t1_class","BA1_med",8971,0.9473,1.0556
"TPA","BA_t1_class","BA1_vhigh",4720,1.1103,0.9006
"TPA","FT_GROUP","aspen-birch",1254,1.0061,0.9939
"TPA","FT_GROUP","maple-beech-birch",13347,0.9895,1.0106
"TPA","FT_GROUP","nonstocked-other",2805,0.9746,1.0261
"TPA","FT_GROUP","oak-hickory",1067,1.0058,0.9942
"TPA","FT_GROUP","oak-pine",3260,1.0157,0.9845
"TPA","FT_GROUP","spruce-fir",8190,0.9774,1.0232
"TPA","FT_GROUP","unknown",49,1.0295,0.9713
"TPA","FT_GROUP","white-red-jack-pine",174,1.0282,0.9726
"TPA","interval_years","4",737,0.9545,1.0476
"TPA","interval_years","5",19905,0.9785,1.022
"TPA","interval_years","6",4826,1.0099,0.9902
"TPA","interval_years","7",4678,1.0178,0.9825
"TPA","OVERALL","ALL",30146,0.9855,1.0147
"TPA","SI_tercile","SI_high",8022,1.0047,0.9953
"TPA","SI_tercile","SI_low",8731,0.9789,1.0216
"TPA","SI_tercile","SI_med",8447,0.9942,1.0058
