Scenario,SurveyID,Period,Year,Age,History,Trees,ToCut,ToKill,QMD,LryH,T50HT,BA,BA10cm,%CC,CCF,CCF10cm,%RD,GMV,Seedlings,Recruits,ToInGrow,Records
BASE,5,0,2026,0,NA,3695.943,0,696.3923,9.226218,14.227947,19.853971,24.709482,19.115791,96.81315,922.50073,329.57266,63,118.50728,0,162.8451,162.8451,1064
BASE,5,1,2031,5,NA,3162.3958,0,549.177,10.252137,14.528859,20.04834,26.105738,20.508722,95.68491,879.3698,351.23886,66,128.45233,0,149.08017,149.08017,1142
BASE,5,2,2036,10,NA,2762.299,0,462.07986,11.312345,14.816059,20.204147,27.763027,22.271198,94.69336,847.9864,379.98,68,140.64525,0,132.44649,132.44649,1215
BASE,5,3,2041,15,NA,2432.6655,0,393.87988,12.34664,15.111136,20.381617,29.12533,24.281782,93.72086,817.02075,426.42938,70,152.02115,0,113.79916,113.79916,1262
BASE,5,4,2046,20,NA,2152.585,0,337.72388,13.4149,15.422728,20.537828,30.424685,26.188065,92.7381,785.77496,463.7385,72,163.87221,0,96.01028,96.01028,1302
BASE,5,5,2051,25,NA,1910.8712,0,289.08054,14.499177,15.7386055,20.683897,31.550703,27.923328,91.74997,755.32996,499.16382,74,175.72781,0,77.06942,77.06942,1324
BASE,5,6,2056,30,NA,1698.8601,0,241.42917,15.668453,16.04582,20.8037,32.75675,30.056686,90.78875,727.3184,541.99994,75,188.62738,0,56.623375,56.623375,1325
BASE,5,7,2061,35,NA,1514.0543,0,210.25874,16.909082,16.365458,20.955502,33.999493,32.103157,89.86237,701.42474,573.76965,77,202.21924,0,32.024338,32.024338,1344
BASE,5,8,2066,40,NA,1335.82,0,171.35362,18.246181,16.637802,21.02573,34.928734,33.6269,88.8208,673.4854,589.73615,78,213.26738,0,12.582798,12.582798,1341
BASE,5,9,2071,45,NA,1177.0491,0,139.4413,19.721815,16.945261,21.14899,35.956654,35.234932,87.810646,647.7483,597.0211,79,225.18732,0,0,0,1333
BASE,5,10,2076,50,NA,1037.6078,0,109.94321,21.229843,17.226141,21.231121,36.729725,36.240623,86.776566,621.5954,586.8341,80,234.70506,0,0,0,1199
BASE,5,11,2081,55,NA,927.6646,0,89.47774,22.726158,17.492493,21.306637,37.62997,37.27077,85.88149,599.64954,573.8423,81,244.8137,0,0,0,1084
BASE,5,12,2086,60,NA,838.1868,0,87.350296,24.184738,17.77797,21.42352,38.504765,38.191196,85.062996,579.57166,558.6217,81,255.11142,0,0,0,997
BASE,5,13,2091,65,NA,750.83655,0,64.27724,25.673697,18.032507,21.517107,38.86987,38.62387,83.84702,553.48755,538.0097,81,261.5467,0,0,0,909
BASE,5,14,2096,70,NA,686.5593,0,63.663475,26.924301,18.224201,21.545364,39.089294,38.92923,82.85661,532.81506,522.1419,81,265.52054,0,0,0,824
BASE,5,15,2101,75,NA,622.8958,0,57.28003,28.403227,18.463884,21.611557,39.467686,39.34676,81.815544,511.1884,503.5587,81,271.55612,0,0,0,757
BASE,5,16,2106,80,NA,565.6158,0,49.60757,29.935335,18.725597,21.709127,39.80895,39.7136,80.62431,488.29224,482.2513,80,277.4918,0,0,0,696
BASE,5,17,2111,85,NA,516.00824,0,49.50635,31.301317,18.934326,21.758667,39.70752,39.64195,79.38206,464.94247,460.79407,79,279.32877,0,0,0,650
BASE,5,18,2116,90,NA,466.50186,0,39.547947,32.878147,19.179699,21.799892,39.605812,39.54868,77.80064,439.37527,435.89032,78,281.81613,0,2.9607666,2.9607666,617
BASE,5,19,2121,95,NA,429.9147,0,26.969969,34.210293,19.36652,21.850311,39.517258,39.473244,76.512886,419.41052,416.68216,77,283.77457,0,8.243641,8.243641,652
BASE,6,0,2026,0,NA,4001.0813,0,603.8396,9.674581,13.469959,19.398716,29.412546,23.739084,93.88868,870.1933,398.51495,65,139.15063,0,218.54462,218.54462,709
BASE,6,1,2031,5,NA,3615.7864,0,532.74347,10.508946,13.87996,19.673288,31.362598,25.470785,92.69397,843.25946,414.2789,68,153.95763,0,193.055,193.055,805
BASE,6,2,2036,10,NA,3276.098,0,482.75488,11.323693,14.218756,19.905373,32.993168,27.26943,91.73918,819.80426,433.99252,70,167.36638,0,165.04549,165.04549,877
BASE,6,3,2041,15,NA,2958.3884,0,431.4874,12.148808,14.532233,20.049143,34.29363,29.115135,90.8475,794.28644,458.22812,72,179.32663,0,142.47905,142.47905,930
BASE,6,4,2046,20,NA,2669.3801,0,391.77753,13.047289,14.893694,20.29132,35.68962,30.85998,90.072105,770.75684,479.1884,74,193.43362,0,116.24402,116.24402,984
BASE,6,5,2051,25,NA,2393.8467,0,348.19473,13.921578,15.194412,20.433949,36.43881,32.028465,89.14486,742.1368,499.25476,74,203.56592,0,104.34342,104.34342,1020
BASE,6,6,2056,30,NA,2149.9954,0,308.5541,14.875156,15.560015,20.661364,37.36384,33.99718,88.377754,716.5194,527.29486,75,216.10071,0,86.403625,86.403625,1047
BASE,6,7,2061,35,NA,1927.8448,0,278.7294,15.914264,15.923509,20.877499,38.347416,35.45772,87.625435,691.4754,536.5923,76,228.97688,0,68.24417,68.24417,1060
BASE,6,8,2066,40,NA,1717.3596,0,239.18753,16.960413,16.21682,21.015955,38.799404,36.647602,86.68259,663.6201,546.9492,76,237.55978,0,64.67754,64.67754,1057
BASE,6,9,2071,45,NA,1542.8497,0,208.77663,18.003937,16.541714,21.199772,39.278008,37.603985,85.85995,638.5713,553.60156,76,246.60191,0,56.91177,56.91177,1055
BASE,6,10,2076,50,NA,1390.9849,0,187.48726,19.147781,16.890432,21.427338,40.0544,38.750492,85.18621,615.9029,548.28723,77,257.72644,0,44.90461,44.90461,1056
BASE,6,11,2081,55,NA,1248.4022,0,164.69633,20.276522,17.188482,21.570322,40.311813,39.18212,84.350746,591.0155,535.6213,76,264.89877,0,46.22444,46.22444,1038
BASE,6,12,2086,60,NA,1129.9303,0,144.11826,21.324293,17.429857,21.648863,40.354492,39.354084,83.509636,567.8728,519.06573,76,269.89777,0,49.746174,49.746174,999
