Scenario,SurveyID,Period,Year,Age,History,Trees,ToCut,ToKill,QMD,LryH,T50HT,BA,BA10cm,%CC,CCF,CCF10cm,%RD,GMV,Seedlings,Recruits,ToInGrow,Records
BASE,1,0,2026,0,NA,5166.6,0,871.83514,10.460191,13.071609,18.107632,44.39918,37.900135,86.307205,684.2844,335.84558,72,212.01534,0,168.3955,168.3955,762
BASE,1,1,2031,5,NA,4463.16,0,755.1642,11.343126,13.433668,18.358864,45.102325,38.803665,84.89411,648.6137,332.58173,72,222.1869,0,163.29962,163.29962,835
BASE,1,2,2036,10,NA,3871.2957,0,657.0702,12.291833,13.746536,18.573923,45.9389,40.05033,83.50844,615.8563,337.4973,71,232.99516,0,156.16328,156.16328,895
BASE,1,3,2041,15,NA,3370.389,0,563.7237,13.255586,14.036929,18.779778,46.512398,41.276505,82.06023,583.92535,347.12805,71,242.34123,0,153.46455,153.46455,945
BASE,1,4,2046,20,NA,2960.1296,0,491.73642,14.220238,14.306711,18.950855,47.012714,42.48533,80.64834,554.38635,350.62885,70,250.86665,0,151.81111,151.81111,989
BASE,1,5,2051,25,NA,2620.2043,0,429.86688,15.225827,14.587041,19.133604,47.70763,43.84951,79.374504,528.2593,354.28217,70,260.67633,0,147.47044,147.47044,1017
BASE,1,6,2056,30,NA,2337.8079,0,397.13715,16.264055,14.870145,19.316051,48.568806,45.40652,78.24103,504.8505,360.56442,70,271.48984,0,141.37823,141.37823,1051
BASE,1,7,2061,35,NA,2082.049,0,342.1389,17.313046,15.123346,19.489538,49.01498,46.334305,76.97739,480.8469,362.26382,69,279.5357,0,139.9499,139.9499,1038
BASE,1,8,2066,40,NA,1879.86,0,309.6164,18.333693,15.372686,19.659021,49.626797,47.320526,75.91955,460.24133,360.62067,69,288.21066,0,136.71396,136.71396,1056
BASE,1,9,2071,45,NA,1706.9576,0,283.14014,19.415854,15.619576,19.811089,50.538998,48.546856,75.03033,442.865,356.8195,69,298.3995,0,130.04137,130.04137,1055
BASE,1,10,2076,50,NA,1553.8588,0,252.40207,20.449392,15.834019,19.95944,51.034435,49.604168,74.0928,425.17984,358.26236,68,305.38187,0,127.3628,127.3628,1045
BASE,1,11,2081,55,NA,1428.8196,0,233.47586,21.479681,16.061277,20.138182,51.775455,50.639328,73.35414,411.14508,356.47678,68,314.02985,0,122.09709,122.09709,1043
BASE,1,12,2086,60,NA,1317.4408,0,212.34608,22.527882,16.273775,20.303696,52.5125,51.54916,72.719315,398.66614,352.0837,68,322.36505,0,116.78766,116.78766,1040
BASE,1,13,2091,65,NA,1221.8823,0,196.41704,23.577759,16.479008,20.47075,53.34888,52.458126,72.204124,388.21344,346.11057,69,331.1453,0,110.46673,110.46673,1021
