PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,variant,config,BA_PRED_ft2ac,TPA_PRED,QMD_PRED_in,BA_OBS_PREV,BA_OBS_CURR
1100,1990,2000,10,ACD,osm,48.675964949999994,643.7763477818604,3.7258456692913384,56.11,58.92
1101,1990,2000,10,ACD,osm,89.281053,559.2787141172738,5.4137799212598425,91.26,84.95
1102,1990,2000,10,ACD,osm,47.383157999999995,595.9315783573007,3.820752362204724,63.52,73.87
1104,1990,2000,10,ACD,osm,49.8882882,567.2800372298586,4.018238188976378,53.86,50.97
1105,1986,2000,14,ACD,osm,39.82325385,1240.8398723490577,2.4274238582677166,19.9,51.92
1106,1990,2000,10,ACD,osm,107.51002815,390.4517676872754,7.1101031496062985,120.36,94.47
1107,1986,2000,14,ACD,osm,19.05206475,952.9969302938468,1.9158448818897638,13.96,63.74
1109,1990,2000,10,ACD,osm,55.23360734999999,572.9927416299098,4.206900787401574,59.44,67.57
1114,1986,1995,9,ACD,osm,73.79192534999999,368.0477918326576,6.067187795275591,78.01,66.79
1115,1986,2000,14,ACD,osm,57.89210549999999,496.30825225426844,4.627740551181102,34.16,57.39
1117,1986,1995,9,ACD,osm,54.39454889999999,381.10418089552263,5.119068503937007,49.95,69.13
1119,1986,1995,9,ACD,osm,39.096762524999995,549.6767783525196,3.6136976377952754,27.31,40.41
1130,1986,1999,13,ACD,osm,77.28533205000001,545.7085928190166,5.0992139763779525,66.54,49.26
1133,1986,1999,13,ACD,osm,25.70506785,1030.0479839242248,2.1405027559055116,23.27,41.44
1134,1986,1999,13,ACD,osm,31.915171349999994,873.6191770320008,2.589838188976378,27.08,31.77
1146,1986,1995,9,ACD,osm,79.91167499999999,515.6560704667198,5.334088188976378,81.95,92.07
1163,1995,2000,5,ACD,osm,38.119485,464.2481248994063,3.882697244094488,33.21,60.88
1165,1990,2000,10,ACD,osm,59.8178766,548.6040781206464,4.474258661417323,54.62,57.13
1166,1990,1995,5,ACD,osm,106.6983747,267.1502725164831,8.563202362204724,115.69,140.48
1169,1986,1995,9,ACD,osm,55.4609427,430.782564777625,4.86182874015748,49.57,96.01
1170,1995,2000,5,ACD,osm,62.0649039,404.72585584762663,5.306127559055118,56.44,69.03
1171,1989,1999,10,ACD,osm,56.515373999999994,643.9283477090839,4.014205905511811,49.0,54.59
1193,1990,2000,10,ACD,osm,81.78671639999999,401.75219742048625,6.1136047244094485,78.0,53.79
1194,1990,2000,10,ACD,osm,68.07171885,443.43510185067765,5.308886220472441,64.18,50.6
1195,1990,2000,10,ACD,osm,45.99212805,739.4072476814198,3.379364173228346,35.43,55.61
1196,1990,2000,10,ACD,osm,67.85937795,548.8110343580855,4.764624015748032,64.41,40.53
1197,1987,2002,15,ACD,osm,47.59352835,604.6411418123616,3.8015456692913383,36.72,65.19
1199,1987,2002,15,ACD,osm,73.31533934999999,596.7189752113981,4.749497244094488,74.45,94.98
1200,1992,2002,10,ACD,osm,71.63164574999999,453.5969202014644,5.384588582677165,73.98,47.32
1202,1990,2000,10,ACD,osm,20.9869578,758.577975456829,2.2537708661417324,25.09,79.52
1203,1994,1999,5,ACD,osm,53.277568949999996,309.9237238153703,5.617976377952756,56.67,55.7
1205,1989,1999,10,ACD,osm,110.66523104999999,181.69590129080566,10.574701968503938,101.37,60.43
1206,1989,1999,10,ACD,osm,58.1230992,618.2208541603397,4.154681102362204,52.34,29.34
1208,1987,2002,15,ACD,osm,63.03905595,674.1129999235707,4.143559842519685,88.25,82.08
1209,1987,2002,15,ACD,osm,43.92917969999999,883.3314301028283,3.021689488188976,33.03,35.01
1217,1987,2001,14,ACD,osm,76.73421749999999,821.0325440631125,4.142375590551182,69.12,100.78
1218,1987,1996,9,ACD,osm,44.17981364999999,750.6282497636291,3.287263779527559,37.61,48.36
1219,1987,2001,14,ACD,osm,37.3809681,1191.628803259183,2.3998820078740155,28.33,41.93
1220,1987,2001,14,ACD,osm,46.635680099999995,1096.1210896691202,2.794891811023622,37.45,52.98
1221,1987,2001,14,ACD,osm,51.014120399999996,886.3048578591525,3.250788582677165,41.02,57.8
1222,1987,2001,14,ACD,osm,40.536432,1121.7064490910377,2.575836220472441,24.36,50.05
1223,1991,2001,10,ACD,osm,22.74264825,866.9200109104368,2.1946543307086617,13.86,27.7
1224,1991,2001,10,ACD,osm,24.397579649999997,836.8767558593471,2.3135437007874016,16.2,25.09
1225,1987,1995,8,ACD,osm,36.29934495,690.1307409231957,3.107554881889764,28.65,53.25
1227,1987,2001,14,ACD,osm,28.610837399999998,785.4665845210012,2.586047874015748,17.05,29.19
1228,1987,2001,14,ACD,osm,53.573634299999995,1030.5781221155532,3.0893720472440944,39.89,98.48
1230,1987,2001,14,ACD,osm,75.78298125,967.3937434220624,3.792445669291338,60.47,60.47
1231,1987,1996,9,ACD,osm,47.37549765,707.5594184144743,3.506150393700787,42.85,47.31
1232,1991,2001,10,ACD,osm,44.90061734999999,749.5307827704511,3.316397244094488,41.32,33.05
1234,1991,2001,10,ACD,osm,61.06911712499999,832.4166344591428,3.6700799212598425,40.97,21.66
1235,1991,2001,10,ACD,osm,61.46259419999999,656.8596727210727,4.144806299212599,51.77,42.94
1236,1996,2001,5,ACD,osm,32.8948305,350.88693529941037,4.148731496062992,31.45,48.99
1239,1996,2001,5,ACD,osm,19.70766021,447.01373698496496,2.845064960629921,16.99,78.31
1240,1996,2001,5,ACD,osm,30.537694694999995,415.7090767870277,3.672471653543307,27.67,33.48
1243,1991,2001,10,ACD,osm,41.910575249999994,795.5237511647059,3.11007125984252,32.4,48.55
1244,1987,2001,14,ACD,osm,88.01498549999998,402.13590415902814,6.339091338582677,102.49,40.8
1245,1991,2001,10,ACD,osm,41.396166,838.4095431978776,3.0108358267716535,26.66,78.88
1247,1987,1992,5,ACD,osm,29.403435239999997,409.0883508834981,3.632667125984252,28.11,44.17
1251,1988,2001,13,ACD,osm,54.81818235,760.5551076305339,3.637743700787402,42.89,16.05
1253,1987,2001,14,ACD,osm,47.734050749999994,695.9151960876152,3.548714566929134,33.17,48.57
1262,1987,1992,5,ACD,osm,64.35805859999999,290.2931112761249,6.3799641732283465,76.36,91.94
1263,1987,1992,5,ACD,osm,70.6330815,248.65047306733595,7.221784251968504,71.86,74.43
1272,1992,2002,10,ACD,osm,27.204772109999997,783.3115120704053,2.5251687007874013,24.73,29.84
1273,1987,2002,15,ACD,osm,56.1338964,605.6128729764972,4.125248818897638,71.81,44.71
1275,1992,2002,10,ACD,osm,42.06930675,912.9762316705728,2.9086270866141732,25.77,31.09
1278,1987,2002,15,ACD,osm,26.577139754999997,1205.5251416536462,2.011875472440945,27.67,27.48
1284,1987,2001,14,ACD,osm,72.2888829,598.9515044939179,4.707334251968503,68.31,97.7
1285,1987,1996,9,ACD,osm,32.206438649999996,590.3963286113698,3.164715354330709,29.1,52.64
1286,1987,2001,14,ACD,osm,47.218610549999994,701.4457919486606,3.5155610236220474,41.78,55.7
1287,1996,2001,5,ACD,osm,34.98872475,308.47037626841046,4.563440944881889,33.44,37.71
