"PLOT","YEAR_PREV","YEAR_CURR","PERIOD_YR","BA_PREV_FT2AC","BA_CURR_FT2AC","TPA_PREV","TPA_CURR","QMD_PREV","QMD_CURR","SDI_obs_curr","CurtisRD_obs_curr","tree_list_file","tree_count_prev"
1100,1990,2000,10,56.11,58.92,215,215,6.92,7.09,123.8,22.13,"pair_input_long_v16/pair_1100_1990_tree.csv",43
1101,1990,2000,10,91.26,84.95,245,180,8.26,9.3,160.3,27.85,"pair_input_long_v16/pair_1101_1990_tree.csv",49
1102,1990,2000,10,63.52,73.87,145,140,8.96,9.84,136.3,23.55,"pair_input_long_v16/pair_1102_1990_tree.csv",29
1104,1990,2000,10,53.86,50.97,155,145,7.98,8.03,101.9,17.99,"pair_input_long_v16/pair_1104_1990_tree.csv",31
1105,1986,2000,14,19.9,51.92,110,220,5.76,6.58,112.3,20.24,"pair_input_long_v16/pair_1105_1986_tree.csv",22
1106,1990,2000,10,120.36,94.47,385,255,7.57,8.24,187,32.91,"pair_input_long_v16/pair_1106_1990_tree.csv",77
1107,1986,2000,14,13.96,63.74,60,230,6.53,7.13,133.6,23.87,"pair_input_long_v16/pair_1107_1986_tree.csv",12
1109,1990,2000,10,59.44,67.57,120,135,9.53,9.58,126,21.83,"pair_input_long_v16/pair_1109_1990_tree.csv",24
1114,1986,1995,9,78.01,66.79,75,90,13.81,11.67,115.2,19.56,"pair_input_long_v16/pair_1114_1986_tree.csv",15
1115,1986,2000,14,34.16,57.39,55,120,10.67,9.36,108,18.75,"pair_input_long_v16/pair_1115_1986_tree.csv",11
1117,1986,1995,9,49.95,69.13,55,110,12.9,10.73,123.3,21.1,"pair_input_long_v16/pair_1117_1986_tree.csv",11
1119,1986,1995,9,27.31,40.41,65,110,8.78,8.21,80.1,14.11,"pair_input_long_v16/pair_1119_1986_tree.csv",13
1130,1986,1999,13,66.54,49.26,105,75,10.78,10.97,87.1,14.87,"pair_input_long_v16/pair_1130_1986_tree.csv",21
1133,1986,1999,13,23.27,41.44,65,110,8.1,8.31,81.7,14.38,"pair_input_long_v16/pair_1133_1986_tree.csv",13
1134,1986,1999,13,27.08,31.77,65,80,8.74,8.53,62,10.88,"pair_input_long_v16/pair_1134_1986_tree.csv",13
1146,1986,1995,9,81.95,92.07,140,160,10.36,10.27,167,28.73,"pair_input_long_v16/pair_1146_1986_tree.csv",28
1150,1994,1999,5,44.83,38.44,175,130,6.85,7.36,79.5,14.17,"pair_input_long_v16/pair_1150_1994_tree.csv",35
1163,1995,2000,5,33.21,60.88,100,190,7.8,7.66,124,21.99,"pair_input_long_v16/pair_1163_1995_tree.csv",20
1165,1990,2000,10,54.62,57.13,100,85,10.01,11.1,100.5,17.15,"pair_input_long_v16/pair_1165_1990_tree.csv",20
1166,1990,1995,5,115.69,140.48,125,185,13.03,11.8,241.3,40.9,"pair_input_long_v16/pair_1166_1990_tree.csv",25
1169,1986,1995,9,49.57,96.01,70,185,11.39,9.75,177.8,30.74,"pair_input_long_v16/pair_1169_1986_tree.csv",14
1170,1995,2000,5,56.44,69.03,115,160,9.49,8.89,132.6,23.15,"pair_input_long_v16/pair_1170_1995_tree.csv",23
1171,1989,1999,10,49,54.59,130,165,8.31,7.79,110.5,19.56,"pair_input_long_v16/pair_1171_1989_tree.csv",26
1178,1994,1999,5,24.08,40.51,65,95,8.24,8.84,78,13.62,"pair_input_long_v16/pair_1178_1994_tree.csv",13
1193,1990,2000,10,78,53.79,100,100,11.96,9.93,98.9,17.07,"pair_input_long_v16/pair_1193_1990_tree.csv",20
