"PLOT","MEASYEAR","forest_type","density_class","ba_pct_cedar","ba_pct_hw","ba_pct_sw_comm","ba_pct_sw_other","BA_FT2_AC_2000","REL_DENSITY_2000"
"1100","2000","Mixedwood","C+D (low)","0","60","33.1","0",58.91,0.275
"1101","2000","Mixedwood","A+B (high)","0","30","70","0",84.94,0.356
"1102","2000","Mixedwood","A+B (high)","0","51.3","43.2","0",73.87,0.303
"1103","2000","Unclassifiable","C+D (low)","0","15.8","0","0",12.13,0.064
"1104","2000","Hardwood","C+D (low)","0","73.6","25","0",50.97,0.226
"1105","2000","Commercial Softwood","C+D (low)","0","0","100","0",51.92,0.25
"1106","2000","Cedar","A+B (high)","33.4","11","52.2","0",94.47,0.415
"1107","2000","Hardwood","A+B (high)","0","79.8","19.3","0",63.74,0.297
"1108","2000","Commercial Softwood","C+D (low)","0","0","100","0",20.34,0.084
"1109","2000","Mixedwood","A+B (high)","0","39.3","59.6","0",67.57,0.28
