CN,PLT_CN,PLOT,CONDID,MEASYEAR,FORTYPCD_DERIVED,STDSZCD,LAND_USE,SLOPE_CD,ASPECT_CD,TRTCD1,TRTYR1,DSTRBCD1,DSTRBYR1,NOTES
1,1,1100,1,1981,3.09.03.0,9,1,5,4,5,1,8,72,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
2,2,1100,1,1986,3.09.02.0,9,1,5,4,0,0,0,0,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
3,3,1100,1,1990,M9.0A,9,,5,4,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
4,4,1100,1,1995,,,,5,4,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
5,5,1100,1,2000,,,,5,4,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
6,6,1101,1,1986,1.03.03.0,3,1,2,8,5,1,8,26,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
7,7,1101,1,1990,,,,2,8,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
8,8,1101,1,1995,,,,2,8,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
9,8,1101,1,1995,S3.0B,3,,2,8,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
10,9,1101,1,2000,S3.0B,3,,2,8,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
11,10,1102,1,1981,3.09.04.0,9,1,4,1,2,2,8,35,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
12,11,1102,1,1990,M9.0A,9,,4,1,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
13,12,1102,1,1995,M9.0A,9,,4,1,,5,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
14,13,1102,1,2000,M9.0A,9,,4,1,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
15,14,1103,1,1986,2.02.04.0,2,1,2,8,0,0,9,80,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
16,15,1103,1,1990,H2.0A,2,,2,8,,4,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
17,16,1103,1,1995,H2.0A,2,,2,8,,5,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
18,17,1103,1,2000,H2.0A,2,,2,8,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
19,18,1104,1,1986,3.05.03.0,5,1,3,1,5,1,9,75,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
20,19,1104,1,1990,M5.0A,5,,3,1,,,,,Single-condition; FORTYPCD_DERIVED = CTYPE+CSIZE+CDENS string
