CN,PREV_TRE_CN,CURR_TRE_CN,PLOT,TREE,YEAR_PREV,YEAR_CURR,PERIOD_LEN_YR,STATUS_PREV,STATUS_CURR,DIA_PREV_IN,DIA_CURR_IN,DIA_GROWTH_IN,ANN_DIA_GROWTH_IN,HT_PREV_FT,HT_CURR_FT,HT_GROWTH_FT,ANN_HT_GROWTH_FT,GRM_CLASS,SPCD_RAW,,QC_FLAG
1,51,114,1100,2,1990,1995,5,1,2,7.8,7.8,0,0,10,,,,MORTALITY,WB,,
2,52,115,1100,3,1990,1995,5,1,2,9.5,9.5,0,0,40,,,,MORTALITY,BF,,
3,55,118,1100,6,1990,1995,5,1,1,18,18.5,0.5,0.1,20,22,2,0.4,SURVIVOR,YB,,
4,118,183,1100,6,1995,2000,5,1,1,18.5,18.7,0.2,0.04,22,22,0,0,SURVIVOR,YB,,
5,56,119,1100,7,1990,1995,5,1,1,10.2,10.6,0.4,0.08,52,60,8,1.6,SURVIVOR,RS,,
6,119,184,1100,7,1995,2000,5,1,1,10.6,10.8,0.2,0.04,60,64,4,0.8,SURVIVOR,RS,,
7,70,133,1100,21,1990,1995,5,1,1,8.4,8.7,0.3,0.06,50,56,6,1.2,SURVIVOR,RS,,
8,133,185,1100,21,1995,2000,5,1,1,8.7,9.1,0.4,0.08,56,59,3,0.6,SURVIVOR,RS,,
9,71,134,1100,22,1990,1995,5,1,1,7.5,7.7,0.2,0.04,45,48,3,0.6,SURVIVOR,RS,,
10,134,186,1100,22,1995,2000,5,1,1,7.7,8.1,0.4,0.08,48,54,6,1.2,SURVIVOR,RS,,
11,74,137,1100,25,1990,1995,5,1,1,8.3,8.4,0.1,0.02,12,14,2,0.4,SURVIVOR,O,,
12,137,187,1100,25,1995,2000,5,1,1,8.4,8.5,0.1,0.02,14,14,0,0,SURVIVOR,O,,
13,75,138,1100,26,1990,1995,5,1,2,9.5,9.5,0,0,10,,,,MORTALITY,YB,,
14,78,141,1100,29,1990,1995,5,1,1,8.7,8.7,0,0,15,15,0,0,SURVIVOR,O,,
15,141,188,1100,29,1995,2000,5,1,1,8.7,8.8,0.1,0.02,15,15,0,0,SURVIVOR,O,,
16,79,142,1100,30,1990,1995,5,1,1,8.5,9,0.5,0.1,24,26,2,0.4,SURVIVOR,WB,,
17,142,189,1100,30,1995,2000,5,1,1,9,9.5,0.5,0.1,26,26,0,0,SURVIVOR,WB,,
18,31,80,1100,31,1986,1990,4,1,1,6,7.4,1.4,0.35,30,31,1,0.25,SURVIVOR,10.0,,
19,80,143,1100,31,1990,1995,5,1,1,7.4,7.8,0.4,0.08,31,36,5,1,SURVIVOR,WB,,
20,143,190,1100,31,1995,2000,5,1,1,7.8,8.3,0.5,0.1,36,38,2,0.4,SURVIVOR,WB,,
21,81,144,1100,32,1990,1995,5,1,1,6.2,6.8,0.6,0.12,26,27,1,0.2,SURVIVOR,RS,,
22,144,191,1100,32,1995,2000,5,1,1,6.8,7.4,0.6,0.12,27,32,5,1,SURVIVOR,RS,,
23,82,145,1100,33,1990,1995,5,1,1,4.9,5.7,0.8,0.16,24,30,6,1.2,SURVIVOR,BF,,
24,145,192,1100,33,1995,2000,5,1,1,5.7,6.2,0.5,0.1,30,34,4,0.8,SURVIVOR,BF,,
25,83,146,1100,34,1990,1995,5,1,1,5.3,5.5,0.2,0.04,12,14,2,0.4,SURVIVOR,WB,,
26,146,193,1100,34,1995,2000,5,1,1,5.5,5.8,0.3,0.06,14,14,0,0,SURVIVOR,WB,,
27,84,147,1100,35,1990,1995,5,1,1,4.6,5,0.4,0.08,10,12,2,0.4,SURVIVOR,O,,
28,147,194,1100,35,1995,2000,5,1,2,5,,,,12,,,,MORTALITY,O,,
29,85,148,1100,36,1990,1995,5,1,2,5.1,5.1,0,0,16,,,,MORTALITY,O,,
30,86,149,1100,37,1990,1995,5,1,1,6,6.1,0.1,0.02,18,19,1,0.2,SURVIVOR,WB,,
31,149,195,1100,37,1995,2000,5,1,2,6.1,,,,19,,,,MORTALITY,WB,,
32,87,150,1100,38,1990,1995,5,1,1,6.6,7.1,0.5,0.1,40,46,6,1.2,SURVIVOR,RS,,
33,150,196,1100,38,1995,2000,5,1,2,7.1,,,,46,,,,MORTALITY,RS,,
34,88,151,1100,39,1990,1995,5,1,1,7.2,7.6,0.4,0.08,40,47,7,1.4,SURVIVOR,RS,,
35,151,197,1100,39,1995,2000,5,1,1,7.6,7.6,0,0,47,47,0,0,SURVIVOR,RS,,
36,89,152,1100,40,1990,1995,5,1,2,6.1,6.1,0,0,42,,,,MORTALITY,BF,,
37,90,153,1100,41,1990,1995,5,1,1,5.2,5.9,0.7,0.14,20,24,4,0.8,SURVIVOR,BF,,
38,153,198,1100,41,1995,2000,5,1,1,5.9,6.5,0.6,0.12,24,34,10,2,SURVIVOR,BF,,
39,91,154,1100,42,1990,1995,5,1,1,5.3,5.5,0.2,0.04,14,16,2,0.4,SURVIVOR,WB,,
40,154,199,1100,42,1995,2000,5,1,1,5.5,5.8,0.3,0.06,16,18,2,0.4,SURVIVOR,WB,,
41,92,155,1100,43,1990,1995,5,1,1,4.6,4.7,0.1,0.02,8,10,2,0.4,SURVIVOR,WB,,
42,155,200,1100,43,1995,2000,5,1,1,4.7,4.8,0.1,0.02,10,12,2,0.4,SURVIVOR,WB,,
43,93,156,1100,44,1990,1995,5,1,1,5.3,5.3,0,0,12,12,0,0,SURVIVOR,WB,,
44,156,201,1100,44,1995,2000,5,1,2,5.3,,,,12,,,,MORTALITY,WB,,
45,94,157,1100,45,1990,1995,5,1,1,5.1,6.1,1,0.2,22,30,8,1.6,SURVIVOR,BF,,
46,157,202,1100,45,1995,2000,5,1,1,6.1,6.7,0.6,0.12,30,36,6,1.2,SURVIVOR,BF,,
47,95,158,1100,46,1990,1995,5,1,1,6.7,7,0.3,0.06,24,28,4,0.8,SURVIVOR,WB,,
48,158,203,1100,46,1995,2000,5,1,1,7,7.2,0.2,0.04,28,30,2,0.4,SURVIVOR,WB,,
49,96,159,1100,47,1990,1995,5,1,1,6.3,6.6,0.3,0.06,30,33,3,0.6,SURVIVOR,WB,,
50,159,204,1100,47,1995,2000,5,1,1,6.6,7,0.4,0.08,33,34,1,0.2,SURVIVOR,WB,,
51,97,160,1100,48,1990,1995,5,1,1,5.1,5.4,0.3,0.06,16,18,2,0.4,SURVIVOR,WB,,
52,160,205,1100,48,1995,2000,5,1,1,5.4,5.8,0.4,0.08,18,22,4,0.8,SURVIVOR,WB,,
53,98,161,1100,49,1990,1995,5,1,1,5.1,5.3,0.2,0.04,12,16,4,0.8,SURVIVOR,WB,,
54,161,206,1100,49,1995,2000,5,1,1,5.3,5.7,0.4,0.08,16,18,2,0.4,SURVIVOR,WB,,
55,99,162,1100,50,1990,1995,5,1,1,5.3,5.4,0.1,0.02,20,22,2,0.4,SURVIVOR,WB,,
56,162,207,1100,50,1995,2000,5,1,1,5.4,5.4,0,0,22,22,0,0,SURVIVOR,WB,,
57,100,163,1100,51,1990,1995,5,1,1,5.9,6.2,0.3,0.06,16,19,3,0.6,SURVIVOR,WB,,
58,163,208,1100,51,1995,2000,5,1,1,6.2,6.5,0.3,0.06,19,22,3,0.6,SURVIVOR,WB,,
59,101,164,1100,52,1990,1995,5,1,1,5.8,6,0.2,0.04,18,21,3,0.6,SURVIVOR,WB,,
60,164,209,1100,52,1995,2000,5,1,1,6,6.3,0.3,0.06,21,23,2,0.4,SURVIVOR,WB,,
61,102,165,1100,53,1990,1995,5,1,1,4.8,5,0.2,0.04,10,12,2,0.4,SURVIVOR,WB,,
62,165,210,1100,53,1995,2000,5,1,1,5,5.1,0.1,0.02,12,16,4,0.8,SURVIVOR,WB,,
63,103,166,1100,54,1990,1995,5,1,1,5.4,5.7,0.3,0.06,20,23,3,0.6,SURVIVOR,WB,,
64,166,211,1100,54,1995,2000,5,1,1,5.7,6,0.3,0.06,23,26,3,0.6,SURVIVOR,WB,,
65,104,167,1100,55,1990,1995,5,1,1,5.3,5.7,0.4,0.08,18,21,3,0.6,SURVIVOR,WB,,
66,167,212,1100,55,1995,2000,5,1,1,5.7,6,0.3,0.06,21,24,3,0.6,SURVIVOR,WB,,
67,105,168,1100,56,1990,1995,5,1,1,6.1,6.4,0.3,0.06,24,28,4,0.8,SURVIVOR,WB,,
68,168,213,1100,56,1995,2000,5,1,1,6.4,6.7,0.3,0.06,28,30,2,0.4,SURVIVOR,WB,,
69,106,169,1100,57,1990,1995,5,1,1,6.6,7.2,0.6,0.12,32,35,3,0.6,SURVIVOR,WB,,
