CN,STATECD,PLOT,MEASYEAR,INVYR,TOWN_RAW,TRACT,KINDCD,CTYPE,CSIZE,CDENS,SOIL_SITE,SITE_DRAIN,SVKIND,PERIOD,OPERY,TOPO_POSN,SLOPE,ASPECT,DSTRBCD1,DSTRBYR1,SOURCE_FILE,LAT_APPROX,LON_APPROX,COORD_SOURCE,COORD_UNCERTAINTY_KM,TOWN_CANONICAL
1,23,1100,1981,1981,13,2,1,3,9,3,4,3,5,1,4,1,5,4,8,72,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
2,23,1100,1986,1986,13,2,1,3,9,2,4,4,0,0,0,1,5,4,0,0,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
3,23,1100,1990,1990,Davistown,,,M,9,A,4,4,,,0,1,5,4,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
4,23,1100,1995,1995,Davistown,,,,,,,4,,,0,1,5,4,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
5,23,1100,2000,2000,Davistown,,,,,,,4,,,0,1,5,4,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
6,23,1101,1986,1986,13,7,1,1,3,3,4,2,5,1,2,6,2,8,8,26,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
7,23,1101,1990,1990,13,,,,,,,2,,,,6,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
8,23,1101,1995,1995,Davistown,,,S,3,B,2,4,,,2,6,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
9,23,1101,2000,2000,Davistown,,,S,3,B,4,2,,,2,6,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
10,23,1102,1981,1981,13,2,1,3,9,4,4,3,2,2,2,2,4,1,8,35,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
11,23,1102,1990,1990,Davistown,,,M,9,A,2,4,,,2,2,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
12,23,1102,1995,1995,13,,,M,9,A,4,2,,5,,3,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
13,23,1102,2000,2000,Davistown,,,M,9,A,4,2,,,2,3,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
14,23,1103,1986,1986,13,2,1,2,2,4,3,3,0,0,2,5,2,8,9,80,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
15,23,1103,1990,1990,13,,,H,2,A,3,3,,4,,5,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
16,23,1103,1995,1995,13,,,H,2,A,3,3,,5,,5,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
17,23,1103,2000,2000,Davistown,,,H,2,A,3,3,,,0,5,2,8,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
18,23,1104,1986,1986,13,2,1,3,5,3,2,3,5,1,2,3,3,1,9,75,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
19,23,1104,1990,1990,Davistown,,,M,5,A,2,3,,,2,3,3,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
20,23,1105,1986,1986,13,2,1,1,3,4,4,3,,1,4,1,2,3,8,0,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
21,23,1105,1990,1990,13,,,S,3,A,3,4,,4,,1,2,3,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
22,23,1105,1995,1995,13,,,S,3,A,4,4,,5,,,2,3,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
23,23,1105,2000,2000,Davistown,,,S,3,C,4,4,,,4,1,2,3,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
24,23,1106,1986,1986,13,2,1,1,3,4,4,1,5,2,2,2,2,5,8,0,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
25,23,1106,1990,1990,13,,,S,3,A,1,4,,4,,2,2,5,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
26,23,1106,1995,1995,13,,,S,3,A,2,1,,5,,2,2,5,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
27,23,1106,2000,2000,Davistown,,,S,3,A,2,1,,,2,2,2,5,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
28,23,1107,1986,1986,13,2,1,3,7,3,4,3,0,0,2,3,4,1,9,76,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
29,23,1107,1990,1990,13,,,M,9,A,3,4,,4,,3,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
30,23,1107,1995,1995,13,,,M,9,A,4,3,,5,,3,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
31,23,1107,2000,2000,Davistown,,,M,9,A,4,3,,,2,3,4,1,,,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
32,23,1108,1986,1986,13,2,1,2,8,2,3,2,0,0,4,5,2,3,8,79,SILC_CFI_DataEntry.xlsx,45.07,-70.725,GNIS/Franklin Co,10,Davis Township
