PLOTid,FOLDER_GDRIVE,DATA_ENTERED,N_PLOT_YEARS,N_TREE_RECORDS,YEAR_RANGE,ENTRY_STATUS,NOTES
1100,YES,1,4,230,1986-2000,ENTERED,
1101,YES,1,4,267,1986-2000,ENTERED,
1102,YES,1,4,135,1981-2000,ENTERED,
1103,YES,1,4,104,1986-2000,ENTERED,
1104,YES,1,4,173,1986-2000,ENTERED,
1105,YES,1,4,387,1986-2000,ENTERED,
1106,YES,1,4,301,1986-2000,ENTERED,
1107,YES,1,4,200,1986-2000,ENTERED,
1108,YES,1,4,83,1986-2000,ENTERED,
1109,YES,1,4,115,1981-2000,ENTERED,
1110,plot_1110,Y,3,36,1990-2000,COMPLETE,
1140,plot_1140,Y,4,74,1986-2000,COMPLETE,
1141,plot_1141,Y,4,27,1986-2000,COMPLETE,
1142,plot_1142,Y,4,80,1986-2000,COMPLETE,
1143,plot_1143,Y,4,77,1986-2000,COMPLETE,
1144,plot_1144,Y,1,0,1981-1981,COMPLETE,
1145,plot_1145,Y,3,32,1986-1996,COMPLETE,
1146,plot_1146,Y,4,159,1986-2000,COMPLETE,
1147,plot_1147,Y,4,3,1986-1999,COMPLETE,
1148,plot_1148,Y,4,14,1986-1999,COMPLETE,
1149,plot_1149,Y,4,47,1986-1999,COMPLETE,
1150,plot_1150,Y,5,98,1981-1999,COMPLETE,
1151,plot_1151,Y,4,45,1986-1999,COMPLETE,
1152,plot_1152,Y,1,0,1981-1981,COMPLETE,
1153,plot_1153,Y,4,2,1986-1999,COMPLETE,
1154,plot_1154,Y,4,82,1986-1999,COMPLETE,
1155,plot_1155,Y,4,29,1986-1999,COMPLETE,
1156,plot_1156,Y,4,15,1986-1999,COMPLETE,
1157,plot_1157,Y,4,21,1986-1999,COMPLETE,
1158,plot_1158,Y,4,21,1986-1999,COMPLETE,
1159,plot_1159,Y,4,19,1986-1999,COMPLETE,
1160,plot_1160,Y,4,24,1986-1999,COMPLETE,
1161,plot_1161,Y,0,0,?,COMPLETE,
1162,plot_1162,Y,4,35,1986-1999,COMPLETE,
1163,plot_1163,Y,4,60,1986-2000,COMPLETE,
1164,plot_1164,Y,4,12,1986-2000,COMPLETE,
1165,plot_1165,Y,4,72,1986-2000,COMPLETE,
1166,plot_1166,Y,4,107,1986-2000,COMPLETE,
1167,plot_1167,Y,4,109,1986-2000,COMPLETE,
1168,plot_1168,Y,4,35,1986-2000,COMPLETE,
1169,plot_1169,Y,4,159,1986-2000,COMPLETE,
1170,plot_1170,Y,4,57,1986-2000,COMPLETE,
1171,plot_1171,Y,4,81,1986-1999,COMPLETE,
1172,plot_1172,Y,4,44,1986-1999,COMPLETE,
1173,plot_1173,Y,4,59,1986-1999,COMPLETE,
1174,plot_1174,Y,4,44,1986-1999,COMPLETE,
1175,plot_1175,Y,4,48,1986-1999,COMPLETE,
1176,plot_1176,Y,4,16,1986-1999,COMPLETE,
1177,plot_1177,Y,4,38,1986-1999,COMPLETE,
1178,plot_1178,Y,4,70,1986-1999,COMPLETE,
1179,plot_1179,Y,4,44,1986-1999,COMPLETE,
1180,plot_1180,Y,4,39,1986-1999,COMPLETE,
1181,plot_1181,Y,4,76,1986-1999,COMPLETE,
1182,plot_1182,Y,4,66,1986-1999,COMPLETE,
1183,plot_1183,Y,3,34,1981-1994,COMPLETE,
1192,plot_1192,Y,4,56,1986-2000,COMPLETE,
1193,plot_1193,Y,4,74,1986-2000,COMPLETE,
1194,plot_1194,Y,4,75,1986-2000,COMPLETE,
1195,plot_1195,Y,4,83,1986-2000,COMPLETE,
1196,plot_1196,Y,4,73,1986-2000,COMPLETE,
1197,plot_1197,Y,4,65,1987-2002,COMPLETE,
1198,plot_1198,Y,4,22,1987-2002,COMPLETE,
1199,plot_1199,Y,4,64,1987-2002,COMPLETE,
1200,plot_1200,Y,4,51,1987-2002,COMPLETE,
1201,plot_1201,Y,4,52,1987-2002,COMPLETE,
1202,plot_1202,Y,4,99,1986-2000,COMPLETE,
1203,plot_1203,Y,4,32,1986-1999,COMPLETE,
1204,plot_1204,Y,4,39,1986-1999,COMPLETE,
1205,plot_1205,Y,4,43,1986-1999,COMPLETE,
1206,plot_1206,Y,4,40,1986-1999,COMPLETE,
1207,plot_1207,Y,1,0,1987-1987,COMPLETE,
1208,plot_1208,Y,4,147,1987-2002,COMPLETE,
1209,plot_1209,Y,4,75,1987-2002,COMPLETE,
1230,plot_1230,Y,4,265,1987-2001,COMPLETE,
1231,plot_1231,Y,3,99,1987-1996,COMPLETE,
1232,plot_1232,Y,4,80,1987-2001,COMPLETE,
1233,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1234,plot_1234,Y,3,63,1987-2001,COMPLETE,
1235,plot_1235,Y,3,57,1987-2001,COMPLETE,
1236,plot_1236,Y,4,55,1987-2001,COMPLETE,
1237,plot_1237,Y,3,31,1987-1996,COMPLETE,
1238,plot_1238,Y,4,38,1987-2001,COMPLETE,
1239,plot_1239,Y,4,49,1987-2001,COMPLETE,
1240,plot_1240,Y,4,47,1987-2001,COMPLETE,
1241,plot_1241,Y,0,0,?,EMPTY_OCR,
1242,plot_1242,Y,4,50,1987-2001,COMPLETE,
1243,plot_1243,Y,4,94,1987-2001,COMPLETE,
1244,plot_1244,Y,4,105,1987-2001,COMPLETE,
1245,plot_1245,Y,4,126,1987-2001,COMPLETE,
1246,plot_1246,Y,4,45,1987-2001,COMPLETE,
1247,plot_1247,Y,4,61,1987-2002,COMPLETE,
1248,plot_1248,Y,4,61,1987-2002,COMPLETE,
1249,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1250,plot_1250,Y,3,51,1987-1996,COMPLETE,
1251,plot_1251,Y,4,107,1988-2001,COMPLETE,
1252,plot_1252,Y,4,118,1987-2001,COMPLETE,
1253,plot_1253,Y,4,107,1987-2001,COMPLETE,
1254,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1255,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1256,plot_1256,Y,0,0,?,EMPTY_OCR,
1257,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1258,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1259,plot_1259,Y,4,22,1987-2002,COMPLETE,
1260,plot_1260,Y,3,52,1987-1997,COMPLETE,
1261,plot_1261,Y,4,109,1987-2002,COMPLETE,
1262,plot_1262,Y,4,95,1987-2002,COMPLETE,
1263,plot_1263,Y,4,64,1987-2002,COMPLETE,
1264,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1265,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1266,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1267,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1268,plot_1268,Y,0,0,?,EMPTY_OCR,
1269,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1270,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1271,plot_1271,Y,4,92,1987-2002,COMPLETE,
1272,plot_1272,Y,4,57,1987-2002,COMPLETE,
1273,plot_1273,Y,4,74,1987-2002,COMPLETE,
1274,plot_1274,Y,4,60,1987-2002,COMPLETE,
1275,plot_1275,Y,4,80,1987-2002,COMPLETE,
1276,plot_1276,Y,3,48,1987-2002,COMPLETE,
1277,plot_1277,Y,4,62,1987-2002,COMPLETE,
1278,plot_1278,Y,4,97,1987-2002,COMPLETE,
1279,plot_1279,Y,0,0,?,EMPTY_OCR,
1284,plot_1284,Y,4,119,1987-2001,COMPLETE,
1285,plot_1285,Y,4,79,1987-2001,COMPLETE,
