PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1100,1986,4,15,30,20,3.11,5.34,7.3,0.0174,5.33,5,6,30,30,0,sparse/clearcut,0,20,N,1.35
1100,1990,43,2,0,215,56.11,6.92,119,0.2833,6.52,4.5,18,21.9,24.2,,,90,305,Y,21.33
1100,1995,45,5,0,225,56.67,6.8,121,0.2882,6.4,4.5,18.5,23.4,26.8,,,100,325,Y,21.74
1100,2000,43,5,0,215,58.92,7.09,123.8,0.2946,6.69,4.5,18.7,25.8,28.9,,,0,215,Y,22.13
1101,1986,3,13,72,15,2.93,5.98,6.6,0.0157,5.93,5.2,7,42,42,8,post-disturbance (DSTRBCD1=8),0,15,N,1.2
1101,1990,49,5,0,245,91.26,8.26,180.4,0.4296,7.97,4.5,12.8,45.9,46.9,,,70,315,Y,31.75
1101,1995,41,8,0,205,85.86,8.76,165.8,0.3949,8.45,4.6,13.3,50.1,50.5,,,95,300,Y,29
1101,2000,36,7,0,180,84.95,9.3,160.3,0.3816,8.95,4.5,13.9,51.2,52.8,,,0,180,Y,27.85
1102,1981,4,12,20,20,3.83,5.92,8.6,0.0205,5.85,5,7.3,20,20,8,post-disturbance (DSTRBCD1=8),0,20,N,1.57
1102,1990,29,2,0,145,63.52,8.96,121.6,0.2896,8.28,4.7,22.3,30,32.8,,,10,155,Y,21.22
1102,1995,30,2,0,150,67.84,9.11,129.1,0.3073,8.33,4.6,22.9,30.8,35,,,15,165,Y,22.48
1102,2000,28,3,0,140,73.87,9.84,136.3,0.3246,9.02,4.7,23.4,33.4,38.1,,,0,140,Y,23.55
1103,1986,0,0,11,0,0,0,0,0,0,,,,,9,sparse/clearcut,0,0,N,0
1103,1990,0,0,0,0,0,0,0,0,0,,,,,,sparse/clearcut,185,185,N,0
1103,1995,3,0,0,15,2.45,5.47,5.7,0.0136,5.43,4.5,5.9,6.7,6.8,,sparse/clearcut,185,200,N,1.05
1103,2000,16,0,0,80,12.13,5.27,28.6,0.0682,5.22,4.5,7,7.8,8.4,,,0,80,Y,5.28
1104,1986,8,14,36,40,9.48,6.59,20.5,0.0488,6.51,5,7.5,25.4,25.5,9,sparse/clearcut,0,40,N,3.69
1104,1990,31,2,0,155,53.86,7.98,108,0.257,7.77,4.7,10.4,25.4,27.2,,,30,185,Y,19.07
1104,1995,29,4,0,145,53.5,8.23,106,0.2523,8.03,4.9,10.6,27.5,30.1,,,40,185,Y,18.66
1104,2000,29,6,0,145,50.97,8.03,101.9,0.2427,7.77,4.7,11.7,26.4,30.5,,,0,145,Y,17.99
1105,1986,22,47,9,110,19.9,5.76,45.4,0.108,5.7,5,7.5,26,26.1,8,post-disturbance (DSTRBCD1=8),0,110,Y,8.29
1105,1990,100,0,0,500,103.76,6.17,230.2,0.5482,6.04,4.5,9.7,30.2,31.8,,,0,500,Y,41.78
1105,1995,102,3,0,510,115.02,6.43,251.1,0.5978,6.3,4.5,10.2,33.2,34.7,,,0,510,Y,45.36
1105,2000,44,60,0,220,51.92,6.58,112.3,0.2674,6.4,4.5,10.1,31.6,33.5,,,0,220,Y,20.24
1106,1986,8,37,34,40,9.4,6.56,20.4,0.0485,6.49,5,7.7,42,42.3,8,post-disturbance (DSTRBCD1=8),0,40,N,3.67
1106,1990,77,0,0,385,120.36,7.57,246.3,0.5865,7.24,4.5,16.2,40,45.2,,,10,395,Y,43.74
1106,1995,62,16,0,310,104.04,7.84,209.9,0.4999,7.48,4.7,16.2,42,47.1,,,10,320,Y,37.15
1106,2000,51,12,0,255,94.47,8.24,187,0.4451,7.86,4.5,16.4,42.1,48,,,0,255,Y,32.91
1107,1986,12,26,16,60,13.96,6.53,30.3,0.0721,6.45,5,7.9,28.6,28.6,9,,0,60,Y,5.46
1107,1990,39,0,0,195,47.38,6.67,101.9,0.2427,6.56,4.5,9.1,24,26.7,,,25,220,Y,18.34
1107,1995,46,1,0,230,59.2,6.87,125.9,0.2998,6.71,4.5,10.4,25.3,28.6,,,25,255,Y,22.59
1107,2000,46,4,0,230,63.74,7.13,133.6,0.318,6.93,4.6,11.8,25.2,29,,,0,230,Y,23.87
1108,1986,3,3,25,15,3.27,6.32,7.2,0.0171,6.27,5.5,7.4,20,20,8,post-disturbance (DSTRBCD1=8),0,15,N,1.3
1108,1990,3,5,0,15,14.02,13.09,23.1,0.055,12.7,8.5,16.2,32,29.2,,,70,85,N,3.88
1108,1995,2,1,0,10,13.35,15.65,20.5,0.0488,15.6,14.4,16.8,32.5,32.1,,,95,105,N,3.38
1108,2000,8,0,0,40,20.34,9.66,37.8,0.09,8.46,4.6,17.4,30.6,34.7,,,0,40,N,6.55
1109,1981,0,5,16,0,0,0,0,0,0,,,,,9,sparse/clearcut,0,0,N,0
1109,1990,24,0,0,120,59.44,9.53,111.1,0.2645,8.91,4.8,16.8,33.1,38.9,,,35,155,Y,19.26
1109,1995,27,0,0,135,67.46,9.57,125.8,0.2996,8.9,4.6,17.9,34.1,42.9,,,35,170,Y,21.81
1109,2000,27,2,0,135,67.57,9.58,126,0.3,8.84,4.8,18.6,33.4,43.4,,,0,135,Y,21.83
1110,1990,15,0,0,75,67.18,12.81,111.7,0.2659,11.84,6.5,22.9,125.5,127.4,,,0,75,N,18.77
1110,1995,4,0,0,20,9.09,9.13,17.3,0.0412,9.12,8.7,9.6,127,127.2,,,0,20,N,3.01
1110,2000,17,0,0,85,44.05,9.75,81.6,0.1942,9.43,5,13.8,33.1,36.3,,,0,85,N,14.11
1111,1986,8,0,0,40,15.89,8.53,31,0.0739,8.51,7.4,9.5,43.2,43.1,,,0,40,N,5.44
1111,1990,18,0,0,90,26.97,7.41,55.7,0.1325,7.21,4.7,10.1,34.4,38.5,,,45,85,Y,9.91
