PLOT,MEASYEAR,SPCD,SPECIES,N_LIVE,TPA,BA_FT2_AC,BA_PCT,QMD_IN
1100,1986,375,PB,4,20,3.11,100,5.34
1100,1990,12,BF,6,30,6.13,10.9,6.12
1100,1990,97,RS,6,30,9.95,17.7,7.8
1100,1990,371,YB,2,10,11.3,20.1,14.39
1100,1990,375,PB,25,125,23.51,41.9,5.87
1100,1990,999,UNK,4,20,5.23,9.3,6.92
1100,1995,12,BF,7,35,5.67,10,5.45
1100,1995,97,RS,6,30,10.96,19.3,8.18
1100,1995,371,YB,1,5,9.33,16.5,18.5
1100,1995,375,PB,28,140,26.04,45.9,5.84
1100,1995,999,UNK,3,15,4.67,8.2,7.56
1100,2000,12,BF,10,50,9.18,15.6,5.8
1100,2000,97,RS,5,25,10.3,17.5,8.69
1100,2000,371,YB,1,5,9.54,16.2,18.7
1100,2000,375,PB,25,125,25.82,43.8,6.15
1100,2000,999,UNK,2,10,4.08,6.9,8.65
1101,1986,12,BF,1,5,1.34,45.6,7
1101,1986,371,YB,1,5,0.74,25.2,5.2
1101,1986,544,BA,1,5,0.86,29.2,5.6
1101,1990,12,BF,9,45,17.76,19.5,8.51
1101,1990,97,RS,33,165,52.47,57.5,7.64
1101,1990,316,RM,1,5,0.98,1.1,6
1101,1990,371,YB,6,30,20.05,22,11.07
1101,1995,12,BF,6,30,11.3,13.2,8.31
1101,1995,97,RS,28,140,51.31,59.8,8.2
1101,1995,316,RM,1,5,1.15,1.3,6.5
1101,1995,371,YB,6,30,22.09,25.7,11.62
1101,2000,12,BF,3,15,6.2,7.3,8.71
1101,2000,97,RS,26,130,53.28,62.7,8.67
1101,2000,316,RM,1,5,1.37,1.6,7.1
1101,2000,371,YB,6,30,24.09,28.4,12.13
1102,1981,95,BS,1,5,0.98,25.7,6
1102,1981,97,RS,2,10,1.39,36.4,5.05
1102,1981,371,YB,1,5,1.45,38,7.3
1102,1990,12,BF,12,60,19.5,30.7,7.72
1102,1990,97,RS,4,20,9.35,14.7,9.26
1102,1990,371,YB,5,25,22.38,35.2,12.81
1102,1990,375,PB,6,30,9.2,14.5,7.5
1102,1990,999,UNK,2,10,3.09,4.9,7.53
1102,1995,12,BF,12,60,18.88,27.8,7.6
1102,1995,97,RS,4,20,10.46,15.4,9.79
1102,1995,371,YB,6,30,24.98,36.8,12.36
1102,1995,375,PB,6,30,10.34,15.2,7.95
1102,1995,999,UNK,2,10,3.19,4.7,7.64
1102,2000,12,BF,10,50,20.02,27.1,8.57
1102,2000,97,RS,4,20,11.93,16.1,10.46
1102,2000,371,YB,6,30,27.5,37.2,12.96
1102,2000,375,PB,5,25,10.44,14.1,8.75
1102,2000,999,UNK,3,15,3.98,5.4,6.97
1103,1995,999,UNK,3,15,2.45,100,5.47
1103,2000,371,YB,2,10,1.36,11.2,5
1103,2000,375,PB,1,5,0.55,4.6,4.5
1103,2000,999,UNK,13,65,10.22,84.2,5.37
1104,1986,95,BS,1,5,1.41,14.9,7.2
1104,1986,97,RS,2,10,1.36,14.4,5
1104,1986,371,YB,2,10,2.34,24.7,6.55
1104,1986,375,PB,2,10,2.83,29.8,7.2
1104,1986,544,BA,1,5,1.53,16.2,7.5
1104,1990,12,BF,7,35,6.06,11.3,5.64
1104,1990,97,RS,2,10,4.97,9.2,9.55
1104,1990,316,RM,3,15,4.79,8.9,7.65
1104,1990,371,YB,9,45,17.76,33,8.51
1104,1990,375,PB,10,50,20.28,37.6,8.62
1104,1995,12,BF,7,35,7.79,14.6,6.39
1104,1995,97,RS,2,10,5.56,10.4,10.1
1104,1995,316,RM,4,20,7.22,13.5,8.14
1104,1995,371,YB,8,40,16.22,30.3,8.62
1104,1995,375,PB,8,40,16.71,31.2,8.75
1104,2000,12,BF,7,35,9.1,17.9,6.91
1104,2000,97,RS,2,10,3.61,7.1,8.13
1104,2000,316,RM,4,20,9.22,18.1,9.19
1104,2000,371,YB,8,40,16.39,32.2,8.67
1104,2000,375,PB,7,35,11.88,23.3,7.89
1104,2000,999,UNK,1,5,0.77,1.5,5.3
1105,1986,12,BF,4,20,4.24,21.3,6.23
1105,1986,97,RS,18,90,15.66,78.7,5.65
1105,1990,12,BF,82,410,83.6,80.6,6.11
1105,1990,97,RS,14,70,17.72,17.1,6.81
1105,1990,999,UNK,4,20,2.44,2.3,4.73
1105,1995,12,BF,87,435,94.97,82.6,6.33
1105,1995,97,RS,14,70,19.28,16.8,7.11
1105,1995,999,UNK,1,5,0.77,0.7,5.3
1105,2000,12,BF,31,155,32.5,62.6,6.2
1105,2000,97,RS,13,65,19.42,37.4,7.4
1106,1986,12,BF,2,10,2.38,25.4,6.61
1106,1986,97,RS,4,20,4.88,52,6.69
1106,1986,371,YB,1,5,0.8,8.5,5.4
1106,1986,746,QA,1,5,1.34,14.2,7
1106,1990,12,BF,38,190,56.42,46.9,7.38
1106,1990,97,RS,7,35,13.54,11.2,8.42
1106,1990,241,CE,17,85,30.04,25,8.05
1106,1990,261,HM,4,20,5.99,5,7.41
1106,1990,316,RM,1,5,2.84,2.4,10.2
1106,1990,371,YB,3,15,3.83,3.2,6.84
1106,1990,375,PB,2,10,1.48,1.2,5.2
1106,1990,999,UNK,5,25,6.23,5.2,6.76
1106,1995,12,BF,25,125,37.53,36.1,7.42
1106,1995,95,BS,6,30,8.25,7.9,7.1
1106,1995,97,RS,1,5,6.64,6.4,15.6
1106,1995,241,CE,17,85,31.6,30.4,8.26
1106,1995,261,HM,4,20,6.66,6.4,7.81
1106,1995,316,RM,1,5,2.95,2.8,10.4
1106,1995,371,YB,4,20,5.39,5.2,7.03
1106,1995,375,PB,2,10,1.84,1.8,5.8
1106,1995,999,UNK,2,10,3.19,3.1,7.65
1106,2000,12,BF,17,85,26.8,28.4,7.6
