CN,PLT_CN,PLOT,SUBP,TREE,MEASYEAR,STATUSCD,SPCD,COMMON_NAME,SPCD_RAW,DIA_IN,HT_FT,TREECLCD,DAMLOC1,TREEGRCD,CULL_PCT,SNDCD,CCLCD,TRTCD1_TREE,MORTCD,STAT_SRC,QC_FLAG
1,2,1100,1,9901,1986,2,375,Paper birch,10.0,5.7,,,,,,,,,0,STAT=7.0,
2,2,1100,1,9902,1986,2,375,Paper birch,10.0,5.9,,,,,,,,,0,STAT=7.0,
3,2,1100,1,9903,1986,1,375,Paper birch,10.0,5,,,,,,,,,0,STAT=0.0,
4,2,1100,1,9904,1986,2,375,Paper birch,10.0,5.2,,,,,,,,,0,STAT=7.0,
5,2,1100,1,9905,1986,2,375,Paper birch,10.0,5.9,,,,,,,,,0,STAT=7.0,
6,2,1100,1,9906,1986,2,375,Paper birch,10.0,6.3,,,,,,,,,0,STAT=7.0,
7,2,1100,1,9907,1986,2,375,Paper birch,10.0,5.3,,,,,,,,,0,STAT=7.0,
8,2,1100,1,9908,1986,2,375,Paper birch,10.0,5.7,,,,,,,,,0,STAT=7.0,
9,2,1100,1,9909,1986,2,375,Paper birch,10.0,5.6,,,,,,,,,0,STAT=7.0,
10,2,1100,1,9910,1986,1,375,Paper birch,10.0,5.1,,,,,,,,,0,STAT=0.0,
11,2,1100,1,9911,1986,2,375,Paper birch,10.0,5.8,,,,,,,,,0,STAT=7.0,
12,2,1100,1,9912,1986,2,375,Paper birch,10.0,6.1,,,,,,,,,0,STAT=7.0,
13,2,1100,1,9913,1986,2,12,Balsam fir,1.0,5.9,,,,,,,,,0,STAT=7.0,
14,2,1100,1,9914,1986,2,12,Balsam fir,1.0,6,,,,,,,,,0,STAT=7.0,
15,2,1100,1,9915,1986,2,375,Paper birch,10.0,5.9,,,,,,,,,0,STAT=7.0,
16,2,1100,1,9916,1986,2,97,Red spruce,2.0,6,,,,,,,,,0,STAT=7.0,
17,2,1100,1,9917,1986,2,12,Balsam fir,1.0,6.9,,,,,,,,,0,STAT=7.0,
18,2,1100,1,9918,1986,1,375,Paper birch,10.0,5.2,,,,,,,,,0,STAT=0.0,
19,2,1100,1,9919,1986,3,12,Balsam fir,1.0,5.9,,,,,,,,,0,STAT=3.0,
20,2,1100,1,1,1986,3,97,Red spruce,2.0,12,52,2,14,2,5,,1,0,0,STAT=2.0,
21,2,1100,1,2,1986,3,746,Quaking aspen,12.0,7.7,10,4,12,3,25,,3,0,0,STAT=2.0,
22,2,1100,1,3,1986,3,97,Red spruce,2.0,9.3,50,2,14,3,10,,2,0,0,STAT=2.0,
23,2,1100,1,4,1986,3,97,Red spruce,2.0,11.3,50,2,15,3,5,,1,1,0,STAT=3.0,
24,2,1100,1,5,1986,3,97,Red spruce,2.0,8.5,41,2,15,3,10,,2,1,0,STAT=3.0,
25,2,1100,1,6,1986,3,371,Yellow birch,11.0,17.2,15,4,14,3,0,,3,0,0,STAT=2.0,
26,2,1100,1,7,1986,3,12,Balsam fir,1.0,10,50,4,14,3,0,,2,0,0,STAT=2.0,
27,2,1100,1,8,1986,3,97,Red spruce,2.0,7.4,41,4,15,3,0,,2,1,0,STAT=3.0,
28,2,1100,1,9,1986,3,97,Red spruce,2.0,11.3,50,2,14,3,30,,2,0,0,STAT=2.0,
29,2,1100,1,10,1986,3,97,Red spruce,2.0,8.8,50,2,15,3,0,,2,1,0,STAT=3.0,
30,2,1100,1,11,1986,3,97,Red spruce,2.0,7.2,45,4,15,3,0,,2,1,0,STAT=3.0,
31,2,1100,1,31,1986,1,375,Paper birch,10.0,6,30,4,0,1,0,,3,0,0,STAT=1.0,DBH_CORRECTED:70->6.0(PDF_CONFIRMED)
32,2,1100,1,13,1986,3,97,Red spruce,2.0,11,48,2,9,2,0,,1,1,0,STAT=3.0,
33,2,1100,1,14,1986,3,97,Red spruce,2.0,8.4,48,2,9,2,0,,1,1,0,STAT=3.0,
34,2,1100,1,15,1986,3,97,Red spruce,2.0,8.1,48,2,9,2,0,,1,1,0,STAT=3.0,
35,2,1100,1,16,1986,3,97,Red spruce,2.0,8.9,50,2,15,3,5,,1,1,0,STAT=3.0,
36,2,1100,1,17,1986,3,97,Red spruce,2.0,9.5,50,2,15,3,0,,1,1,0,STAT=3.0,
37,2,1100,1,18,1986,3,97,Red spruce,2.0,7.8,40,4,4,3,10,,2,1,0,STAT=3.0,
38,2,1100,1,19,1986,3,97,Red spruce,2.0,9,48,2,9,2,5,,1,1,0,STAT=3.0,
39,2,1100,1,20,1986,3,97,Red spruce,2.0,10,48,4,3,2,0,,1,1,0,STAT=3.0,
40,2,1100,1,21,1986,3,12,Balsam fir,1.0,8,50,2,0,3,0,,2,0,0,STAT=2.0,DBH_CORRECTED:80->8.0(DECIMAL_ERROR_INFERRED)
41,2,1100,1,22,1986,3,12,Balsam fir,1.0,7.2,45,2,14,3,0,,3,0,0,STAT=2.0,
42,2,1100,1,23,1986,3,97,Red spruce,2.0,12.5,50,2,15,3,30,,1,1,0,STAT=3.0,
43,2,1100,1,24,1986,3,97,Red spruce,2.0,7.6,40,4,9,2,0,,2,1,0,STAT=3.0,
44,2,1100,1,25,1986,3,95,Black spruce,23.0,8.5,10,5,14,4,100,,2,0,0,STAT=2.0,
45,2,1100,1,26,1986,3,371,Yellow birch,11.0,9.9,10,5,4,4,99,,4,0,0,STAT=2.0,
46,2,1100,1,27,1986,3,97,Red spruce,2.0,8.2,48,4,3,4,10,,3,1,0,STAT=3.0,
47,2,1100,1,28,1986,3,97,Red spruce,2.0,7.1,48,4,9,2,0,,2,1,0,STAT=3.0,
48,2,1100,1,29,1986,3,95,Black spruce,23.0,8.9,11,5,4,2,100,,3,0,0,STAT=2.0,
49,2,1100,1,30,1986,3,375,Paper birch,10.0,8.1,22,4,0,2,0,,3,0,0,STAT=2.0,
50,3,1100,1,1,1990,2,12,Balsam fir,BF,12,52,5,DEAD,,,,,,1,null,
51,3,1100,1,2,1990,1,375,Paper birch,WB,7.8,10,4,12,3,25,3,2,,0,null,
52,3,1100,1,3,1990,1,12,Balsam fir,BF,9.5,40,4,14,3,0,,2,,0,null,
53,3,1100,1,4,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
54,3,1100,1,5,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
55,3,1100,1,6,1990,1,371,Yellow birch,YB,18,20,4,4,2,0,2,,,0,null,
56,3,1100,1,7,1990,1,97,Red spruce,RS,10.2,52,2,0,3,0,2,,,0,null,
57,3,1100,1,8,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
58,3,1100,1,9,1990,2,12,Balsam fir,BF,0,,4,0,0,0,0,,,1,null,HT_NOT_MEASURED
59,3,1100,1,10,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
60,3,1100,1,11,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
61,3,1100,1,12,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
62,3,1100,1,13,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
63,3,1100,1,14,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
64,3,1100,1,15,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
65,3,1100,1,16,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
66,3,1100,1,17,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
67,3,1100,1,18,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
68,3,1100,1,19,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
69,3,1100,1,20,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
70,3,1100,1,21,1990,1,97,Red spruce,RS,8.4,50,2,0,3,0,2,,,0,null,
71,3,1100,1,22,1990,1,97,Red spruce,RS,7.5,45,2,0,3,0,2,,,0,null,
72,3,1100,1,23,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
73,3,1100,1,24,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
74,3,1100,1,25,1990,1,999,Unknown/Other,O,8.3,12,5,14,0,99,3,,,0,null,
75,3,1100,1,26,1990,1,371,Yellow birch,YB,9.5,10,5,12,3,70,3,,,0,null,
76,3,1100,1,27,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
77,3,1100,1,28,1990,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
78,3,1100,1,29,1990,1,999,Unknown/Other,O,8.7,15,5,14,0,99,3,,,0,null,
79,3,1100,1,30,1990,1,375,Paper birch,WB,8.5,24,3,0,3,0,2,,,0,null,
80,3,1100,1,31,1990,1,375,Paper birch,WB,7.4,31,2,0,3,0,2,,,0,null,
81,3,1100,1,32,1990,1,97,Red spruce,RS,6.2,26,2,14,0,0,2,,,0,null,
82,3,1100,1,33,1990,1,12,Balsam fir,BF,4.9,24,2,0,0,0,4,,,0,null,
83,3,1100,1,34,1990,1,375,Paper birch,WB,5.3,12,4,16,0,0,4,,,0,null,
84,3,1100,1,35,1990,1,999,Unknown/Other,O,4.6,10,5,0,0,99,4,,,0,null,
85,3,1100,1,36,1990,1,999,Unknown/Other,O,5.1,16,5,0,0,99,3,,,0,null,
86,3,1100,1,37,1990,1,375,Paper birch,WB,6,18,2,16,0,0,3,,,0,null,
87,3,1100,1,38,1990,1,97,Red spruce,RS,6.6,40,2,0,0,0,2,,,0,null,
88,3,1100,1,39,1990,1,97,Red spruce,RS,7.2,40,2,14,0,0,2,,,0,null,
89,3,1100,1,40,1990,1,12,Balsam fir,BF,6.1,42,2,4,0,0,2,,,0,null,
90,3,1100,1,41,1990,1,12,Balsam fir,BF,5.2,20,2,0,0,0,4,,,0,null,
91,3,1100,1,42,1990,1,375,Paper birch,WB,5.3,14,2,0,0,0,3,,,0,null,
92,3,1100,1,43,1990,1,375,Paper birch,WB,4.6,8,2,0,0,0,3,,,0,null,
93,3,1100,1,44,1990,1,375,Paper birch,WB,5.3,12,2,0,0,0,3,,,0,null,
94,3,1100,1,45,1990,1,12,Balsam fir,BF,5.1,22,2,0,0,0,4,,,0,null,
95,3,1100,1,46,1990,1,375,Paper birch,WB,6.7,24,2,0,0,0,2,,,0,null,
96,3,1100,1,47,1990,1,375,Paper birch,WB,6.3,30,2,0,0,0,2,,,0,null,
97,3,1100,1,48,1990,1,375,Paper birch,WB,5.1,16,2,0,0,0,3,,,0,null,
98,3,1100,1,49,1990,1,375,Paper birch,WB,5.1,12,2,0,0,0,3,,,0,null,
99,3,1100,1,50,1990,1,375,Paper birch,WB,5.3,20,2,0,0,0,2,,,0,null,
100,3,1100,1,51,1990,1,375,Paper birch,WB,5.9,16,2,0,0,0,2,,,0,null,
101,3,1100,1,52,1990,1,375,Paper birch,WB,5.8,18,2,0,0,0,2,,,0,null,
102,3,1100,1,53,1990,1,375,Paper birch,WB,4.8,10,2,0,0,0,2,,,0,null,
103,3,1100,1,54,1990,1,375,Paper birch,WB,5.4,20,2,0,0,0,2,,,0,null,
104,3,1100,1,55,1990,1,375,Paper birch,WB,5.3,18,2,0,0,0,2,,,0,null,
105,3,1100,1,56,1990,1,375,Paper birch,WB,6.1,24,2,0,0,0,2,,,0,null,
106,3,1100,1,57,1990,1,375,Paper birch,WB,6.6,32,2,0,0,0,2,,,0,null,
107,3,1100,1,58,1990,1,375,Paper birch,WB,6.1,18,2,0,0,0,2,,,0,null,
108,3,1100,1,59,1990,1,375,Paper birch,WB,4.8,12,2,0,0,0,2,,,0,null,
109,3,1100,1,60,1990,1,375,Paper birch,WB,4.5,10,2,0,0,0,2,,,0,null,
110,3,1100,1,61,1990,1,375,Paper birch,WB,4.7,13,4,16,0,30,4,,,0,null,
111,3,1100,1,62,1990,1,375,Paper birch,WB,6,20,4,16,0,5,3,,,0,null,
112,3,1100,1,63,1990,1,12,Balsam fir,BF,4.5,16,2,0,0,0,4,,,0,null,
113,4,1100,1,1,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
114,4,1100,1,2,1995,2,375,Paper birch,WB,7.8,,4,0,0,0,0,,,5,null,HT_NOT_MEASURED
115,4,1100,1,3,1995,2,12,Balsam fir,BF,9.5,,4,0,0,0,0,,,8,null,HT_NOT_MEASURED
116,4,1100,1,4,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
117,4,1100,1,5,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
118,4,1100,1,6,1995,1,371,Yellow birch,YB,18.5,22,1,0,2,0,1,,,0,null,
119,4,1100,1,7,1995,1,97,Red spruce,RS,10.6,60,2,0,3,0,1,,,0,null,
120,4,1100,1,8,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
121,4,1100,1,9,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
122,4,1100,1,10,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
123,4,1100,1,11,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
124,4,1100,1,12,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
125,4,1100,1,13,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
126,4,1100,1,14,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
127,4,1100,1,15,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
128,4,1100,1,16,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
129,4,1100,1,17,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
130,4,1100,1,18,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
131,4,1100,1,19,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
132,4,1100,1,20,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
133,4,1100,1,21,1995,1,97,Red spruce,RS,8.7,56,2,0,3,0,2,,,0,null,
134,4,1100,1,22,1995,1,97,Red spruce,RS,7.7,48,2,0,3,0,2,,,0,null,
135,4,1100,1,23,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
136,4,1100,1,24,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
137,4,1100,1,25,1995,1,999,Unknown/Other,O,8.4,14,4,16,3,0,3,,,0,null,
138,4,1100,1,26,1995,2,371,Yellow birch,YB,9.5,,4,0,0,0,0,,,1,null,HT_NOT_MEASURED
139,4,1100,1,27,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
140,4,1100,1,28,1995,1,12,Balsam fir,BF,,,4,0,0,0,0,,,0,null,DIA_INGROWTH_BELOW_THRESHOLD(DIA=0 for live tree→set NULL)|HT_NOT_MEASURED
141,4,1100,1,29,1995,1,999,Unknown/Other,O,8.7,15,4,16,4,0,2,,,0,null,
142,4,1100,1,30,1995,1,375,Paper birch,WB,9,26,3,0,2,0,2,,,0,null,
143,4,1100,1,31,1995,1,375,Paper birch,WB,7.8,36,3,0,3,0,2,,,0,null,
144,4,1100,1,32,1995,1,97,Red spruce,RS,6.8,27,2,0,2,0,2,,,0,null,
145,4,1100,1,33,1995,1,12,Balsam fir,BF,5.7,30,4,0,2,0,3,,,0,null,
146,4,1100,1,34,1995,1,375,Paper birch,WB,5.5,14,4,16,3,0,3,,,0,null,
147,4,1100,1,35,1995,1,999,Unknown/Other,O,5,12,4,16,3,0,3,,,0,null,
148,4,1100,1,36,1995,2,999,Unknown/Other,O,5.1,,4,0,0,0,0,,,1,null,HT_NOT_MEASURED
149,4,1100,1,37,1995,1,375,Paper birch,WB,6.1,19,4,16,3,0,3,,,0,null,
150,4,1100,1,38,1995,1,97,Red spruce,RS,7.1,46,2,0,2,0,2,,,0,null,
151,4,1100,1,39,1995,1,97,Red spruce,RS,7.6,47,2,0,3,0,2,,,0,null,
152,4,1100,1,40,1995,2,12,Balsam fir,BF,6.1,,4,0,0,0,0,,,5,null,HT_NOT_MEASURED
153,4,1100,1,41,1995,1,12,Balsam fir,BF,5.9,24,4,0,2,0,4,,,0,null,
154,4,1100,1,42,1995,1,375,Paper birch,WB,5.5,16,4,0,2,0,3,,,0,null,
155,4,1100,1,43,1995,1,375,Paper birch,WB,4.7,10,4,16,3,0,3,,,0,null,
156,4,1100,1,44,1995,1,375,Paper birch,WB,5.3,12,4,16,4,0,3,,,0,null,
157,4,1100,1,45,1995,1,12,Balsam fir,BF,6.1,30,4,0,1,0,3,,,0,null,
158,4,1100,1,46,1995,1,375,Paper birch,WB,7,28,3,0,3,0,2,,,0,null,
159,4,1100,1,47,1995,1,375,Paper birch,WB,6.6,33,4,0,3,0,2,,,0,null,
160,4,1100,1,48,1995,1,375,Paper birch,WB,5.4,18,4,0,3,0,3,,,0,null,
161,4,1100,1,49,1995,1,375,Paper birch,WB,5.3,16,4,0,3,0,3,,,0,null,
162,4,1100,1,50,1995,1,375,Paper birch,WB,5.4,22,4,16,3,0,3,,,0,null,
163,4,1100,1,51,1995,1,375,Paper birch,WB,6.2,19,4,16,3,0,3,,,0,null,
164,4,1100,1,52,1995,1,375,Paper birch,WB,6,21,4,16,3,0,2,,,0,null,
165,4,1100,1,53,1995,1,375,Paper birch,WB,5,12,4,16,3,0,3,,,0,null,
166,4,1100,1,54,1995,1,375,Paper birch,WB,5.7,23,4,0,3,0,2,,,0,null,
167,4,1100,1,55,1995,1,375,Paper birch,WB,5.7,21,4,0,3,0,3,,,0,null,
168,4,1100,1,56,1995,1,375,Paper birch,WB,6.4,28,4,0,3,0,3,,,0,null,
169,4,1100,1,57,1995,1,375,Paper birch,WB,7.2,35,3,0,2,0,2,,,0,null,
170,4,1100,1,58,1995,1,375,Paper birch,WB,6.2,20,4,16,3,0,3,,,0,null,
171,4,1100,1,59,1995,1,375,Paper birch,WB,4.8,14,4,16,4,0,3,,,0,null,
172,4,1100,1,60,1995,1,375,Paper birch,WB,4.7,11,4,14,3,0,3,,,0,null,
173,4,1100,1,61,1995,1,375,Paper birch,WB,4.8,14,4,16,3,0,3,,,0,null,
174,4,1100,1,62,1995,1,375,Paper birch,WB,6.2,21,4,16,3,0,3,,,0,null,
175,4,1100,1,63,1995,1,12,Balsam fir,BF,5.6,18,4,0,1,0,3,,,0,null,
176,4,1100,1,64,1995,1,12,Balsam fir,BF,4.9,20,4,0,0,0,3,,,0,null,
177,4,1100,1,65,1995,1,12,Balsam fir,BF,4.7,22,4,0,0,0,3,,,0,null,
178,4,1100,1,66,1995,1,375,Paper birch,WB,4.5,12,4,0,0,0,3,,,0,null,
179,4,1100,1,67,1995,1,12,Balsam fir,BF,5.1,23,4,0,0,0,3,,,0,null,
180,4,1100,1,68,1995,1,375,Paper birch,WB,4.5,6,4,16,0,0,4,,,0,null,
181,4,1100,1,69,1995,1,375,Paper birch,WB,4.5,,4,16,0,0,4,,,0,null,HT_IMPOSSIBLE_4FT
182,4,1100,1,70,1995,1,375,Paper birch,WB,4.8,8,4,0,0,0,3,,,0,null,
183,5,1100,1,6,2000,1,371,Yellow birch,YB,18.7,22,1,0,3,,,2,,0,null,
184,5,1100,1,7,2000,1,97,Red spruce,RS,10.8,64,2,0,3,,,2,,0,null,
185,5,1100,1,21,2000,1,97,Red spruce,RS,9.1,59,2,0,3,,,2,,0,null,
186,5,1100,1,22,2000,1,97,Red spruce,RS,8.1,54,2,0,3,,,2,,0,null,
187,5,1100,1,25,2000,1,999,Unknown/Other,O,8.5,14,5,16,3,75,,4,,0,null,
188,5,1100,1,29,2000,1,999,Unknown/Other,O,8.8,15,5,0,3,75,,3,,0,null,
