CaseID,StandID,Year,RmvCode,Age,Tpa,TPrdTpa,BA,SDI,ZeideSDI,ReinekeSDI,SDIMax,RDSDI,CCF,TopHt,QMD,GMD,TCuFt,TPrdTCuFt,MCuFt,TPrdMCuFt,SCuFt,TPrdSCuFt,BdFt,TPrdBdFt,RTpa,RTCuFt,RMCuFt,RSCuFt,RBdFt,PrdLen,Acc,Mort,MAI,ForTyp,SizeCls,StkCls,variant,config
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2023,0,60,2098.209228515625,2098.209228515625,193.69776916503906,400,400,504,674,0.5937204957008362,224,53,4.1140947341918945,3.5597145557403564,3478.0654296875,3478.0654296875,2894.806884765625,2894.806884765625,1767.5079345703125,1767.5079345703125,9252.6884765625,9252.6884765625,0.0,0.0,0.0,0.0,0.0,5,85.69258880615234,4.41564416885376,48.25,121,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2028,0,65,2024.009033203125,2024.009033203125,214.59185791015625,449,449,544,668,0.6718278527259827,263,54,4.408966541290283,3.9112062454223633,3884.445068359375,3884.445068359375,3119.306640625,3119.306640625,1907.7138671875,1907.7138671875,10065.5439453125,10065.5439453125,0.0,0.0,0.0,0.0,0.0,5,96.45460510253906,7.548962593078613,47.984615325927734,124,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2033,0,70,1931.5860595703125,1931.5860595703125,236.57144165039062,496,496,583,664,0.7471807599067688,303,55,4.738713264465332,4.289108753204346,4328.982421875,4328.982421875,3350.789794921875,3350.789794921875,2041.1796875,2041.1796875,10805.3623046875,10805.3623046875,0.0,0.0,0.0,0.0,0.0,5,104.61605072021484,9.128144264221191,47.871429443359375,124,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2038,0,75,1847.832275390625,1847.832275390625,259.1551208496094,543,543,621,660,0.8225181698799133,340,55,5.070895671844482,4.660394668579102,4806.41259765625,4806.41259765625,3605.013916015625,3605.013916015625,2161.81884765625,2161.81884765625,11431.259765625,11431.259765625,0.0,0.0,0.0,0.0,0.0,5,112.5155258178711,15.337368965148926,48.06666564941406,124,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2043,0,80,1739.4676513671875,1739.4676513671875,280.04559326171875,582,582,653,658,0.8851341009140015,367,56,5.433035373687744,5.05437707901001,5292.3037109375,5292.3037109375,3873.7236328125,3873.7236328125,2296.4736328125,2296.4736328125,12228.8095703125,12228.8095703125,0.0,0.0,0.0,0.0,0.0,5,110.3510971069336,67.38529205322266,48.42499923706055,121,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2048,0,85,1394.6929931640625,1394.6929931640625,281.2334899902344,570,570,628,657,0.866927981376648,354,57,6.080376625061035,5.724944591522217,5507.13427734375,5507.13427734375,4082.26171875,4082.26171875,2397.08447265625,2397.08447265625,12809.0400390625,12809.0400390625,0.0,0.0,0.0,0.0,0.0,5,105.28644561767578,52.26919937133789,48.023529052734375,121,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2053,0,90,1216.8856201171875,1216.8856201171875,287.0508117675781,571,571,621,656,0.8706085085868835,349,57,6.576436519622803,6.242871284484863,5772.22412109375,5772.22412109375,4383.986328125,4383.986328125,2503.31640625,2503.31640625,13385.634765625,13385.634765625,0.0,0.0,0.0,0.0,0.0,5,102.2302017211914,58.69903564453125,48.71111297607422,121,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2058,0,95,1069.0601806640625,1069.0601806640625,290.2178649902344,568,568,611,654,0.8688379526138306,341,58,7.054999351501465,6.740320682525635,5989.880859375,5989.880859375,4743.365234375,4743.365234375,2622.301513671875,2622.301513671875,14183.51953125,14183.51953125,0.0,0.0,0.0,0.0,0.0,5,99.28582000732422,59.73748779296875,49.92631530761719,121,1,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2063,0,100,954.6908569335938,954.6908569335938,292.5772399902344,563,563,601,651,0.8644390106201172,333,58,7.4959211349487305,7.197434902191162,6187.6201171875,6187.6201171875,5146.32177734375,5146.32177734375,2728.943603515625,2728.943603515625,14753.4833984375,14753.4833984375,0.0,0.0,0.0,0.0,0.0,5,95.77080535888672,59.464088439941406,51.459999084472656,121,2,1,NE,default
b067cd6c-428a-40e7-90cd-8666d6207a1e,C4C-N,2068,0,105,865.1831665039062,865.1831665039062,294.70166015625,559,559,593,649,0.861747682094574,326,59,7.9026618003845215,7.618268013000488,6369.146484375,6369.146484375,5610.94189453125,5610.94189453125,2851.912109375,2851.912109375,15512.6982421875,15512.6982421875,0.0,0.0,0.0,0.0,0.0,5,93.77619171142578,59.28126525878906,53.43809509277344,121,1,1,NE,default
