StandID,Year,Period,BA_ft2ac,Tpa,QMD_in,Cords_ac,forest_type,density_class
H4C-N,2026,0,107.4862467,1495.6950666202747,3.6323692913385823,13.226258928571427,Hardwood,C+D (low)
H4C-N,2031,1,113.55996029999999,1279.7761753253976,4.0362744094488185,14.336197544642854,Hardwood,C+D (low)
H4C-N,2036,2,120.76916745,1117.8627448610864,4.453679133858268,15.69701450892857,Hardwood,C+D (low)
H4C-N,2041,3,126.6951855,984.4648002112975,4.86088188976378,16.966646205357144,Hardwood,C+D (low)
H4C-N,2046,4,132.34737975,871.1202431911975,5.281456692913386,18.289309151785712,Hardwood,C+D (low)
H4C-N,2051,5,137.24555804999997,773.3021388010486,5.708337401574803,19.612478794642858,Hardwood,C+D (low)
H4C-N,2056,6,142.49186249999997,687.504290636524,6.168682283464567,21.052162946428567,Hardwood,C+D (low)
H4C-N,2061,7,147.89779455,612.7160367747049,6.657118897637796,22.569111607142858,Hardwood,C+D (low)
H4C-N,2066,8,151.9399929,540.5871746108355,7.183535826771654,23.80216294642857,Hardwood,C+D (low)
H4C-N,2071,9,156.4114449,476.33487097604973,7.764494094488189,25.132513392857142,Hardwood,C+D (low)
H4C-N,2076,10,159.77430375,419.90497893141657,8.358205905511811,26.194761160714283,Hardwood,C+D (low)
H4C-N,2081,11,163.69036949999997,375.41254443000616,8.947306299212599,27.322957589285714,Hardwood,C+D (low)
H4C-N,2086,12,167.49572775,339.2021634711993,9.521550393700787,28.47225669642857,Hardwood,C+D (low)
H4C-N,2091,13,169.08393449999997,303.85277145053027,10.10775472440945,29.19047991071428,Hardwood,C+D (low)
H4C-N,2096,14,170.03842889999999,277.8406912531576,10.600118503937008,29.63398883928571,Hardwood,C+D (low)
H4C-N,2101,15,171.68443409999998,252.0769868687069,11.182372834645669,30.307602678571428,Hardwood,C+D (low)
H4C-N,2106,16,173.1689325,228.89659328146564,11.785564960629921,30.970066964285714,Hardwood,C+D (low)
H4C-N,2111,17,172.727712,208.82112600313658,12.3233531496063,31.1750859375,Hardwood,C+D (low)
H4C-N,2116,18,172.28528219999998,188.78660481808893,12.944152362204724,31.45269308035714,Hardwood,C+D (low)
H4C-N,2121,19,171.90007229999998,173.9803064759211,13.468619291338582,31.671268973214282,Hardwood,C+D (low)
HS3C-N,2026,0,127.94457509999998,1619.1801555263798,3.808890157480315,15.530204241071427,Mixedwood,C+D (low)
HS3C-N,2031,1,136.42730129999998,1463.256841469872,4.137380314960629,17.18277120535714,Mixedwood,C+D (low)
HS3C-N,2036,2,143.52028079999997,1325.789823155971,4.4581468503937005,18.679283482142854,Mixedwood,C+D (low)
HS3C-N,2041,3,149.1772905,1197.217309635632,4.782995275590552,20.014132812499998,Mixedwood,C+D (low)
HS3C-N,2046,4,155.249847,1080.2598001387832,5.136727952755905,21.58857366071428,Mixedwood,C+D (low)
HS3C-N,2051,5,158.50882349999998,968.7553892024916,5.480936220472441,22.71941071428571,Mixedwood,C+D (low)
HS3C-N,2056,6,162.532704,870.0722692520646,5.85636062992126,24.1183828125,Mixedwood,C+D (low)
HS3C-N,2061,7,166.8112596,780.1711110180947,6.265458267716535,25.555455357142854,Mixedwood,C+D (low)
HS3C-N,2066,8,168.7774074,694.990772675057,6.677327952755905,26.513368303571426,Mixedwood,C+D (low)
HS3C-N,2071,9,170.8593348,624.3691217171289,7.088164173228346,27.522534598214282,Mixedwood,C+D (low)
HS3C-N,2076,10,174.23664,562.9116175961848,7.538496456692912,28.76411160714286,Mixedwood,C+D (low)
HS3C-N,2081,11,175.35638655,505.2104460750335,7.982882677165354,29.564594866071428,Mixedwood,C+D (low)
HS3C-N,2086,12,175.54204019999997,457.2665691366904,8.39539094488189,30.12251897321428,Mixedwood,C+D (low)
HS3C-N,2091,13,176.8822665,419.075535239091,8.803007874015748,30.871205357142852,Mixedwood,C+D (low)
HS3C-N,2096,14,177.2054019,386.26787256589165,9.177603543307086,31.367905133928566,Mixedwood,C+D (low)
HS3C-N,2101,15,178.59544005,360.4364885546335,9.537969291338582,31.988934151785713,Mixedwood,C+D (low)
HS3C-N,2106,16,179.4957117,333.0458831386939,9.947412598425197,32.52777008928571,Mixedwood,C+D (low)
HS3C-N,2111,17,182.34122069999998,311.687602843043,10.363770472440944,33.37143973214285,Mixedwood,C+D (low)
HS3C-N,2116,18,184.58726054999997,289.59203386951634,10.817892913385826,34.19006696428571,Mixedwood,C+D (low)
HS3C-N,2121,19,184.15749359999998,264.03338369998636,11.316194488188977,34.358852678571424,Mixedwood,C+D (low)
S2A-N,2026,0,160.37192849999997,3302.5215604180426,2.9859081102362204,13.016440178571427,Commercial Softwood,A+B (high)
S2A-N,2031,1,174.71714099999997,2817.4991408858696,3.374201181102362,15.738049107142857,Commercial Softwood,A+B (high)
S2A-N,2036,2,185.4075705,2387.137246833348,3.7762444881889765,18.366876116071424,Commercial Softwood,A+B (high)
S2A-N,2041,3,193.557513,2013.0803993048305,4.20155,20.924943080357142,Commercial Softwood,A+B (high)
S2A-N,2046,4,198.84317625,1694.5996785215218,4.641484251968504,23.228321428571427,Commercial Softwood,A+B (high)
S2A-N,2051,5,201.33747495,1428.9961954667908,5.086064566929134,25.170328124999997,Commercial Softwood,A+B (high)
S2A-N,2056,6,203.92388925,1210.7867429682976,5.560775196850393,27.16103571428571,Commercial Softwood,A+B (high)
S2A-N,2061,7,204.97813349999998,1029.0506766275,6.047424803149607,28.842592633928565,Commercial Softwood,A+B (high)
S2A-N,2066,8,204.8096232,879.1421243344078,6.540045275590551,30.152001116071425,Commercial Softwood,A+B (high)
S2A-N,2071,9,204.09045944999997,755.2117193475867,7.043881889763779,31.292704241071426,Commercial Softwood,A+B (high)
S2A-N,2076,10,202.10516295,654.3032735190719,7.5306811023622044,31.97509263392857,Commercial Softwood,A+B (high)
S2A-N,2081,11,200.14406549999998,569.5265281670355,8.032477559055119,32.66067857142857,Commercial Softwood,A+B (high)
S2A-N,2086,12,198.29091329999997,508.5654519234215,8.46083188976378,33.230069196428566,Commercial Softwood,A+B (high)
S2A-N,2091,13,197.1400425,468.59036137202753,8.78872440944882,33.864188616071424,Commercial Softwood,A+B (high)
S2A-N,2096,14,196.110876,439.0265778698584,9.05608622047244,34.450350446428565,Commercial Softwood,A+B (high)
S2A-N,2101,15,192.8829324,413.7542185110713,9.25147125984252,34.59231473214285,Commercial Softwood,A+B (high)
S2A-N,2106,16,192.3111945,393.9036836064095,9.467653543307087,35.17800446428571,Commercial Softwood,A+B (high)
S2A-N,2111,17,191.03654444999998,375.2790952926227,9.667543700787402,35.536216517857135,Commercial Softwood,A+B (high)
S2A-N,2116,18,191.0490855,358.3237624096411,9.893951968503938,36.130837053571426,Commercial Softwood,A+B (high)
S2A-N,2121,19,191.55351149999998,343.46854162018343,10.11897874015748,36.75805803571428,Commercial Softwood,A+B (high)
S3B-N,2026,0,198.70594244999998,1836.1000367573258,4.457510236220472,25.03372433035714,Commercial Softwood,A+B (high)
S3B-N,2031,1,202.2411831,1563.8892916903824,4.872668897637795,26.37287946428571,Commercial Softwood,A+B (high)
S3B-N,2036,2,205.39869149999996,1350.7820753006283,5.283738188976378,27.60287946428571,Commercial Softwood,A+B (high)
S3B-N,2041,3,207.32538044999998,1182.1791507016023,5.6743968503937,28.57655803571428,Commercial Softwood,A+B (high)
S3B-N,2046,4,208.69494749999998,1048.2001584066918,6.046011417322834,29.37790625,Commercial Softwood,A+B (high)
S3B-N,2051,5,210.93608925,941.536516185691,6.413453937007874,30.308593749999996,Commercial Softwood,A+B (high)
S3B-N,2056,6,214.12875,855.0666875122347,6.780669291338582,31.446122767857137,Commercial Softwood,A+B (high)
S3B-N,2061,7,216.2502624,780.1913048316422,7.133667716535434,32.382603794642854,Commercial Softwood,A+B (high)
S3B-N,2066,8,219.82355249999998,715.4255360539883,7.510865748031495,33.537078124999994,Commercial Softwood,A+B (high)
S3B-N,2071,9,220.10013854999997,656.6433277767337,7.844774803149606,34.115249999999996,Commercial Softwood,A+B (high)
S3B-N,2076,10,222.98869949999997,610.4103807966331,8.189654330708661,35.12403571428571,Commercial Softwood,A+B (high)
S3B-N,2081,11,225.3077454,569.4744046563156,8.52287401574803,35.93724330357143,Commercial Softwood,A+B (high)
S3B-N,2086,12,228.48174899999998,534.7778312794185,8.856745669291339,36.86657366071428,Commercial Softwood,A+B (high)
S3B-N,2091,13,232.26913305,501.9108416910675,9.217594488188977,37.89510714285714,Commercial Softwood,A+B (high)
S3B-N,2096,14,233.45007104999996,471.5930479002854,9.533413385826773,38.49787388392857,Commercial Softwood,A+B (high)
