"forest_type","density_class","Year","TPA","BA","QMD","Cords","NetCords","n_stands"
"Cedar","C+D (low)",2023,359.769102359677,161.582312034,9.07459833022219,0,35.819847503,1
"Cedar","C+D (low)",2028,330.191082168061,159.277688464,9.40453301826919,0,36.908937375,1
"Cedar","C+D (low)",2033,340.932329585644,164.725450531,9.41214680032805,0,38.930948785,1
"Cedar","C+D (low)",2038,348.966855139889,168.45620198,9.4079249837419,0,40.784912079,1
"Cedar","C+D (low)",2043,352.961583932659,170.79316154,9.41919856395363,0,42.221465113,1
"Cedar","C+D (low)",2048,395.970271652977,177.555271464,9.06729880496863,0,43.611732319,1
"Cedar","C+D (low)",2053,439.042867044218,184.454241434,8.77674121755724,0,45.012268422,1
"Cedar","C+D (low)",2058,520.702343598969,196.456302011,8.317267116056,0,46.351641726,1
"Cedar","C+D (low)",2063,587.503286116676,208.364722952,8.06397884168939,0,48.527360063,1
"Cedar","C+D (low)",2068,567.30219290289,210.128472102,8.24095710050842,0,50.74236163,1
"Cedar","C+D (low)",2073,573.718655404469,214.048271285,8.27082457683665,0,51.914538217,1
"Cedar","C+D (low)",2078,550.591143720561,213.951917235,8.44084477445115,0,53.1358101237,1
"Cedar","C+D (low)",2083,533.230171211805,213.829104957,8.5746911238003,0,53.8529626643,1
"Cedar","C+D (low)",2088,528.616689058515,214.804928286,8.63165589546873,0,54.8581115314,1
"Cedar","C+D (low)",2093,499.51043967357,212.508730278,8.83198935105828,0,55.3691614349,1
"Cedar","C+D (low)",2098,459.830111067549,208.388591109,9.11550427406817,0,55.8656706585,1
"Cedar","C+D (low)",2103,434.936355851609,205.504704649,9.30765895658816,0,56.0801495789,1
"Cedar","C+D (low)",2108,425.952272870511,204.206337114,9.37554604157049,0,56.6102992724,1
"Cedar","C+D (low)",2113,441.140894580001,205.7434121425,9.24733822630286,0,57.2124139945,1
"Cedar","C+D (low)",2118,462.751532525762,208.5440475236,9.09007359741734,0,58.5510435292,1
"Cedar","C+D (low)",2123,441.51522489649,206.3582270664,9.25721787227194,0,59.3365874942,1
"Commercial Softwood","A+B (high)",2023,370.615941873754,126.348925027,7.78772533488597,0,27.07662072875,2
"Commercial Softwood","A+B (high)",2028,364.986382605077,128.4420723664,7.92548426014423,0,28.5606536386,2
"Commercial Softwood","A+B (high)",2033,375.688223928665,136.6104175793,8.07884082267431,0,31.20058051255,2
"Commercial Softwood","A+B (high)",2038,423.159340452032,147.4305177151,7.96520967374487,0,33.461018149365,2
"Commercial Softwood","A+B (high)",2043,487.257837951038,159.87608803725,7.80660746802401,0,35.9386309208,2
"Commercial Softwood","A+B (high)",2048,502.166276070711,166.03083067515,7.85028305451459,0,37.89047528119,2
"Commercial Softwood","A+B (high)",2053,565.105201124856,177.61197730435,7.67888051681519,0,39.81601679935,2
"Commercial Softwood","A+B (high)",2058,608.352107330064,187.14526045845,7.62273231993353,0,41.84353938705,2
"Commercial Softwood","A+B (high)",2063,642.355114818608,195.94755403825,7.58550185934544,0,43.82386186545,2
"Commercial Softwood","A+B (high)",2068,701.362614871221,208.3566856629,7.51887885189352,0,46.06885282473,2
"Commercial Softwood","A+B (high)",2073,699.471328202314,213.96819384515,7.60781139482832,0,48.481498630835,2
"Commercial Softwood","A+B (high)",2078,667.722545571388,215.39233784265,7.79082455122737,0,50.494287935395,2
"Commercial Softwood","A+B (high)",2083,626.623224882484,214.78982717245,8.00936767475407,0,51.911161138755,2
"Commercial Softwood","A+B (high)",2088,598.343829450872,214.9175131155,8.15996607305601,0,53.42362597541,2
"Commercial Softwood","A+B (high)",2093,560.351425757859,213.2536256605,8.38978802331913,0,54.69433090815,2
"Commercial Softwood","A+B (high)",2098,525.638960914556,211.37490400956,8.61508076727631,0,55.877861910555,2
"Commercial Softwood","A+B (high)",2103,492.316035192975,209.197185828,8.83866362972156,0,57.027450279695,2
"Commercial Softwood","A+B (high)",2108,461.428882424072,206.86569888614,9.06760293070145,0,57.994882840915,2
"Commercial Softwood","A+B (high)",2113,444.111440745806,205.86602726424,9.2183729784687,0,58.872388676034,2
"Commercial Softwood","A+B (high)",2118,429.071349629216,205.096680519415,9.37088718071335,0,60.058795913161,2
"Commercial Softwood","A+B (high)",2123,402.554915013555,202.852000248685,9.63103669053838,0,61.032640164955,2
"Commercial Softwood","C+D (low)",2023,291.728999235872,109.447031891502,8.29879912650098,0,24.8089461881873,3
"Commercial Softwood","C+D (low)",2028,295.366852981576,112.752636547567,8.39277049512012,0,26.3950451282633,3
"Commercial Softwood","C+D (low)",2033,333.446279750299,125.3259562416,8.39817540622731,0,29.6162039720067,3
"Commercial Softwood","C+D (low)",2038,381.955483541978,137.0934936834,8.23272894144884,0,32.07097688793,3
"Commercial Softwood","C+D (low)",2043,407.049435119776,145.884539279167,8.2154209161931,0,34.6295210005433,3
"Commercial Softwood","C+D (low)",2048,468.938239324505,158.582177903223,7.95227025272402,0,36.6412700905,3
"Commercial Softwood","C+D (low)",2053,522.704004484472,170.8804617438,7.80740851156831,0,39.2187814199767,3
"Commercial Softwood","C+D (low)",2058,601.17960093514,186.18445467747,7.57314504431955,0,41.2824354053567,3
"Commercial Softwood","C+D (low)",2063,641.307053378302,197.90147740206,7.56635333427077,0,43.84113513331,3
"Commercial Softwood","C+D (low)",2068,625.905343679039,202.643499819503,7.7559118050296,0,46.3054097235833,3
"Commercial Softwood","C+D (low)",2073,638.365784099591,209.89754106763,7.81454213278067,0,48.5524820273133,3
"Commercial Softwood","C+D (low)",2078,604.264546228186,210.912255861923,8.05349546950944,0,50.41865765162,3
"Commercial Softwood","C+D (low)",2083,594.566241232444,213.968502934443,8.16466028779202,0,51.9593706069603,3
"Commercial Softwood","C+D (low)",2088,572.804096921391,215.095329684,8.35043433327596,0,53.5522421692933,3
"Commercial Softwood","C+D (low)",2093,540.313595430204,214.480717007313,8.59280355128738,0,54.9725915552557,3
"Commercial Softwood","C+D (low)",2098,511.616679340107,213.776189677417,8.8230974442187,0,56.4445188672907,3
"Commercial Softwood","C+D (low)",2103,481.105480375986,212.49691740366,9.07190004066885,0,57.7867156016433,3
"Commercial Softwood","C+D (low)",2108,452.387160055111,211.10055467927,9.32185733220573,0,59.0497054677063,3
"Commercial Softwood","C+D (low)",2113,443.800195164761,211.86276668622,9.41247336959907,0,60.280344856905,3
"Commercial Softwood","C+D (low)",2118,423.509168139566,211.251180974603,9.6235789680964,0,61.6353380110967,3
