"forest_type","density_class","Year","mean","q05","q95","n_stands","total_plots"
"Cedar","C+D (low)",2023,161.582312034,161.582312034,161.582312034,1,68
"Cedar","C+D (low)",2028,159.277688464,159.277688464,159.277688464,1,68
"Cedar","C+D (low)",2033,164.725450531,164.725450531,164.725450531,1,68
"Cedar","C+D (low)",2038,168.45620198,168.45620198,168.45620198,1,68
"Cedar","C+D (low)",2043,170.79316154,170.79316154,170.79316154,1,68
"Cedar","C+D (low)",2048,177.555271464,177.555271464,177.555271464,1,68
"Cedar","C+D (low)",2053,184.454241434,184.454241434,184.454241434,1,68
"Cedar","C+D (low)",2058,196.456302011,196.456302011,196.456302011,1,68
"Cedar","C+D (low)",2063,208.364722952,208.364722952,208.364722952,1,68
"Cedar","C+D (low)",2068,210.128472102,210.128472102,210.128472102,1,68
"Cedar","C+D (low)",2073,214.048271285,214.048271285,214.048271285,1,68
"Cedar","C+D (low)",2078,213.951917235,213.951917235,213.951917235,1,68
"Cedar","C+D (low)",2083,213.829104957,213.829104957,213.829104957,1,68
"Cedar","C+D (low)",2088,214.804928286,214.804928286,214.804928286,1,68
"Cedar","C+D (low)",2093,212.508730278,212.508730278,212.508730278,1,68
"Cedar","C+D (low)",2098,208.388591109,208.388591109,208.388591109,1,68
"Cedar","C+D (low)",2103,205.504704649,205.504704649,205.504704649,1,68
"Cedar","C+D (low)",2108,204.206337114,204.206337114,204.206337114,1,68
"Cedar","C+D (low)",2113,205.7434121425,205.7434121425,205.7434121425,1,68
"Cedar","C+D (low)",2118,208.5440475236,208.5440475236,208.5440475236,1,68
"Cedar","C+D (low)",2123,206.3582270664,206.3582270664,206.3582270664,1,68
"Hardwood","A+B (high)",2023,97.155419302,97.155419302,97.155419302,1,148
"Hardwood","A+B (high)",2028,99.9787506188,99.9787506188,99.9787506188,1,148
"Hardwood","A+B (high)",2033,108.7721455393,108.7721455393,108.7721455393,1,148
"Hardwood","A+B (high)",2038,114.9765031796,114.9765031796,114.9765031796,1,148
"Hardwood","A+B (high)",2043,121.9538532771,121.9538532771,121.9538532771,1,148
"Hardwood","A+B (high)",2048,131.41530908803,131.41530908803,131.41530908803,1,148
"Hardwood","A+B (high)",2053,140.85159255643,140.85159255643,140.85159255643,1,148
"Hardwood","A+B (high)",2058,151.00729066933,151.00729066933,151.00729066933,1,148
"Hardwood","A+B (high)",2063,159.27647686283,159.27647686283,159.27647686283,1,148
"Hardwood","A+B (high)",2068,165.78071971973,165.78071971973,165.78071971973,1,148
"Hardwood","A+B (high)",2073,173.40066314003,173.40066314003,173.40066314003,1,148
"Hardwood","A+B (high)",2078,180.37467298509,180.37467298509,180.37467298509,1,148
"Hardwood","A+B (high)",2083,188.82865851703,188.82865851703,188.82865851703,1,148
"Hardwood","A+B (high)",2088,192.92360277652,192.92360277652,192.92360277652,1,148
"Hardwood","A+B (high)",2093,196.26845743167,196.26845743167,196.26845743167,1,148
"Hardwood","A+B (high)",2098,199.53986225152,199.53986225152,199.53986225152,1,148
"Hardwood","A+B (high)",2103,202.24294398325,202.24294398325,202.24294398325,1,148
"Hardwood","A+B (high)",2108,204.04620559961,204.04620559961,204.04620559961,1,148
"Hardwood","A+B (high)",2113,205.50109896366,205.50109896366,205.50109896366,1,148
"Hardwood","A+B (high)",2118,206.97370427946,206.97370427946,206.97370427946,1,148
"Hardwood","A+B (high)",2123,208.6102780485,208.6102780485,208.6102780485,1,148
"Hardwood","C+D (low)",2023,74.4447339874693,68.72709303346,79.180227316,3,860
"Hardwood","C+D (low)",2028,79.6207563379185,74.56239459865,82.342917846,3,860
"Hardwood","C+D (low)",2033,90.1634333622494,87.1822926527,91.9842337581,3,860
"Hardwood","C+D (low)",2038,100.583089871805,93.7322567373,102.9432395467,3,860
"Hardwood","C+D (low)",2043,112.802546572191,100.9805995339,116.19206570676,3,860
"Hardwood","C+D (low)",2048,123.547019484163,109.593219848,128.63528665,3,860
"Hardwood","C+D (low)",2053,134.926265168341,119.832351347,139.3634368926,3,860
"Hardwood","C+D (low)",2058,145.929176142224,128.1735194026,150.6234104177,3,860
"Hardwood","C+D (low)",2063,153.158626235966,136.53131861407,157.6219796616,3,860
"Hardwood","C+D (low)",2068,159.132802119798,142.04184845194,163.5990344091,3,860
"Hardwood","C+D (low)",2073,167.661756255161,153.47619883172,172.1384638541,3,860
"Hardwood","C+D (low)",2078,174.23870734099,161.28745990313,178.66848609523,3,860
"Hardwood","C+D (low)",2083,179.591045246741,168.16339751597,183.59029113998,3,860
"Hardwood","C+D (low)",2088,183.703343573757,173.7913867469,187.5721181869,3,860
"Hardwood","C+D (low)",2093,187.342811239052,178.31335287712,191.30516904636,3,860
"Hardwood","C+D (low)",2098,190.1189292008,182.04222721222,193.98541910844,3,860
"Hardwood","C+D (low)",2103,192.191874127809,185.52917581839,195.8047903487,3,860
"Hardwood","C+D (low)",2108,194.658261971793,188.03147460265,198.57847361065,3,860
"Hardwood","C+D (low)",2113,196.408445547285,190.79511263589,200.14592350853,3,860
"Hardwood","C+D (low)",2118,197.888479155822,193.19692375191,201.37121501047,3,860
"Hardwood","C+D (low)",2123,199.425452778231,195.88317964414,202.58851872483,3,860
"Mixedwood","C+D (low)",2023,97.68264699,97.68264699,97.68264699,1,101
"Mixedwood","C+D (low)",2028,99.727687554,99.727687554,99.727687554,1,101
"Mixedwood","C+D (low)",2033,109.973796208,109.973796208,109.973796208,1,101
"Mixedwood","C+D (low)",2038,121.859244332,121.859244332,121.859244332,1,101
"Mixedwood","C+D (low)",2043,129.599983241,129.599983241,129.599983241,1,101
"Mixedwood","C+D (low)",2048,142.758755576,142.758755576,142.758755576,1,101
"Mixedwood","C+D (low)",2053,151.399103639,151.399103639,151.399103639,1,101
"Mixedwood","C+D (low)",2058,163.527017369,163.527017369,163.527017369,1,101
"Mixedwood","C+D (low)",2063,170.7820898924,170.7820898924,170.7820898924,1,101
"Mixedwood","C+D (low)",2068,185.6656551415,185.6656551415,185.6656551415,1,101
"Mixedwood","C+D (low)",2073,192.2813281341,192.2813281341,192.2813281341,1,101
"Mixedwood","C+D (low)",2078,196.0422236818,196.0422236818,196.0422236818,1,101
"Mixedwood","C+D (low)",2083,200.7116476067,200.7116476067,200.7116476067,1,101
"Mixedwood","C+D (low)",2088,205.2104550689,205.2104550689,205.2104550689,1,101
"Mixedwood","C+D (low)",2093,206.3953042673,206.3953042673,206.3953042673,1,101
"Mixedwood","C+D (low)",2098,208.4953455281,208.4953455281,208.4953455281,1,101
"Mixedwood","C+D (low)",2103,209.332864404,209.332864404,209.332864404,1,101
"Mixedwood","C+D (low)",2108,209.8783845169,209.8783845169,209.8783845169,1,101
"Mixedwood","C+D (low)",2113,210.89383205021,210.89383205021,210.89383205021,1,101
"Mixedwood","C+D (low)",2118,211.52210202352,211.52210202352,211.52210202352,1,101
"Mixedwood","C+D (low)",2123,212.30592894614,212.30592894614,212.30592894614,1,101
"Commercial Softwood","A+B (high)",2023,129.156814908704,88.368519785,164.329330269,2,257
"Commercial Softwood","A+B (high)",2028,131.136766655274,91.992786459,164.8913582738,2,257
"Commercial Softwood","A+B (high)",2033,139.163123683069,102.081708702,171.1391264566,2,257
"Commercial Softwood","A+B (high)",2038,149.587098819897,118.259920666,176.6011147642,2,257
"Commercial Softwood","A+B (high)",2043,161.502309666008,137.879300743,181.8728753315,2,257
