"forest_type","density_class","Year","mean","q05","q95","n_stands","total_plots"
"Cedar","C+D (low)",2023,35.819847503,35.819847503,35.819847503,1,68
"Cedar","C+D (low)",2028,36.908937375,36.908937375,36.908937375,1,68
"Cedar","C+D (low)",2033,38.930948785,38.930948785,38.930948785,1,68
"Cedar","C+D (low)",2038,40.784912079,40.784912079,40.784912079,1,68
"Cedar","C+D (low)",2043,42.221465113,42.221465113,42.221465113,1,68
"Cedar","C+D (low)",2048,43.611732319,43.611732319,43.611732319,1,68
"Cedar","C+D (low)",2053,45.012268422,45.012268422,45.012268422,1,68
"Cedar","C+D (low)",2058,46.351641726,46.351641726,46.351641726,1,68
"Cedar","C+D (low)",2063,48.527360063,48.527360063,48.527360063,1,68
"Cedar","C+D (low)",2068,50.74236163,50.74236163,50.74236163,1,68
"Cedar","C+D (low)",2073,51.914538217,51.914538217,51.914538217,1,68
"Cedar","C+D (low)",2078,53.1358101237,53.1358101237,53.1358101237,1,68
"Cedar","C+D (low)",2083,53.8529626643,53.8529626643,53.8529626643,1,68
"Cedar","C+D (low)",2088,54.8581115314,54.8581115314,54.8581115314,1,68
"Cedar","C+D (low)",2093,55.3691614349,55.3691614349,55.3691614349,1,68
"Cedar","C+D (low)",2098,55.8656706585,55.8656706585,55.8656706585,1,68
"Cedar","C+D (low)",2103,56.0801495789,56.0801495789,56.0801495789,1,68
"Cedar","C+D (low)",2108,56.6102992724,56.6102992724,56.6102992724,1,68
"Cedar","C+D (low)",2113,57.2124139945,57.2124139945,57.2124139945,1,68
"Cedar","C+D (low)",2118,58.5510435292,58.5510435292,58.5510435292,1,68
"Cedar","C+D (low)",2123,59.3365874942,59.3365874942,59.3365874942,1,68
"Hardwood","A+B (high)",2023,24.9634378067,24.9634378067,24.9634378067,1,148
"Hardwood","A+B (high)",2028,26.4865656732,26.4865656732,26.4865656732,1,148
"Hardwood","A+B (high)",2033,28.9727743662,28.9727743662,28.9727743662,1,148
"Hardwood","A+B (high)",2038,31.31465127819,31.31465127819,31.31465127819,1,148
"Hardwood","A+B (high)",2043,33.4948200844,33.4948200844,33.4948200844,1,148
"Hardwood","A+B (high)",2048,35.72338310913,35.72338310913,35.72338310913,1,148
"Hardwood","A+B (high)",2053,38.028741829066,38.028741829066,38.028741829066,1,148
"Hardwood","A+B (high)",2058,40.24982621257,40.24982621257,40.24982621257,1,148
"Hardwood","A+B (high)",2063,42.46952716001,42.46952716001,42.46952716001,1,148
"Hardwood","A+B (high)",2068,44.67086447039,44.67086447039,44.67086447039,1,148
"Hardwood","A+B (high)",2073,46.73641342013,46.73641342013,46.73641342013,1,148
"Hardwood","A+B (high)",2078,48.92366018553,48.92366018553,48.92366018553,1,148
"Hardwood","A+B (high)",2083,51.2294970336,51.2294970336,51.2294970336,1,148
"Hardwood","A+B (high)",2088,53.46821057182,53.46821057182,53.46821057182,1,148
"Hardwood","A+B (high)",2093,55.461742473811,55.461742473811,55.461742473811,1,148
"Hardwood","A+B (high)",2098,57.198353707824,57.198353707824,57.198353707824,1,148
"Hardwood","A+B (high)",2103,58.963960884909,58.963960884909,58.963960884909,1,148
"Hardwood","A+B (high)",2108,60.725804154895,60.725804154895,60.725804154895,1,148
"Hardwood","A+B (high)",2113,62.408269471659,62.408269471659,62.408269471659,1,148
"Hardwood","A+B (high)",2118,63.844267019612,63.844267019612,63.844267019612,1,148
"Hardwood","A+B (high)",2123,65.302114593053,65.302114593053,65.302114593053,1,148
"Hardwood","C+D (low)",2023,17.4744218041227,14.96218805952,21.1822777623,3,860
"Hardwood","C+D (low)",2028,19.2716708519051,17.06474764384,22.3784756373,3,860
"Hardwood","C+D (low)",2033,22.2288720502129,20.767785382739,24.187191256,3,860
"Hardwood","C+D (low)",2038,24.8081337869933,23.669948136427,25.9691238616,3,860
"Hardwood","C+D (low)",2043,27.4394201085149,26.647582643626,27.84288352845,3,860
"Hardwood","C+D (low)",2048,30.1209734022828,29.6997806067,30.50117540331,3,860
"Hardwood","C+D (low)",2053,32.6995953196329,31.9930825013,33.02158658987,3,860
"Hardwood","C+D (low)",2058,35.2707687421535,33.87472979731,35.80836076774,3,860
"Hardwood","C+D (low)",2063,37.8375764136253,36.31144681369,38.36176066553,3,860
"Hardwood","C+D (low)",2068,39.9411124012455,38.0931965609,40.47559641835,3,860
"Hardwood","C+D (low)",2073,42.3999545710558,40.819281274679,42.95959097408,3,860
"Hardwood","C+D (low)",2078,44.6735677535597,43.14471186809,45.26586973964,3,860
"Hardwood","C+D (low)",2083,46.8312682730925,45.363962279643,47.45831773416,3,860
"Hardwood","C+D (low)",2088,48.9482640756348,47.512192343509,49.60633378496,3,860
"Hardwood","C+D (low)",2093,50.9163793288563,49.682669141678,51.567495002388,3,860
"Hardwood","C+D (low)",2098,52.8191343568951,51.769099026422,53.528012723613,3,860
"Hardwood","C+D (low)",2103,54.513258381479,53.673456742736,55.107554601826,3,860
"Hardwood","C+D (low)",2108,56.2350112278143,55.534259513858,56.858678179316,3,860
"Hardwood","C+D (low)",2113,57.9721939879086,57.1491668437,58.633740395268,3,860
"Hardwood","C+D (low)",2118,59.4958061165613,58.620926026276,60.137858143537,3,860
"Hardwood","C+D (low)",2123,61.1052574036235,60.053312722627,61.73376647098,3,860
"Mixedwood","C+D (low)",2023,23.2575559718,23.2575559718,23.2575559718,1,101
"Mixedwood","C+D (low)",2028,24.6621995612,24.6621995612,24.6621995612,1,101
"Mixedwood","C+D (low)",2033,27.6319973283,27.6319973283,27.6319973283,1,101
"Mixedwood","C+D (low)",2038,30.1878626547,30.1878626547,30.1878626547,1,101
"Mixedwood","C+D (low)",2043,32.6522259701,32.6522259701,32.6522259701,1,101
"Mixedwood","C+D (low)",2048,34.8402856684,34.8402856684,34.8402856684,1,101
"Mixedwood","C+D (low)",2053,37.3081595639,37.3081595639,37.3081595639,1,101
"Mixedwood","C+D (low)",2058,39.6233159767,39.6233159767,39.6233159767,1,101
"Mixedwood","C+D (low)",2063,42.179154426,42.179154426,42.179154426,1,101
"Mixedwood","C+D (low)",2068,44.3071251742,44.3071251742,44.3071251742,1,101
"Mixedwood","C+D (low)",2073,47.45218230662,47.45218230662,47.45218230662,1,101
"Mixedwood","C+D (low)",2078,49.7174846356,49.7174846356,49.7174846356,1,101
"Mixedwood","C+D (low)",2083,51.772182864,51.772182864,51.772182864,1,101
"Mixedwood","C+D (low)",2088,53.98447810242,53.98447810242,53.98447810242,1,101
"Mixedwood","C+D (low)",2093,56.03423880121,56.03423880121,56.03423880121,1,101
"Mixedwood","C+D (low)",2098,57.86293536734,57.86293536734,57.86293536734,1,101
"Mixedwood","C+D (low)",2103,59.72207244328,59.72207244328,59.72207244328,1,101
"Mixedwood","C+D (low)",2108,61.5094120236,61.5094120236,61.5094120236,1,101
"Mixedwood","C+D (low)",2113,63.14895193307,63.14895193307,63.14895193307,1,101
"Mixedwood","C+D (low)",2118,64.8056333831,64.8056333831,64.8056333831,1,101
"Mixedwood","C+D (low)",2123,66.36368036652,66.36368036652,66.36368036652,1,101
"Commercial Softwood","A+B (high)",2023,27.8178387149035,17.0506721792,37.1025692783,2,257
"Commercial Softwood","A+B (high)",2028,29.275693360549,18.8888005575,38.2325067197,2,257
"Commercial Softwood","A+B (high)",2033,31.9000326051156,21.7395706289,40.6615903962,2,257
"Commercial Softwood","A+B (high)",2038,34.1460198804924,24.1954684178,42.72656788093,2,257
"Commercial Softwood","A+B (high)",2043,36.5786388458136,27.2816816193,44.5955802223,2,257
"Commercial Softwood","A+B (high)",2048,38.4979887720169,29.6730559579,46.10789460448,2,257
"Commercial Softwood","A+B (high)",2053,40.426254030191,31.5617553085,48.0702782902,2,257
"Commercial Softwood","A+B (high)",2058,42.4120383268895,34.1538432008,49.5332355733,2,257
"Commercial Softwood","A+B (high)",2063,44.3497334834693,36.7107562954,50.9369674355,2,257
"Commercial Softwood","A+B (high)",2068,46.5833876097811,39.10909283746,53.028612812,2,257
"Commercial Softwood","A+B (high)",2073,48.9355475339624,42.33988978327,54.6231074784,2,257
"Commercial Softwood","A+B (high)",2078,50.9020624388586,44.97860123065,56.00997464014,2,257
"Commercial Softwood","A+B (high)",2083,52.2946797411709,46.72356741134,57.09875486617,2,257
"Commercial Softwood","A+B (high)",2088,53.7834499851398,48.55653279117,58.29071915965,2,257
"Commercial Softwood","A+B (high)",2093,55.0371387333361,50.05740400958,59.33125780672,2,257
"Commercial Softwood","A+B (high)",2098,56.2054766245863,51.44644183129,60.30928198982,2,257
