"forest_type","density_class","year_start","year_end","BA_0","BA_100","TPA_0","TPA_100","QMD_0","QMD_100","NetCords_0","NetCords_100","growth_factor_BA","growth_factor_NetCords","n_stands"
"Cedar","A+B (high)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cedar","C+D (low)",2023,2123,161.6,206.4,360,442,9.07,9.26,35.8,59.3,1.28,1.66,1
"Hardwood","A+B (high)",2023,2123,97.2,208.6,234,343,8.72,10.56,25,65.3,2.15,2.62,1
"Hardwood","C+D (low)",2023,2123,74.6,198.3,208,336,8.19,10.4,17.9,61,2.66,3.41,3
"Mixedwood","A+B (high)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mixedwood","C+D (low)",2023,2123,97.7,212.3,267,358,8.19,10.43,23.3,66.4,2.17,2.85,1
"Commercial Softwood","A+B (high)",2023,2123,126.3,202.9,371,403,7.79,9.63,27.1,61,1.61,2.25,2
"Commercial Softwood","C+D (low)",2023,2123,109.4,211,292,407,8.3,9.82,24.8,62.9,1.93,2.54,3
"Other Softwood","A+B (high)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Other Softwood","C+D (low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
