PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,model,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
65168045010538,36,2004,2010,6,ne,fvs_base,32.09402084350586,59.0859489440918,9.979443550109863,657.9168701171875,957.2028198242188,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,organon,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,diag_dg_only,32.09402084350586,59.0859489440918,9.979443550109863,657.9168701171875,957.2028198242188,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,diag_hg_only,32.09402084350586,59.0859489440918,9.979443550109863,657.9168701171875,957.2028198242188,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,diag_mort_only,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,diag_dg_mort,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
247056940010661,24,2012,2019,7,ne,fvs_base,47.45096206665039,124.55619049072266,8.35749626159668,835.6744384765625,2347.091796875,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,organon,42.66798400878906,109.46040344238281,8.453935623168945,748.5936889648438,2125.16748046875,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,diag_dg_only,47.45096206665039,124.55619049072266,8.35749626159668,835.6744384765625,2347.091796875,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,diag_hg_only,47.44157028198242,124.55606842041016,8.356673240661621,955.4683227539062,2707.024658203125,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,diag_mort_only,42.846473693847656,109.87289428710938,8.455683708190918,761.0326538085938,2133.86376953125,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,diag_dg_mort,42.846473693847656,109.87289428710938,8.455683708190918,761.0326538085938,2133.86376953125,72.70805488944526,934.2882032032819,2453.506850757968
171929084020004,33,2014,2021,7,ne,fvs_base,79.63716888427734,171.10955810546875,9.237554550170898,2086.46728515625,3047.8828125,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,organon,72.89189910888672,156.772216796875,9.232970237731934,1974.3673095703125,2968.539306640625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,diag_dg_only,79.63716888427734,171.10955810546875,9.237554550170898,2086.46728515625,3047.8828125,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,diag_hg_only,79.64541625976562,171.1094512939453,9.238038063049316,2173.5732421875,3342.108154296875,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,diag_mort_only,73.58255767822266,157.98219299316406,9.241013526916504,1925.395751953125,2830.47021484375,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,diag_dg_mort,73.58255767822266,157.98219299316406,9.241013526916504,1925.395751953125,2830.47021484375,130.6981312106349,2301.495456133962,4642.618655911598
168990062010661,36,2010,2015,5,ne,fvs_base,134.08474731445312,165.067138671875,12.203817367553711,4093.009765625,15578.9521484375,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,organon,117.00041198730469,144.2603759765625,12.194289207458496,3608.10498046875,13651.3046875,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,diag_dg_only,132.8946533203125,162.15310668945312,12.258220672607422,4067.26123046875,15532.73828125,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,diag_hg_only,132.89198303222656,162.15481567382812,12.258033752441406,4145.62109375,15511.9716796875,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,diag_mort_only,117.51709747314453,144.75701904296875,12.200199127197266,3572.1201171875,13759.3564453125,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,diag_dg_mort,117.51709747314453,144.75701904296875,12.200199127197266,3572.1201171875,13759.3564453125,164.23947759328027,4271.18459801562,17789.06936654297
58336932010538,42,2002,2007,5,ne,fvs_base,139.70289611816406,160.04754638671875,12.6506986618042,4792.5693359375,18823.564453125,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,organon,100.86091613769531,119.69206237792969,12.429829597473145,3322.10498046875,12660.8046875,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,diag_dg_only,137.96786499023438,157.0116424560547,12.692852973937988,4744.232421875,18701.12890625,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,diag_hg_only,137.9672393798828,157.01182556152344,12.692817687988281,4768.3544921875,18802.271484375,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,diag_mort_only,101.3475570678711,120.2094497680664,12.432933807373047,3431.52294921875,13066.76171875,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,diag_dg_mort,101.3475570678711,120.2094497680664,12.432933807373047,3431.52294921875,13066.76171875,147.81730553223446,4299.626768064382,16607.94188931
222518005010661,23,2011,2016,5,ne,fvs_base,88.06101989746094,190.11920166015625,9.215420722961426,2201.998046875,5482.42822265625,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,organon,79.42996215820312,173.5419921875,9.160646438598633,2032.138916015625,5102.14892578125,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,diag_dg_only,88.06101989746094,190.11920166015625,9.215420722961426,2201.998046875,5482.42822265625,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,diag_hg_only,88.05651092529297,190.11941528320312,9.215181350708008,2283.171630859375,5746.18701171875,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,diag_mort_only,79.70034790039062,173.923583984375,9.16615104675293,1974.773193359375,4902.115234375,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,diag_dg_mort,79.70034790039062,173.923583984375,9.16615104675293,1974.773193359375,4902.115234375,113.84453714782113,2175.64570506311,5961.701839711436
306265316489998,36,2016,2023,7,ne,fvs_base,90.46382904052734,294.869140625,7.499961853027344,1893.3646240234375,1517.8695068359375,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,organon,66.65797424316406,211.16778564453125,7.607614994049072,1459.2298583984375,1298.0819091796875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,diag_dg_only,90.46382904052734,294.869140625,7.499961853027344,1893.3646240234375,1517.8695068359375,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,diag_hg_only,90.46501159667969,294.86907958984375,7.500012397766113,1988.5345458984375,1487.4912109375,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,diag_mort_only,66.67503356933594,211.2073974609375,7.607875823974609,1403.4019775390625,1324.953857421875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,diag_dg_mort,66.67503356933594,211.2073974609375,7.607875823974609,1403.4019775390625,1324.953857421875,139.8301726657132,2339.356193147208,2107.886274399906
15806956020004,36,2013,2020,7,ne,fvs_base,56.697364807128906,106.15010833740234,9.89594841003418,1221.599365234375,4441.0498046875,60.45728271635707,1022.125460194906,3473.56773601993
15806956020004,36,2013,2020,7,ne,organon,49.971351623535156,96.24011993408203,9.757055282592773,1086.1307373046875,3821.185302734375,60.45728271635707,1022.125460194906,3473.56773601993
15806956020004,36,2013,2020,7,ne,diag_dg_only,56.697364807128906,106.15010833740234,9.89594841003418,1221.599365234375,4441.0498046875,60.45728271635707,1022.125460194906,3473.56773601993
15806956020004,36,2013,2020,7,ne,diag_hg_only,56.692501068115234,106.15017700195312,9.895522117614746,1247.0245361328125,4410.34521484375,60.45728271635707,1022.125460194906,3473.56773601993
15806956020004,36,2013,2020,7,ne,diag_mort_only,50.19510269165039,96.64414978027344,9.758414268493652,1079.8402099609375,3899.72216796875,60.45728271635707,1022.125460194906,3473.56773601993
15806956020004,36,2013,2020,7,ne,diag_dg_mort,50.19510269165039,96.64414978027344,9.758414268493652,1079.8402099609375,3899.72216796875,60.45728271635707,1022.125460194906,3473.56773601993
247104235010661,42,2013,2019,6,ne,fvs_base,48.86284637451172,119.03844451904297,8.675251007080078,1111.678466796875,2318.664306640625,,,
247104235010661,42,2013,2019,6,ne,organon,46.52295684814453,112.75065612792969,8.697819709777832,1010.1912841796875,2059.88330078125,,,
247104235010661,42,2013,2019,6,ne,diag_dg_only,48.86284637451172,119.03844451904297,8.675251007080078,1111.678466796875,2318.664306640625,,,
247104235010661,42,2013,2019,6,ne,diag_hg_only,48.863555908203125,119.0384521484375,8.675313949584961,1146.7117919921875,2318.71630859375,,,
247104235010661,42,2013,2019,6,ne,diag_mort_only,46.68738555908203,113.15226745605469,8.697699546813965,1061.822998046875,2257.261474609375,,,
247104235010661,42,2013,2019,6,ne,diag_dg_mort,46.68738555908203,113.15226745605469,8.697699546813965,1061.822998046875,2257.261474609375,,,
168997422010661,42,2010,2016,6,ne,fvs_base,53.17852020263672,124.5252456665039,8.84862232208252,957.9699096679688,2912.316650390625,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,organon,49.50811004638672,113.00469970703125,8.962437629699707,873.5844116210938,2667.631103515625,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,diag_dg_only,53.17852020263672,124.5252456665039,8.84862232208252,957.9699096679688,2912.316650390625,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,diag_hg_only,53.1700439453125,124.52523040771484,8.847917556762695,1049.4044189453125,3259.045654296875,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,diag_mort_only,49.656986236572266,113.49083709716797,8.956661224365234,901.455322265625,2803.317626953125,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,diag_dg_mort,49.656986236572266,113.49083709716797,8.956661224365234,901.455322265625,2803.317626953125,90.07323793044282,1152.400569355766,
264094692489998,34,2015,2021,6,ne,fvs_base,55.160770416259766,118.1886215209961,9.250467300415039,1283.5924072265625,3554.891357421875,,,
264094692489998,34,2015,2021,6,ne,organon,48.65888977050781,102.97860717773438,9.307732582092285,1107.54150390625,3238.2529296875,,,
264094692489998,34,2015,2021,6,ne,diag_dg_only,55.160770416259766,118.1886215209961,9.250467300415039,1283.5924072265625,3554.891357421875,,,
264094692489998,34,2015,2021,6,ne,diag_hg_only,55.17206573486328,118.18863677978516,9.251411437988281,1334.143798828125,3589.9873046875,,,
