variant,model,n_ba,BA_bias_pct,BA_RMSE,n_mcuft,MCuFt_bias_pct,MCuFt_RMSE,n_bdft,BdFt_bias_pct,BdFt_RMSE
NE,default,125,-8.532372365536878,34.77470050298888,124,34.420698460035396,1089.5096716209846,113,52.07336675366927,6363.326051595086
NE,calibrated,125,-10.20851256840002,33.908908278300885,124,32.020243765302595,998.7717515882006,113,49.86506081694688,5974.770795492616
NE,greg_dg,75,-15.991935335639306,33.68745995475593,74,23.33537186144912,643.6117851859191,67,42.238283928509105,3837.3024140926905
NE,greg_hg_crw,125,-10.207692694174497,33.908943535564255,124,32.26960237460486,1000.7632800265422,113,50.341813656843314,5996.524077981689
NE,greg_full,75,-15.057577858442372,33.76308206538127,74,24.830116986914685,665.6739223297232,67,43.491274553194216,3927.620143818878
SN,default,130,-10.311224623749649,41.39959229554659,129,12.950530235187706,1014.2276418473674,118,3.5849741441900562,5426.633474101959
SN,calibrated,130,-12.857019349027809,40.77550968311691,129,9.704554995168824,979.6110261399972,118,1.0019028682570097,5414.715835841906
SN,greg_dg,0,,,0,,,0,,
SN,greg_hg_crw,130,-12.87905303595631,40.785996650125306,129,15.362989423367313,1010.1757903916551,118,5.051354075146941,5294.663334103181
SN,greg_full,0,,,0,,,0,,
WC,default,105,8.687854303360165,48.04559473370699,103,11.804036805598672,1239.664596416632,103,12.97228176342542,7404.717807081878
WC,calibrated,105,8.42800138711759,47.98102877474973,103,11.565286155988819,1228.379433130628,103,12.768434674276662,7329.999711608403
WC,greg_dg,0,,,0,,,0,,
WC,greg_hg_crw,105,8.454795609453036,47.998468109020415,103,16.126604073356244,1302.754730602521,103,18.224834384654145,7756.312663524285
WC,greg_full,0,,,0,,,0,,
EM,default,11,14.040928238941452,31.425928188205116,10,40.33799747449356,1276.29517988663,10,77.05750145953665,8800.964626848514
EM,calibrated,11,13.72118909865101,31.5339094763859,10,40.01739516091165,1276.755796395752,10,76.66950356518072,8790.618287425506
EM,greg_dg,0,,,0,,,0,,
EM,greg_hg_crw,11,13.802270563960107,31.566688443242146,10,45.046219718527006,1299.3275883845242,10,83.66924262297859,9058.708441882785
EM,greg_full,0,,,0,,,0,,
PN,default,105,15.912178006626586,52.2921688640578,103,31.178334193681568,1798.5953399756786,103,34.01152909087504,10885.643226157343
PN,calibrated,105,15.14847773362218,51.39792863151886,103,30.363223060246327,1768.525931035099,103,33.23035929215224,10722.02762506222
PN,greg_dg,0,,,0,,,0,,
PN,greg_hg_crw,105,15.178957130855597,51.41871908199773,103,31.989371591990313,1798.3070838011413,103,35.2525253500152,10924.475581738094
PN,greg_full,0,,,0,,,0,,
