variant,config,n,MCuFt_obs_mean,MCuFt_pred_mean,MCuFt_bias_pct,MCuFt_RMSE,MCuFt_MAE,BdFt_obs_mean,BdFt_pred_mean,BdFt_bias_pct,BdFt_RMSE,BdFt_MAE,BA_obs_mean,BA_pred_mean,BA_bias_pct,BA_RMSE
sn,default,133,1874.6068464414504,2139.1162109375,14.110124744191847,1014.0089994468397,674.5100454338802,6304.68749395989,6740.690005883238,6.915529315942358,5225.207799838529,3208.9327783997032,96.3619049707656,86.42581249750577,-10.311224623749649,41.39959229554659
sn,calibrated,133,1874.6068464414504,2077.373835685558,10.81650745216354,978.9303836645186,655.2825917215262,6304.68749395989,6576.691783130617,4.314318345379001,5212.262530918703,3155.54154021081,96.3619049707656,83.97263620358247,-12.857019349027812,40.77550968311691
sn,hg_bayes,133,1874.6068464414504,2603.437954551295,38.879144685371145,1323.6033960872576,903.4469909697256,6304.68749395989,7916.242071166074,25.561212649320197,5883.77853545673,3588.0151309836265,96.3619049707656,86.44408824260418,-10.292258887130027,41.39797454182813
sn,hg_organon,133,1874.6068464414504,2603.437954551295,38.879144685371145,1323.6033960872576,903.4469909697256,6304.68749395989,7916.242071166074,25.561212649320197,5883.77853545673,3588.0151309836265,96.3619049707656,86.44408824260418,-10.292258887130027,41.39797454182813
sn,hg_conus_sp,133,1874.6068464414504,2464.4391399182773,31.464319817059256,1198.238080536091,821.1441980169859,6304.68749395989,7536.347875379978,19.535629364660206,5471.4648652299065,3391.513418684309,96.3619049707656,86.42909158468247,-10.307821736293565,41.39813758152702
sn,hg_conus_clim,133,1874.6068464414504,2249.8654022216797,20.017987051129104,1057.2011459039365,702.9828263339999,6304.68749395989,7034.677431379046,11.578526899525333,5192.268261263594,3197.6724180107412,96.3619049707656,86.4096067905426,-10.328042168990265,41.406058206339544
wc,default,105,3671.1194420153447,4229.101817321777,15.199243285860383,1534.1683450692315,1005.1061021740044,20800.65766774744,24154.90807640439,16.125694015232504,8801.992760937712,5900.359220771373,128.9314862308671,140.13286590576172,8.687854303360169,48.04559473370699
wc,calibrated,105,3671.1194420153447,4220.42807653518,14.96297364321874,1526.1033890042138,995.3445808882508,20800.65766774744,24113.030499558223,15.924365876886663,8745.068162456695,5821.236087829425,128.9314862308671,139.7978336788359,8.42800138711758,47.98102877474973
wc,hg_bayes,105,3671.1194420153447,4668.6238133748375,27.17166758300542,1770.1022472422858,1198.8403732013405,20800.65766774744,27050.83814987909,30.04799454885938,10348.492685173378,7101.069965632163,128.9314862308671,140.17934697469076,8.723905286939004,48.074920884532105
wc,hg_organon,105,3671.1194420153447,4668.6238133748375,27.17166758300542,1770.1022472422858,1198.8403732013405,20800.65766774744,27050.83814987909,30.04799454885938,10348.492685173378,7101.069965632163,128.9314862308671,140.17934697469076,8.723905286939004,48.074920884532105
