PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,model,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
65168045010538,36,2004,2010,6,ne,fvs_base,32.09402084350586,59.0859489440918,9.979443550109863,657.9168701171875,957.2028198242188,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,fvs_regional,32.354034423828125,59.64082336425781,9.973065376281738,662.118896484375,960.1119995117188,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,organon,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,conus_spdep,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,conus_climate,32.01112747192383,59.08599090576172,9.966543197631836,653.97021484375,944.8167724609375,36.14014914653864,581.49814810404,1269.067480323954
247056940010661,24,2012,2019,7,ne,fvs_base,47.45096206665039,124.55619049072266,8.35749626159668,835.6744384765625,2347.091796875,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,fvs_regional,47.44694900512695,124.53816986083984,8.357745170593262,835.6334228515625,2347.0322265625,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,organon,42.66798400878906,109.46040344238281,8.453935623168945,748.5936889648438,2125.16748046875,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,conus_spdep,42.67321014404297,109.55899810791016,8.45064926147461,821.192626953125,2417.15625,72.70805488944526,934.2882032032819,2453.506850757968
247056940010661,24,2012,2019,7,ne,conus_climate,42.69895553588867,109.55973815917969,8.453167915344238,755.658447265625,2125.1689453125,72.70805488944526,934.2882032032819,2453.506850757968
171929084020004,33,2014,2021,7,ne,fvs_base,79.63716888427734,171.10955810546875,9.237554550170898,2086.46728515625,3047.8828125,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,fvs_regional,79.55567169189453,170.7645721435547,9.242151260375977,2084.92041015625,3046.884521484375,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,organon,72.89189910888672,156.772216796875,9.232970237731934,1974.3673095703125,2968.539306640625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,conus_spdep,72.70965576171875,156.2147674560547,9.2378568649292,1910.95458984375,2822.052978515625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,conus_climate,72.77188873291016,156.47225952148438,9.23420524597168,1922.6337890625,2853.984619140625,130.6981312106349,2301.495456133962,4642.618655911598
168990062010661,36,2010,2015,5,ne,fvs_base,134.08474731445312,165.067138671875,12.203817367553711,4093.009765625,15578.9521484375,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,fvs_regional,132.8946533203125,162.15310668945312,12.258220672607422,4067.26123046875,15532.73828125,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,organon,117.00041198730469,144.2603759765625,12.194289207458496,3608.10498046875,13651.3046875,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,conus_spdep,116.5212173461914,143.39749145507812,12.205851554870605,3524.34326171875,13549.02734375,164.23947759328027,4271.18459801562,17789.06936654297
168990062010661,36,2010,2015,5,ne,conus_climate,116.72040557861328,143.82839965820312,12.197967529296875,3549.6376953125,13560.5078125,164.23947759328027,4271.18459801562,17789.06936654297
58336932010538,42,2002,2007,5,ne,fvs_base,139.70289611816406,160.04754638671875,12.6506986618042,4792.5693359375,18823.564453125,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,fvs_regional,137.96786499023438,157.0116424560547,12.692852973937988,4744.232421875,18701.12890625,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,organon,100.86091613769531,119.69206237792969,12.429829597473145,3322.10498046875,12660.8046875,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,conus_spdep,101.21270751953125,119.97274780273438,12.436914443969727,3386.043701171875,12858.9912109375,147.81730553223446,4299.626768064382,16607.94188931
58336932010538,42,2002,2007,5,ne,conus_climate,101.2776870727539,120.10092163085938,12.434261322021484,3429.34375,13063.005859375,147.81730553223446,4299.626768064382,16607.94188931
