variant,config,n,bias_pct,rmse,mae,MCuFt_pred,BdFt_pred
ne,default,125,-8.532372365536878,34.77470050298888,23.055257852987214,2381.1162021484374,8549.123625854492
ne,calibrated,125,-10.20851256840002,33.908908278300885,23.04978166775589,2338.6898236083985,8426.85435986328
ne,greg_dg,125,-0.7407704835292406,37.3482931313947,24.429958428709252,2619.8971510925294,10185.870895385742
ne,hg_bayes,125,-8.534083503557731,34.77297834511405,23.056578606084752,2459.040029876709,8839.039479614257
ne,hg_organon,125,-8.534083503557731,34.77297834511405,23.056578606084752,2459.040029876709,8839.039479614257
ne,hg_conus_sp,125,-8.52767422341314,34.7728197789104,23.053581411794593,2381.131781311035,8598.899346679687
ne,hg_conus_clim,125,-8.531835505312335,34.77449202145801,23.05521815534012,2385.497269744873,8578.041462036133
sn,default,109,0.29995873795996,49.10471877651967,35.88075313602057,2337.7729134515885,7601.794268406859
sn,calibrated,109,-1.7263995113997899,47.794037485712565,35.365932951198175,2294.174207004932,7521.023944959728
sn,hg_bayes,109,0.3158825515076291,49.112337577711855,35.886226631643964,2820.6182076690393,8948.887030645248
sn,hg_organon,109,0.3158825515076291,49.112337577711855,35.886226631643964,2820.6182076690393,8948.887030645248
sn,hg_conus_sp,109,0.2925018883692232,49.11099591689508,35.89085623923831,2656.2420673195375,8501.476103056462
sn,hg_conus_clim,109,0.28430390522851123,49.108523609740715,35.88581681416708,2475.1914721147728,7972.523713418103
wc,default,88,-1.311747239276917,41.26152349110379,27.491563352126935,4327.89636854692,24989.16866233132
wc,calibrated,88,-1.6799423633785948,41.79346080546483,27.7111565366843,4315.097612207586,24920.13856228915
wc,hg_bayes,88,-1.2928089287331357,41.267591723869586,27.494545838504997,4717.647764726119,27573.759793368252
wc,hg_organon,88,-1.2928089287331357,41.267591723869586,27.494545838504997,4717.647764726119,27573.759793368252
wc,hg_conus_sp,88,-1.3036935868553479,41.260990552603666,27.488968512684075,4430.660727761008,25673.78485107422
wc,hg_conus_clim,88,-1.2995657566633345,41.2626510762122,27.488912852783063,4479.6227215853605,26028.79775168679
em,default,54,-16.181902105630275,38.65560074087328,24.806552830513784,1603.3981879198993,6486.916760762532
em,calibrated,54,-16.209659078568617,38.64731687866282,24.81255107992096,1602.9905625096073,6482.76995312726
em,hg_bayes,54,-16.18180925050695,38.65549892154319,24.806476201016405,1621.4812461005317,6523.354893437138
em,hg_organon,54,-16.18180925050695,38.65549892154319,24.806476201016405,1621.4812461005317,6523.354893437138
em,hg_conus_sp,54,-16.18180925050695,38.65549892154319,24.806476201016405,1609.3287757590965,6513.484166745787
em,hg_conus_clim,54,-16.181902105630275,38.65560074087328,24.806552830513784,1603.3981879198993,6486.916760762532
pn,default,45,0.6278663994518485,28.43473634465036,20.274290712160408,2135.2437476264104,11287.303291151258
pn,calibrated,45,-0.48372335471135175,27.54931943536006,20.13726263259769,2102.946709865994,11114.89425523546
pn,hg_bayes,45,0.7203332318441058,28.398257957773055,20.23255635581004,2405.542996893989,12976.058830430773
pn,hg_organon,45,0.7203332318441058,28.398257957773055,20.23255635581004,2405.542996893989,12976.058830430773
pn,hg_conus_sp,45,0.6961184852412039,28.392454232183407,20.238848444636535,2251.612610880534,12002.322283935548
pn,hg_conus_clim,45,0.6938676980148051,28.391637140338577,20.23866864523875,2217.136619398329,11796.61896226671
