scale,key,year,treemap_TgC,fiadb_TgC,tm_over_fia
state,AL,2030,507.389,494.236,1.027
state,AL,2075,1275.073,1276.376,0.999
state,AL,2125,1603.01,1612.018,0.994
state,AR,2030,305.473,300.334,1.017
state,AR,2075,883.415,887.246,0.996
state,AR,2125,1123.551,1131.243,0.993
state,AZ,2030,21.441,20.477,1.047
state,AZ,2075,86.88,76.453,1.136
state,AZ,2125,158.583,121.745,1.303
state,CA,2030,177.602,230.235,0.771
state,CA,2075,1021.502,1071.82,0.953
state,CA,2125,1681.944,1740.731,0.966
state,CO,2030,126.718,134.562,0.942
state,CO,2075,427.3,440.323,0.97
state,CO,2125,649.303,664.89,0.977
state,CT,2030,17.651,19.215,0.919
state,CT,2075,63.451,64.174,0.989
state,CT,2125,87.348,89.261,0.979
state,DE,2030,18.668,25.645,0.728
state,DE,2075,65.557,76.709,0.855
state,DE,2125,89.861,98.422,0.913
state,FL,2030,279.643,278.62,1.004
state,FL,2075,811.304,803.681,1.009
state,FL,2125,958.536,956.783,1.002
state,GA,2030,383.183,340.554,1.125
state,GA,2075,1008.007,949.885,1.061
state,GA,2125,1249.927,1196.623,1.045
state,IA,2030,38.185,36.395,1.049
state,IA,2075,115.53,113.134,1.021
state,IA,2125,152.24,149.099,1.021
state,ID,2030,137.106,151.53,0.905
state,ID,2075,554.191,533.202,1.039
state,ID,2125,859.194,825.613,1.041
state,IL,2030,65.326,66.503,0.982
state,IL,2075,194.069,201.759,0.962
state,IL,2125,254.485,267.919,0.95
state,IN,2030,128.558,92.478,1.39
state,IN,2075,355.904,310.539,1.146
state,IN,2125,477.903,434.846,1.099
state,KS,2030,21.997,20.539,1.071
state,KS,2075,61.921,65.041,0.952
state,KS,2125,87.498,89.56,0.977
state,KY,2030,332.276,285.608,1.163
state,KY,2075,894.363,855.991,1.045
state,KY,2125,1197.664,1169.785,1.024
state,LA,2030,205.176,214.774,0.955
state,LA,2075,583.16,600.633,0.971
state,LA,2125,706.753,732.804,0.964
state,MA,2030,35.284,34.846,1.013
state,MA,2075,119.893,120.536,0.995
state,MA,2125,159.889,163.858,0.976
state,MD,2030,47.928,40.387,1.187
state,MD,2075,135.109,121.759,1.11
state,MD,2125,174.174,160.641,1.084
state,ME,2030,616.141,638.548,0.965
state,ME,2075,1503.349,1540.071,0.976
state,ME,2125,1966.835,2022.578,0.972
state,MI,2030,392.292,400.704,0.979
state,MI,2075,1045.243,1065.295,0.981
state,MI,2125,1424.826,1464.294,0.973
state,MN,2030,454.895,471.63,0.965
state,MN,2075,1129.18,1153.307,0.979
state,MN,2125,1464.738,1501.849,0.975
state,MO,2030,338.576,348.016,0.973
state,MO,2075,938.192,970.955,0.966
state,MO,2125,1272.793,1327.755,0.959
state,MS,2030,350.267,326.813,1.072
state,MS,2075,898.714,880.154,1.021
state,MS,2125,1116.375,1115.327,1.001
state,MT,2030,168.489,253.928,0.664
state,MT,2075,576.33,661.939,0.871
state,MT,2125,963.626,1054.35,0.914
state,NC,2030,419.283,385.217,1.088
state,NC,2075,1053.015,1029.745,1.023
state,NC,2125,1391.781,1360.777,1.023
state,ND,2030,3.537,9.813,0.36
state,ND,2075,17.162,27.398,0.626
state,ND,2125,41.524,45.146,0.92
state,NE,2030,7.057,6.996,1.009
state,NE,2075,27.314,24.443,1.117
state,NE,2125,40.545,35.277,1.149
state,NH,2030,124.167,131.276,0.946
state,NH,2075,332.888,345.96,0.962
state,NH,2125,440.139,464.011,0.949
state,NJ,2030,32.496,29.474,1.103
state,NJ,2075,106.767,100.667,1.061
state,NJ,2125,144.595,136.08,1.063
state,NM,2030,25.343,27.529,0.921
state,NM,2075,110.3,110.454,0.999
state,NM,2125,176.266,176.885,0.997
state,NV,2030,2.074,3.978,0.521
state,NV,2075,11.887,14.15,0.84
state,NV,2125,21.607,23.332,0.926
state,NY,2030,325.791,319.164,1.021
state,NY,2075,907.111,914.892,0.991
state,NY,2125,1242.423,1275.414,0.974
state,OH,2030,179.755,165.371,1.087
