config,year,agb_treemap_Tg,agb_fiadb_Tg,agc_treemap_Tg,agc_fiadb_Tg,n_plots,tm_over_fia
calibrated,2025,894.436,761.219,420.385,357.773,3578,1.175
calibrated,2030,1253.819,1110.341,589.295,521.86,3425,1.129
calibrated,2035,1484.736,1317.356,697.826,619.157,3425,1.127
calibrated,2040,1696.437,1506.343,797.326,707.981,3425,1.126
calibrated,2045,1892.353,1681.637,889.406,790.369,3425,1.125
calibrated,2050,2073.966,1843.229,974.764,866.318,3425,1.125
calibrated,2055,2244.832,1995.895,1055.071,938.071,3425,1.125
calibrated,2060,2407.43,2141.335,1131.492,1006.428,3425,1.124
calibrated,2065,2560.445,2278.767,1203.409,1071.021,3425,1.124
calibrated,2070,2704.787,2408.99,1271.25,1132.225,3425,1.123
calibrated,2075,2840.34,2531.967,1334.96,1190.025,3425,1.122
calibrated,2080,2968.583,2648.614,1395.234,1244.849,3425,1.121
calibrated,2085,3090.229,2759.222,1452.408,1296.834,3425,1.12
calibrated,2090,3203.206,2862.255,1505.507,1345.26,3425,1.119
calibrated,2095,3303.67,2954.413,1552.725,1388.574,3425,1.118
calibrated,2100,3386.333,3031.356,1591.577,1424.737,3425,1.117
calibrated,2105,3452.703,3095.148,1622.77,1454.72,3425,1.116
calibrated,2110,3511.373,3151.557,1650.345,1481.232,3425,1.114
calibrated,2115,3565.368,3203.304,1675.723,1505.553,3425,1.113
calibrated,2120,3616.267,3252.549,1699.646,1528.698,3425,1.112
calibrated,2125,3664.63,3299.502,1722.376,1550.766,3425,1.111
default,2025,894.436,761.219,420.385,357.773,3578,1.175
default,2030,1289.516,1150.455,606.073,540.714,3425,1.121
default,2035,1565.071,1410.007,735.583,662.703,3425,1.11
default,2040,1814.564,1645.439,852.845,773.356,3425,1.103
default,2045,2042.992,1861.285,960.206,874.804,3425,1.098
default,2050,2254.372,2059.46,1059.555,967.946,3425,1.095
default,2055,2452.848,2245.996,1152.838,1055.618,3425,1.092
default,2060,2641.662,2423.606,1241.581,1139.095,3425,1.09
default,2065,2820.1,2591.366,1325.447,1217.942,3425,1.088
default,2070,2987.9,2750.099,1404.313,1292.547,3425,1.086
default,2075,3146.157,2900.011,1478.694,1363.005,3425,1.085
default,2080,3295.54,3041.769,1548.904,1429.631,3425,1.083
default,2085,3436.883,3175.49,1615.335,1492.48,3425,1.082
default,2090,3568.411,3300.283,1677.153,1551.133,3425,1.081
default,2095,3685.789,3412.541,1732.321,1603.894,3425,1.08
default,2100,3783.645,3507.615,1778.313,1648.579,3425,1.079
default,2105,3863.829,3587.581,1815.999,1686.163,3425,1.077
default,2110,3934.524,3658.484,1849.226,1719.488,3425,1.075
default,2115,3999.392,3722.949,1879.714,1749.786,3425,1.074
default,2120,4059.55,3783.124,1907.989,1778.068,3425,1.073
default,2125,4116.59,3840.02,1934.797,1804.809,3425,1.072
gompit,2025,894.436,761.219,420.385,357.773,3578,1.175
gompit,2030,1389.63,1230.47,653.126,578.321,3425,1.129
gompit,2035,1788.211,1591.106,840.459,747.82,3425,1.124
gompit,2040,2026.562,1819.543,952.484,855.185,3425,1.114
gompit,2045,2206.655,1995.966,1037.128,938.104,3425,1.106
gompit,2050,2352.538,2141.94,1105.693,1006.712,3425,1.098
gompit,2055,2468.36,2263.093,1160.129,1063.654,3425,1.091
gompit,2060,2560.606,2364.394,1203.485,1111.265,3425,1.083
gompit,2065,2632.812,2448.65,1237.422,1150.866,3425,1.075
gompit,2070,2686.829,2517.148,1262.81,1183.06,3425,1.067
gompit,2075,2725.367,2571.732,1280.923,1208.714,3425,1.06
gompit,2080,2750.793,2614.175,1292.873,1228.662,3425,1.052
gompit,2085,2765.303,2645.84,1299.692,1243.545,3425,1.045
gompit,2090,2770.765,2668.324,1302.259,1254.112,3425,1.038
gompit,2095,2769.033,2682.812,1301.446,1260.922,3425,1.032
gompit,2100,2761.589,2690.481,1297.947,1264.526,3425,1.026
gompit,2105,2749.305,2692.388,1292.174,1265.422,3425,1.021
gompit,2110,2733.007,2689.443,1284.513,1264.038,3425,1.016
gompit,2115,2713.495,2682.336,1275.343,1260.698,3425,1.012
gompit,2120,2691.367,2671.537,1264.942,1255.622,3425,1.007
gompit,2125,2666.541,2657.491,1253.274,1249.021,3425,1.003
