ST,year,mean,rel_lo,rel_hi,ndraw
ME,2025,58.957,1.0,1.0,30
ME,2030,86.71,0.994,1.0084,30
ME,2035,105.393,0.9891,1.0168,30
ME,2040,122.559,0.9858,1.0192,30
ME,2045,138.709,0.9842,1.0235,30
ME,2050,153.92,0.9827,1.0235,30
ME,2055,168.026,0.9802,1.025,30
ME,2060,180.829,0.9788,1.0249,30
ME,2065,192.877,0.9783,1.0215,30
ME,2070,203.791,0.981,1.0146,30
ME,2075,213.106,0.9861,1.0097,30
ME,2080,220.67,0.991,1.0073,30
ME,2085,227.095,0.9926,1.007,30
ME,2090,233.054,0.9923,1.0077,30
ME,2095,238.781,0.9904,1.0086,30
ME,2100,244.298,0.9885,1.0095,30
ME,2105,249.62,0.9865,1.0109,30
ME,2110,254.769,0.9843,1.0138,30
ME,2115,259.764,0.982,1.0163,30
ME,2120,264.664,0.9797,1.0188,30
ME,2125,269.511,0.9773,1.021,30
GA,2025,31.358,1.0,1.0,30
GA,2030,52.38,1.0,1.0,30
GA,2035,66.539,1.0,1.0,30
GA,2040,77.507,1.0,1.0,30
GA,2045,88.579,1.0,1.0,30
GA,2050,98.999,1.0,1.0,30
GA,2055,108.391,1.0,1.0,30
GA,2060,117.517,1.0,1.0,30
GA,2065,126.49,1.0,1.0,30
GA,2070,134.547,1.0,1.0,30
GA,2075,141.957,1.0,1.0,30
GA,2080,148.477,1.0,1.0,30
GA,2085,154.148,1.0,1.0,30
GA,2090,159.265,1.0,1.0,30
GA,2095,163.753,1.0,1.0,30
GA,2100,167.801,1.0,1.0,30
GA,2105,171.319,1.0,1.0,30
GA,2110,174.627,1.0,1.0,30
GA,2115,177.885,1.0,1.0,30
GA,2120,180.813,1.0,1.0,30
GA,2125,183.499,1.0,1.0,30
IN,2025,21.607,1.0,1.0,30
IN,2030,36.725,1.0,1.0,30
IN,2035,44.269,1.0,1.0,30
IN,2040,50.256,1.0,1.0,30
IN,2045,55.895,1.0,1.0,30
IN,2050,61.082,1.0,1.0,30
IN,2055,66.245,1.0,1.0,30
IN,2060,71.441,1.0,1.0,30
IN,2065,76.394,1.0,1.0,30
IN,2070,81.643,1.0,1.0,30
IN,2075,86.432,1.0,1.0,30
IN,2080,90.778,1.0,1.0,30
IN,2085,94.839,1.0,1.0,30
IN,2090,98.199,1.0,1.0,30
IN,2095,101.071,1.0,1.0,30
IN,2100,103.941,1.0,1.0,30
IN,2105,106.463,1.0,1.0,30
IN,2110,108.954,1.0,1.0,30
IN,2115,111.236,1.0,1.0,30
IN,2120,113.235,1.0,1.0,30
IN,2125,115.233,1.0,1.0,30
ID,2025,7.26,1.0,1.0,30
ID,2030,19.166,0.9759,1.0282,30
ID,2035,22.576,0.9599,1.0432,30
ID,2040,25.422,0.9483,1.0531,30
ID,2045,27.793,0.94,1.0608,30
ID,2050,29.799,0.9327,1.0668,30
ID,2055,31.459,0.9266,1.0727,30
ID,2060,32.91,0.9208,1.0776,30
ID,2065,34.171,0.9167,1.0825,30
ID,2070,35.306,0.9138,1.0878,30
ID,2075,36.408,0.9113,1.0914,30
ID,2080,37.421,0.9094,1.0932,30
ID,2085,38.396,0.9071,1.0938,30
ID,2090,39.284,0.9048,1.0946,30
ID,2095,40.107,0.9033,1.0962,30
ID,2100,40.875,0.9016,1.0974,30
ID,2105,41.639,0.9002,1.0985,30
ID,2110,42.38,0.8989,1.0989,30
ID,2115,43.099,0.898,1.0994,30
ID,2120,43.772,0.8969,1.1013,30
ID,2125,44.449,0.8951,1.1034,30
MN,2025,32.552,1.0,1.0,30
MN,2030,57.022,1.0,1.0,30
MN,2035,68.069,1.0,1.0,30
