scale,key,engine,scenario,year,total_TgC,total_lo,total_hi,mean_MgC_ha,n_plots
owner,Industrial,default,reserve (no harvest),2030,1165.206,1110.601,1222.95,50.5,5886
owner,Industrial,default,reserve (no harvest),2055,2480.901,2359.947,2594.607,107.28,5886
owner,Industrial,default,reserve (no harvest),2080,3419.257,3263.708,3608.508,148.47,5886
owner,Industrial,default,reserve (no harvest),2105,4013.618,3818.359,4231.125,175.13,5886
owner,Industrial,default,reserve (no harvest),2125,4314.801,4091.242,4537.161,188.45,5886
owner,Industrial,default,managed (harvest),2030,1165.206,1105.689,1230.684,50.5,5886
owner,Industrial,default,managed (harvest),2055,1820.977,1718.435,1919.072,79.23,5886
owner,Industrial,default,managed (harvest),2080,1719.738,1641.121,1808.93,76.33,5886
owner,Industrial,default,managed (harvest),2105,1354.59,1286.591,1425.394,61.47,5886
owner,Industrial,default,managed (harvest),2125,1067.741,1013.489,1127.972,48.81,5886
owner,NIPF,default,reserve (no harvest),2030,4595.114,4476.056,4721.399,49.23,22022
owner,NIPF,default,reserve (no harvest),2055,9889.628,9653.256,10174.279,105.82,22022
owner,NIPF,default,reserve (no harvest),2080,13689.967,13304.673,14044.049,147.79,22022
owner,NIPF,default,reserve (no harvest),2105,16115.781,15618.136,16556.204,175.69,22022
owner,NIPF,default,reserve (no harvest),2125,17346.854,16866.98,17810.831,189.87,22022
owner,NIPF,default,managed (harvest),2030,4595.114,4456.586,4739.637,49.23,22022
owner,NIPF,default,managed (harvest),2055,7342.122,7160.581,7556.556,79.15,22022
owner,NIPF,default,managed (harvest),2080,7062.262,6882.272,7258.727,78.35,22022
owner,NIPF,default,managed (harvest),2105,5637.886,5475.358,5801.96,64.58,22022
owner,NIPF,default,managed (harvest),2125,4463.454,4353.893,4590.309,51.82,22022
owner,Public-Other,default,reserve (no harvest),2030,1762.827,1693.186,1834.246,32.16,18766
owner,Public-Other,default,reserve (no harvest),2055,4112.777,3960.967,4276.266,72.72,18766
owner,Public-Other,default,reserve (no harvest),2080,6130.932,5883.263,6398.76,107.68,18766
owner,Public-Other,default,reserve (no harvest),2105,7625.043,7346.379,7892.876,133.77,18766
owner,Public-Other,default,reserve (no harvest),2125,8480.341,8123.215,8807.493,148.58,18766
owner,Public-Other,default,managed (harvest),2030,1762.827,1691.134,1847.48,32.16,18766
owner,Public-Other,default,managed (harvest),2055,2955.19,2847.145,3073.019,51.3,18766
owner,Public-Other,default,managed (harvest),2080,3024.669,2902.707,3122.245,52.4,18766
owner,Public-Other,default,managed (harvest),2105,2552.123,2432.789,2668.851,44.54,18766
owner,Public-Other,default,managed (harvest),2125,2112.002,2027.387,2207.466,36.87,18766
owner,State,default,reserve (no harvest),2030,618.761,579.803,662.752,50.96,3778
owner,State,default,reserve (no harvest),2055,1329.723,1241.567,1411.296,107.45,3778
owner,State,default,reserve (no harvest),2080,1854.19,1753.276,1974.991,150.14,3778
owner,State,default,reserve (no harvest),2105,2202.98,2046.105,2363.016,179.86,3778
owner,State,default,reserve (no harvest),2125,2384.516,2228.511,2548.561,195.27,3778
owner,State,default,managed (harvest),2030,618.761,565.855,657.032,50.96,3778
owner,State,default,managed (harvest),2055,1023.024,961.145,1086.488,83.44,3778
owner,State,default,managed (harvest),2080,1026.683,974.804,1103.923,86.26,3778
owner,State,default,managed (harvest),2105,867.968,817.099,920.268,75.69,3778
owner,State,default,managed (harvest),2125,716.652,673.522,764.737,63.46,3778
owner,Unknown,default,reserve (no harvest),2030,1141.974,1060.284,1224.681,49.87,4824
owner,Unknown,default,reserve (no harvest),2055,2407.938,2246.71,2598.897,109.38,4824
owner,Unknown,default,reserve (no harvest),2080,3373.013,3167.175,3649.315,156.19,4824
owner,Unknown,default,reserve (no harvest),2105,4028.151,3732.916,4339.774,188.46,4824
owner,Unknown,default,reserve (no harvest),2125,4384.149,4123.929,4718.084,206.11,4824
owner,Unknown,default,managed (harvest),2030,1141.974,1049.635,1227.735,49.87,4824
owner,Unknown,default,managed (harvest),2055,1722.219,1619.354,1840.28,78.77,4824
owner,Unknown,default,managed (harvest),2080,1638.519,1538.261,1746.903,77.63,4824
owner,Unknown,default,managed (harvest),2105,1302.24,1214.239,1396.072,62.96,4824
owner,Unknown,default,managed (harvest),2125,1033.912,966.082,1109.033,50.42,4824
ecoregion,Acadian Plains and Hills,default,reserve (no harvest),2030,300.338,273.356,332.634,91.32,1017
ecoregion,Acadian Plains and Hills,default,reserve (no harvest),2055,575.337,523.649,632.812,172.51,1017
ecoregion,Acadian Plains and Hills,default,reserve (no harvest),2080,770.263,702.912,835.217,230.42,1017
ecoregion,Acadian Plains and Hills,default,reserve (no harvest),2105,897.448,799.231,985.404,269.01,1017
ecoregion,Acadian Plains and Hills,default,reserve (no harvest),2125,955.825,868.682,1052.574,287.1,1017
ecoregion,Acadian Plains and Hills,default,managed (harvest),2030,300.338,271.778,329.774,91.32,1017
ecoregion,Acadian Plains and Hills,default,managed (harvest),2055,407.023,372.582,443.183,121.34,1017
ecoregion,Acadian Plains and Hills,default,managed (harvest),2080,373.847,341.377,408.649,111.24,1017
ecoregion,Acadian Plains and Hills,default,managed (harvest),2105,291.523,267.498,317.538,87.5,1017
ecoregion,Acadian Plains and Hills,default,managed (harvest),2125,219.297,202.42,242.624,66.36,1017
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2030,0.023,0.023,0.023,39.6,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2055,0.044,0.044,0.044,106.95,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2080,0.063,0.063,0.063,151.36,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2105,0.076,0.076,0.076,175.87,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2125,0.084,0.084,0.084,188.56,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2030,0.023,0.023,0.023,39.6,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2055,0.036,0.036,0.036,91.79,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2080,0.041,0.041,0.041,101.05,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2105,0.038,0.038,0.038,86.86,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2125,0.034,0.034,0.034,72.94,2
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2030,26.552,20.166,33.856,5.99,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2055,69.436,56.139,87.707,15.18,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2080,113.739,86.399,149.845,24.2,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2105,154.123,111.271,211.99,31.42,1276
