variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-7864.261119125,-7863.92015,8.973529482480396,9.1010883600003325,-7879.474195,-7850.32269,1.0000720414429922,1282.7354959578643,2375.255775805708
b0[1],-2.59142850905,-2.5907087,0.11135156353537862,0.11159960153999979,-2.7797211850000005,-2.40801422,1.000917792374822,2211.3015739227385,2857.6930124202863
b0[2],-1.991508303625,-1.98876125,0.11527570279933212,0.1114431131100001,-2.183031565,-1.8061719800000002,1.0004195315519597,2621.4154661588163,2839.409276163046
b0[3],-2.4005226997,-2.3987971999999997,0.11928677661564228,0.1197523448099998,-2.59391163,-2.206879915,1.0009846456649087,1871.8703082332302,2812.1433327227487
b0[4],-2.535157724375,-2.5365830999999996,0.10323658279736429,0.10368726186000007,-2.70041498,-2.3651018400000003,1.0019606909171384,2041.710315941406,2536.6501398454593
b0[5],-2.810894348425,-2.8111870000000003,0.3327286880256717,0.32517361716000037,-3.361424585,-2.2697499750000003,1.0010934633883735,5030.760916247377,3159.9886097201966
b0[6],-2.3225115128,-2.3229233000000002,0.20425585641891705,0.2018118085200002,-2.65706744,-1.9871775300000005,1.0005228566139874,3318.5877035380727,2840.5213841410673
b0[7],-1.931661615075,-1.93353595,0.18103852066408074,0.18101315441999985,-2.2352147949999996,-1.640085035,1.0006452072728256,3293.599935283957,2546.2950561257558
b0[8],-2.567827008925,-2.56613365,0.2799401959127525,0.2870062299300003,-3.02162971,-2.118291,1.0000391686628578,3300.983057812535,3261.7386961439524
b0[9],-2.8171871462999998,-2.8172742499999996,0.25409744607800655,0.25437954128999996,-3.24212972,-2.39517949,1.00219005641574,3268.9229046908117,2668.334180979467
b0[10],-3.388848481625,-3.39171845,0.17307451193070095,0.17017216083000025,-3.6777157999999996,-3.1032850899999995,0.9999479289774802,3063.4854804280926,3066.657506341666
b0[11],-3.070837939425,-3.0717841999999997,0.3150133813174813,0.30763616414999956,-3.595694195,-2.5555829200000004,0.9998593182113285,3652.3676388402655,2759.1256781955417
b0[12],-2.841275669475,-2.8365380499999997,0.22995282702517947,0.22997305422000056,-3.21623423,-2.4676220000000004,1.0006953141576374,3316.9024967080704,2707.008236275826
b0[13],-2.9063597913,-2.91182025,0.2695806316634317,0.26468324063999993,-3.3539087700000003,-2.46341995,1.000057823861661,3009.609128747719,2752.987867940879
b0[14],-1.6379445994,-1.64131845,0.16104320865324637,0.16055497941,-1.89971783,-1.368854265,1.0000260360726931,2632.164793498895,3334.1734838812026
b0[15],-2.897964280275,-2.8982486,0.16361522994203245,0.16262639399999976,-3.1624777099999997,-2.6274174049999997,1.0016727051801775,3741.9897793857003,3151.475753368735
b0[16],-1.931890066,-1.93253465,0.11575845278856223,0.11698677689999998,-2.12633753,-1.7414823000000001,1.0006892731653656,2345.07485420644,2961.24477244092
b0[17],-2.279697997625,-2.27938005,0.2483676893748441,0.24783363989999993,-2.6926470150000004,-1.87437192,1.0021982070775166,3219.36244612786,2797.9443267281226
b0[18],-3.14258432145,-3.14643005,0.15936868590608988,0.15898646273999986,-3.40220329,-2.8744927099999997,0.9998352432812472,3357.8816683658288,2631.7428135680807
b0[19],-2.81337531545,-2.80802465,0.4042605954734724,0.4019572487699997,-3.4914339149999996,-2.1523827000000004,1.0001842578270264,4411.882207588835,2975.7738317686453
b0[20],-1.724342205825,-1.7231062000000001,0.0859470794993242,0.0869130513299998,-1.865421255,-1.586880095,1.001098676829103,1720.2232924042842,2583.156422197855
b0[21],-2.969429089525,-2.96900665,0.2698528252192694,0.2691493507499998,-3.4083675799999997,-2.5418773000000003,1.0007804836356895,3456.3400147792277,2851.6518684745406
b0[22],-2.547660943425,-2.54857455,0.3207152233760277,0.3181859009700001,-3.082333335,-2.00519,1.0005578536307338,3795.90009663511,2904.728780775447
b0[23],-2.914528617725,-2.9126136,0.24612818073954162,0.2483458040700002,-3.31879357,-2.502026585,1.0000912775919615,3558.37056997759,3250.7238546398385
b0[24],-2.219640143125,-2.22088175,0.20238947177922884,0.2012836322700001,-2.5480834500000005,-1.88254776,0.999736998642218,3534.469742877055,3035.8399130558664
b0[25],-1.722933305125,-1.7226812,0.08182457164225256,0.08096493426000015,-1.8574424150000002,-1.5897566250000001,1.0010162046019033,1838.9981783976432,2771.37213055321
b0[26],-2.225311785775,-2.2252289,0.07651823541121885,0.07694768129999985,-2.349164965,-2.09905828,1.001460590943667,1698.00053188114,2200.3172347859922
b0[27],-2.3923285616075,-2.39019195,0.4290348522733602,0.43028461980000016,-3.09337064,-1.6773171850000002,1.0004961457801487,5603.477102148394,3198.36695656358
b0[28],-3.06171186525,-3.05970165,0.2484105083632282,0.24211147106999986,-3.46926851,-2.6554655,1.0019121132852664,3194.5080593810603,3091.5694913179263
b0[29],-2.36031769995,-2.3591802499999996,0.12163471883113662,0.1206683692200005,-2.56273341,-2.1578008300000002,1.0007112182998583,2053.608559745823,2713.314265802618
b0[30],-2.45565920955,-2.4545505,0.08790067342973498,0.08702172590999972,-2.6052378549999995,-2.3142431549999998,1.0005857200136075,2021.4775577032176,2695.4882747642273
b0[31],-2.815274888775,-2.8149699,0.1345920577832975,0.13602788283000009,-3.0362566699999998,-2.594877605,1.001228088753157,2370.3189463634585,2863.7169993691723
b0[32],-1.6508717519125,-1.65277735,0.18690807335642287,0.1868654955299999,-1.95697713,-1.3462436450000002,1.000627166335406,2717.8505418912896,2862.884632248508
b0[33],-3.28992549,-3.2883581,0.22720021459086903,0.22884842799000019,-3.66034398,-2.9232337950000007,1.0003066584650866,4172.673194041199,2840.065938733796
b0[34],-1.65688660125,-1.65775155,0.18047473136780096,0.17764061007000004,-1.9547782599999999,-1.361085865,1.001494763353642,2620.7156585187163,2968.9405314852643
b0[35],-2.8032164223,-2.79602715,0.4599436553281949,0.4537085137199998,-3.5597438799999996,-2.047060995,1.0002977983535495,6432.827426140335,2957.6285097255886
b0[36],-2.673652942175,-2.67229305,0.2358548742207654,0.23183208636000027,-3.065480575,-2.288265275,1.000484830482291,3270.4383502042238,2277.831444399827
b0[37],-2.825729313225,-2.82799785,0.39558868651421775,0.39543299334000015,-3.4809167750000003,-2.1786357850000004,1.0000249597964774,5626.451458914019,2733.0361906264393
b0[38],-2.78535322495,-2.7864607,0.2554303341173624,0.2535804198899999,-3.2029395299999996,-2.3658477600000003,1.0010006067945116,4035.5401741537225,3188.877318455863
b0[39],-2.63613462245,-2.6398322,0.21819056033789366,0.21369655250999953,-2.99322108,-2.27700527,1.000340201377269,3020.8870243154847,3212.074333825797
b0[40],-2.65618045405,-2.6521292,0.3018242410073024,0.29038144295999985,-3.150131905,-2.15928155,0.9996331704633246,4023.1193563071292,2792.1204767798595
b0[41],-3.06882136915,-3.05365045,0.3151782118248715,0.3077049567899999,-3.60637858,-2.56438352,0.9999326213371623,3202.4361119683217,3191.95361381086
b0[42],-2.2323072806875,-2.2417477000000003,0.297653362606374,0.29247309504000074,-2.7241820700000003,-1.7358641950000002,1.000627599185839,3614.1326256556454,3675.8601765700773
b0[43],-2.568758209075,-2.56512215,0.3208964415032335,0.31775224047000006,-3.1010393450000002,-2.056483355,0.999617407084474,4782.3645488563625,2884.5922806003027
b0[44],-2.252289312325,-2.2501235,0.17008920395817873,0.1641245612999998,-2.534371415,-1.972240925,1.002330969569686,2993.299595166463,2701.7300155671264
b0[45],-2.6455437848675,-2.6442202999999997,0.43948287817087184,0.4329269095199999,-3.355103195,-1.9318981650000002,0.9995213447176959,6056.469733058163,3365.2821268229404
b0[46],-2.87842863975,-2.87412425,0.38104930092166095,0.3822914493299998,-3.5082972850000003,-2.264943765,1.0002939048460986,5308.4642997768215,3101.6638238873497
b0[47],-2.304591139325,-2.3009138499999997,0.16462059454609446,0.16737812699999963,-2.579498015,-2.032218355,0.9999664440952029,2758.9485831390407,3195.2338177120637
b0[48],-1.757995484875,-1.76063345,0.2742352141131905,0.27455320536,-2.20254942,-1.2982267400000003,1.0009616753483683,2768.1372309644626,3045.604486035566
b0[49],-2.59118498113,-2.5831745,0.42373915061051687,0.41914829228999995,-3.301741,-1.9014349150000003,1.0004945936630312,5357.206713556377,3446.094688512571
b0[50],-2.33967356405,-2.34468705,0.34235734143886176,0.33267868662,-2.893889165,-1.7612082600000005,1.0029798915862735,4820.23162932533,3084.4155405508345
b0[51],-2.71367147295,-2.7104956500000004,0.28762098775269074,0.2851866349499999,-3.19410148,-2.24303009,1.00115500237819,4349.1716747842775,2838.5228798622725
b0[52],-2.401141575,-2.3983593,0.2422625752591631,0.24086319599999972,-2.806500155,-2.0057318850000003,1.0005184378378984,3885.044824651625,3139.1888801864147
b0[53],-3.194369886625,-3.1910408,0.25383858505376566,0.2533191857700001,-3.62593539,-2.7880454149999996,1.0006558471289493,2914.7872122139083,2777.670348485599
b0[54],-2.451692835975,-2.4512158,0.29963198147862,0.30033650891999986,-2.948935755,-1.967794505,1.0009886779026698,3706.1201394910117,3051.5966600203633
b0[55],-2.797034899825,-2.7887226,0.2743067390755137,0.27616820153999977,-3.258772545,-2.3556496549999997,1.0004978684555068,2707.920268186508,2673.1146852793518
b1[1],0.00168678387203975,0.0011650164,0.05146256440409406,0.05134725200219999,-0.08216091410000001,0.08599294014999995,1.0020577330275664,2252.9117865081266,2674.984485298961
b1[2],0.047056208098492,0.0471660815,0.04603930936758619,0.04489175362979999,-0.03068931265,0.12392295899999999,0.9998205154704627,3518.0916342700134,3204.6356832825345
b1[3],-0.10056401671456,-0.0997114445,0.04780927380640378,0.0470551820823,-0.1810964455,-0.0234780636,1.000785361539564,2138.591835812529,3185.9873926571863
