variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2659.6126177,-2659.2662,4.769675722806728,4.602509309999763,-2668.0073749999997,-2652.38819,1.0011643273149573,1556.9783900241487,2160.2102761680144
b0[1],-1.717286586975,-1.71318775,0.20091423792168,0.20438908623000002,-2.0498520350000002,-1.3936865900000002,1.0005421989311125,2456.5377455030953,2525.617760852714
b0[2],-1.348043411425,-1.34922155,0.10366834690336635,0.1068968684699999,-1.515523425,-1.178347885,1.0005355841331436,2103.99514330797,2894.0225329307927
b0[3],-2.0607487724,-2.0650662,0.27761463877269027,0.2793101274599999,-2.51520416,-1.6007894250000003,1.0005891375804803,3235.734527952076,3137.9380629158204
b0[4],-1.16991985956425,-1.1746265999999999,0.3972743434858454,0.39298544313000017,-1.8132414600000002,-0.4987527955,1.0009200318279228,3289.3411683748345,2392.514834390909
b0[5],-1.660289381925,-1.6601213000000001,0.13640567098864248,0.13262998601999995,-1.88752867,-1.438031455,0.999994458623046,3107.579468393067,2890.665381512004
b0[6],-1.872716268875,-1.86870855,0.19107296850221747,0.19239596417999996,-2.18689487,-1.558054935,1.0005107347800972,2443.2811588001377,2765.5215842702814
b0[7],-0.580064483995,-0.582212595,0.1134752901979715,0.10957402152899996,-0.766338849,-0.38842480649999994,1.0001559218253937,2162.07404569104,2492.133012162519
b0[8],-1.595271033765,-1.58934245,0.37146076134571937,0.36041301764999994,-2.2119453250000003,-0.9760408835000002,1.000053093696742,3467.3258792305624,2658.6491196557504
b0[9],-0.47068230143475,-0.471120105,0.18802097842758514,0.190024382394,-0.776616784,-0.16125811550000024,1.001321390198936,2699.527473936087,3174.4463201506196
b0[10],-1.666317204375,-1.66710715,0.11919316505919007,0.12090380610000002,-1.856429195,-1.4689927100000002,1.0001214660069675,2758.5134045350906,2621.8969359377684
b0[11],-1.5679147153025,-1.56343725,0.33947173647723056,0.33881160978,-2.1299524099999996,-1.018809255,1.0018547387029715,2697.3041752326785,2978.790071652389
b0[12],-1.0201404556575,-1.02027705,0.19123950784650676,0.19168509454500002,-1.3363556,-0.7078642405000001,1.0019905817010235,2460.102035961122,2533.0454799293516
b0[13],-1.17769338046075,-1.1822396,0.40544225142016416,0.40786548390000016,-1.8571283150000002,-0.4979106085000001,0.9995946772755117,3435.734371268907,2959.826866725082
b0[14],-1.250355528595825,-1.2584954000000002,0.5160707640006833,0.4878676844370003,-2.0823735699999997,-0.3945983475000004,1.0013859324015935,3440.707035807911,2785.037668894067
b1[1],0.34070917211975,0.34072426499999997,0.08163131343003596,0.08338573836600001,0.20924969399999999,0.47497226049999997,1.000252527289693,2801.3852552004178,2786.6838847816266
b1[2],0.5771466311075,0.5767353550000001,0.0452609335683632,0.04600464804600006,0.5030946414999999,0.6503990915,1.0009998721477125,2539.3235150517235,2838.8623634911096
b1[3],0.1762167820212225,0.17611033999999998,0.09027076155759732,0.089741822478,0.02790920655000001,0.3267764769999999,1.0025907830780916,4206.778688435993,3009.6646168257334
b1[4],0.517334142562975,0.5129994250000001,0.18665476271988726,0.19053931161299986,0.21736619000000001,0.8355125459999997,1.0019387269507831,3633.015772424142,2752.4722663444986
b1[5],0.22839322618875,0.22864790000000002,0.05768417197309004,0.058557540552000006,0.13566692100000002,0.32015172999999997,1.0001521859765412,3868.7917276290545,3034.6662167834784
b1[6],0.1579583161247425,0.157321005,0.075460688643405,0.07500751387500001,0.03609513195,0.282557101,1.0008360095918811,3193.0640053479046,2670.0880636266743
b1[7],0.244334440346,0.245000035,0.045670225897230125,0.04583509791000001,0.16893928149999998,0.3174978495,1.0004697922888846,2925.8465882614128,3242.6449973372355
b1[8],-0.11081289674735975,-0.11081831,0.14969791313374506,0.15158550108135,-0.35345265449999996,0.1403600049999999,1.00129241384382,4268.6870618022185,3048.1739615497113
b1[9],0.18224220304932,0.18188744,0.09121065950306984,0.091055465382,0.035714561500000006,0.33261870349999995,1.00077489271846,3205.524179031155,3085.966080451271
b1[10],0.16184180876975,0.16232693999999998,0.04027255078152195,0.03949377308100001,0.09635117225,0.228226493,1.0013694155517259,3278.1326596360536,2908.8911703825156
b1[11],-0.3548204193441575,-0.346537785,0.2741456521994303,0.27622772051699995,-0.8298993425,0.08053588819999995,1.0008295025022287,4372.4797489691055,3207.071924399077
b1[12],0.40060351318025,0.399304475,0.09419029696800649,0.09448061238000001,0.24740393249999998,0.556004512,1.0014148516083263,3856.4752819532655,2935.1294430516955
b1[13],0.021666336724358,0.0223367515,0.18909520214126924,0.18074780386109998,-0.2906644965,0.3303448124999999,1.0001747009757411,4431.067731263217,2910.480709240035
b1[14],0.1303823490680371,0.120306375,0.23187503149902253,0.22377862688160002,-0.23105351600000001,0.5159267585,1.000191346441861,3683.4544710312193,2827.989349807482
b2,-1.091950997475,-1.0913135,0.20981036904213576,0.207084964527,-1.437428065,-0.7438439730000002,1.0032162219269747,1212.369030392652,1643.0988486028225
b3,0.005285907871975,0.0052926873,3.7981206949813147e-4,3.847506379499996e-4,0.004658300645,0.00590922814,1.00080049625896,3059.1934998053403,3136.3207983636657
b4,1.328088702425,1.3283426999999999,0.05597351323720962,0.05508637364999979,1.2341081999999999,1.418656325,1.0005126250176328,4850.563379155919,2935.9351082140547
b5,0.103445006863,0.103535745,0.020345484053404195,0.01989936305489999,0.0701892418,0.13642218199999995,1.0033834254167922,4335.129153896093,2539.368544131723
b6,-0.1710588145475,-0.17095918999999998,0.017830215860162663,0.018090751917000013,-0.19987032,-0.14164200950000003,1.0034803627290947,4699.135872128404,3245.3151007644738
b7,-0.3561578003325,-0.355893045,0.0344152570448549,0.03454526940899999,-0.4118562805,-0.2990577815,1.0014174285938962,6478.6665845613725,2630.3268819391883
b8,-0.0052961097754542505,-0.00623197105,0.2978249019286773,0.289839952962,-0.4890785675,0.48399986599999983,1.001414785658576,5724.219671404497,2627.5393657654135
