species_idx,SPCD
1,12
2,43
3,68
4,70
5,71
6,91
7,94
8,95
9,97
10,125
11,126
12,129
13,130
14,131
15,132
16,241
17,261
18,313
19,315
20,316
21,317
22,318
23,319
24,320
25,332
26,341
27,356
28,371
29,372
30,375
31,379
32,391
33,402
34,403
35,407
36,409
37,462
38,471
39,491
40,500
41,531
42,541
43,543
44,544
45,591
46,602
47,611
48,621
49,651
50,653
51,655
52,660
53,693
54,701
55,711
56,731
57,741
58,742
59,743
60,746
61,761
62,762
63,763
64,771
65,802
66,804
67,806
68,812
69,816
70,830
71,831
72,832
73,833
74,837
75,901
76,922
77,931
78,935
79,951
80,972
81,975
