species_idx,SPCD
1,43
2,61
3,68
4,97
5,107
6,110
7,111
8,115
9,121
10,123
11,126
12,128
13,129
14,131
15,132
16,221
17,222
18,261
19,311
20,313
21,315
22,316
23,317
24,318
25,332
26,341
27,356
28,371
29,372
30,373
31,391
32,401
33,402
34,403
35,404
36,407
37,408
38,409
39,410
40,461
41,462
42,471
43,491
44,500
45,521
46,531
47,541
48,544
49,545
50,546
51,548
52,552
53,555
54,581
55,591
56,602
57,611
58,621
59,641
60,651
61,652
62,653
63,654
64,655
65,682
66,691
67,692
68,693
69,694
70,701
71,711
72,712
73,721
74,722
75,731
76,742
77,756
78,762
79,802
80,806
81,812
82,813
83,819
84,820
85,822
86,824
87,825
88,826
89,827
90,828
91,831
92,832
93,833
94,834
95,835
96,837
97,838
98,840
99,841
100,842
101,901
102,912
103,922
104,931
105,951
106,971
107,972
108,973
109,975
110,993
111,994
112,8449
