variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-6153.77562,-6153.4719000000005,8.275612401063329,8.000035470000125,-6168.082285,-6140.584494999999,1.0000031202772657,1342.4852459352785,2472.20645789778
b0[1],-1.96467880365,-1.9656699,0.06861826859910432,0.06969554339999995,-2.07731231,-1.8518304349999999,1.0020337591599962,1584.8711381096336,2149.979136570512
b0[2],-1.96499588135,-1.96598975,0.07800766865538984,0.07893607028999955,-2.0930196,-1.8382275799999999,1.0005626062901134,2396.807941590492,2565.1383337306797
b0[3],-3.010934589725,-3.01501295,0.24792453064983686,0.24795247029,-3.4098074,-2.59951328,0.9995042774023336,3842.456078605524,3025.527585310805
b0[4],-2.67101542495,-2.67008795,0.18418834504975115,0.18088127715000007,-2.9808825,-2.373367745,1.0000184217683517,3808.3141844444394,3044.048537669243
b0[5],-2.80588867975,-2.80325795,0.2897416843536972,0.28964021709000015,-3.2901760499999995,-2.3428423100000004,1.0010948805750526,4136.9754884373715,3076.363231568908
b0[6],-2.3595940177,-2.35972145,0.07475575663461938,0.0746059887300003,-2.4863202350000004,-2.23649261,1.0017474714036305,1790.7061073743619,2647.327135932662
b0[7],-3.0608673619,-3.05794575,0.12415152545944126,0.12264163568999992,-3.2709698400000002,-2.86133859,1.0002879105139892,3010.120186916685,2470.0227822823167
b0[8],-1.605216112955,-1.60395855,0.22801127674329713,0.22499989490999997,-1.98253634,-1.2287432,1.0012784707480191,3041.726464267952,2791.8574693938976
b0[9],-2.7124968106,-2.7071186000000003,0.25367262938180923,0.24955597632000015,-3.13934328,-2.2900431049999996,1.0008465699656215,3658.304290655639,2555.68046248143
b0[10],-2.465594907875,-2.46608035,0.09230058900803495,0.09252573014999997,-2.616418215,-2.308310605,1.001126221201555,3343.890268704274,3448.4694030049027
b0[11],-2.7480334548,-2.7431158,0.32559988077419333,0.32262903078000005,-3.2767726799999997,-2.2130063250000003,0.9994536696753549,4740.816972385142,2983.88702169044
b0[12],-2.850878592075,-2.84961175,0.2554927286420162,0.25109550816,-3.2749708999999996,-2.4341521200000003,1.00135259020681,4015.748406161285,2885.771128950255
b0[13],-1.9762661989749999,-1.9780771499999998,0.08466548918608721,0.08249668244999972,-2.112778415,-1.834334025,1.0003427295721006,3426.9024936555306,2541.943267650697
