variant,n,mean_brms_tph,native_rmse,native_bias,rmse_opt_level,calibrated_rmse
ACD,96,1064,52.8,-19.9,2.0,36.9
BM,87,1024,100.2,-27.5,1.6,97.4
CA,88,941,76.7,-12.2,1.2,76.0
CI,81,844,88.4,-6.0,0.6,87.1
CR,79,770,49.0,9.4,1.0,47.3
CS,80,822,46.8,-0.9,1.0,43.0
EC,87,1024,101.7,-31.7,1.6,97.3
EM,90,773,40.3,-7.8,1.6,39.9
IE,91,972,66.1,-3.8,0.8,60.9
KT,81,828,56.6,-15.3,1.0,56.3
LS,79,828,54.6,-10.3,1.4,54.0
NC,90,935,75.2,-17.0,2.0,54.0
NE,94,952,34.6,-11.5,1.8,30.5
PN,87,1024,98.3,-23.8,1.4,97.3
SN,90,812,96.2,-5.6,0.8,91.9
SO,89,1020,152.3,-27.8,1.8,138.9
TT,85,856,47.5,-9.3,1.2,46.0
UT,85,708,64.5,15.5,1.2,66.7
WC,87,1024,98.3,-23.6,1.0,96.7
WS,88,941,80.6,-15.8,1.0,75.7
