SPCD,n,B0,B1,B2
11,13270,-0.0148759879600757,-0.009169602132097,-0.00676392276320052
12,67214,-0.0418278132379623,-0.00995556587846675,-0.00453874519569072
15,19412,-0.01708753660241,-0.00483985402344861,-0.00995756922121775
17,17703,-0.0193985991294434,-0.00412562745290171,-0.0113589830537706
19,25489,-0.0190843014839577,-0.000751342353863833,-0.00552575573398521
68,22236,-0.030411605786241,-0.0232002523212749,-0.0190283862977878
71,15615,-0.0359264272463018,-0.0168823176623732,-0.0322782207988773
73,6306,-0.0190439050363332,-0.0116611718793101,-0.0342671555424591
81,6249,-0.0145740971402558,-0.00954016453842608,-0.0115008980583153
93,17820,-0.0142026526387502,-0.00394238579728599,-0.00752078975861404
94,12027,-0.0364689759335469,-0.0138824072247046,-0.0116294891820656
95,27283,-0.0395152432421099,-0.0190016210902037,-0.00860776981404268
97,27097,-0.0302922056184618,-0.0184631024210179,-0.0147330166756808
105,11529,-0.0388024995451812,-0.0261863935509115,-0.0466200315503742
108,51560,-0.0170379931713014,-0.0152014918482721,-0.0127866377569137
110,27185,-0.0227297859257675,-0.0320556138972933,-0.0651290347135492
111,34291,-0.0220846660887915,-0.0397923072879218,-0.102181757312688
121,13451,-0.0230458328530569,-0.0371968417773425,-0.0807761763269138
122,50778,-0.013170773347432,-0.00987947635166828,-0.0200530561550031
125,35601,-0.0312523440452174,-0.028839267873673,-0.0183528881527716
129,40097,-0.0307521273984918,-0.0162627911814531,-0.032076194808246
131,241676,-0.0132068657389393,-0.0408398551133686,-0.105371715831051
132,13070,-0.035591985549354,-0.0343352445558081,-0.0549796240274371
202,116548,-0.0112233558764895,-0.0156854179686685,-0.0255941994121634
241,48237,-0.0292742010112275,-0.0236156501487335,-0.0115456974645159
242,10043,-0.0108019772797781,-0.00691982501838326,-0.00904179595835087
261,33717,-0.0262842310591121,-0.0119701093458221,-0.0082306746996913
263,25716,-0.0125213536210777,-0.0123315112029472,-0.00750139540517861
264,6833,-0.0123876606189434,-0.00890120627140512,-0.00337046824304278
316,147268,-0.0258713130627241,-0.0193705258844671,-0.0240361382372303
318,81946,-0.0241431042188303,-0.0160076935199425,-0.0184761466498188
371,20935,-0.0235464172183856,-0.0183461233950486,-0.0189050156429528
372,13021,-0.0208676532429977,-0.0242858663957575,-0.0191998960862852
375,25037,-0.030919924031593,-0.0237790460306192,-0.02581167960889
402,5938,-0.0269162146996526,-0.0173432160364567,-0.0378208223464252
403,14513,-0.0288621270679683,-0.0149961342853101,-0.0286517672697273
407,9837,-0.026258986183547,-0.0165617956694721,-0.0265234400112108
408,5380,-0.0292102436409723,-0.0182324807833442,-0.0194524753793504
409,14245,-0.0286646579623673,-0.0155044117613859,-0.0278594936231111
462,5195,-0.0237831120707531,-0.0204402808051111,-0.0216425311214071
491,5239,-0.038700148101826,-0.0418161977721463,-0.012203998596051
531,30834,-0.0343865446704826,-0.0121316552537126,-0.00483023337085387
541,19547,-0.0338075117051047,-0.0207186193763398,-0.031803556535381
543,20068,-0.0385451365904222,-0.0245386787906598,-0.0230414034201779
544,15766,-0.0343653220879559,-0.0225334652543886,-0.0314910254640386
591,5429,-0.0258857399050729,-0.0179057207670142,-0.00817786020239832
602,6738,-0.0259921272713807,-0.021673282460456,-0.0467813022929273
611,56431,-0.0334203835522804,-0.0208898340387907,-0.0281521300024229
621,40027,-0.02980527877854,-0.01721387515534,-0.0408220359762244
631,8177,-0.0169149921422699,-0.0217325604758606,-0.00871456123564429
693,20633,-0.0321263615591735,-0.0224973587371659,-0.020870320648927
694,6219,-0.031410552315393,-0.022837270296972,-0.0306356037999684
701,8852,-0.0289325715363069,-0.0246250882655022,-0.0118203923094349
711,13821,-0.0280695030277774,-0.032083642134648,-0.017987927484572
741,5549,-0.0450147207117705,-0.0247053856899257,-0.0477672976649279
743,15894,-0.0309932673919296,-0.0244154707464956,-0.0665545433134257
746,79948,-0.0314024749433677,-0.0278855188099083,-0.0259455434439829
762,28830,-0.031355657950274,-0.0270923491256719,-0.0395167689536005
802,55650,-0.0275070006395199,-0.0154477655322724,-0.0335569857697045
806,11686,-0.0262224363264645,-0.0174783086281423,-0.0454733093808418
812,11855,-0.0277253016738346,-0.0190193796436986,-0.033307545235248
820,5856,-0.033892110796394,-0.0174189936929792,-0.0327429906937667
823,9188,-0.0351170134167282,-0.0150921943897123,-0.0281165509241715
827,22124,-0.0320481506420762,-0.0191583388383493,-0.0338594341482063
832,26981,-0.0275195228783255,-0.0174545645237867,-0.0367974424010391
833,37327,-0.024078529289673,-0.0174520619050767,-0.0384571030939423
835,23248,-0.0284454721070534,-0.0204089630686897,-0.0297371607434485
837,22698,-0.028736641035824,-0.0182102132893868,-0.0393693513808935
931,6035,-0.0296592074131378,-0.0344278664338154,-0.0366042173775264
951,16967,-0.0293754341771013,-0.0194890135021009,-0.0220865497744841
971,11955,-0.0346135064667806,-0.0220442885967533,-0.0171052586922466
972,15973,-0.0351686914768596,-0.0230249088255008,-0.0151259079497647
