SPCD,n,B0,B1,B2,B3,B4,B5,B6
11,16755,-0.801159413203863,-0.679747284274483,-0.403192593950271,1.6975587652186,0.358315708498321,-6.14618654260364e-05,0.0381597559810782
12,150407,-1.850137475718,-0.412031317552179,-0.105339110507698,2.20247353069026,0.552570562748422,2.88298614635226e-05,0.0269497853776109
15,27484,-1.88205657849293,-0.523169435616303,-0.17700679557658,2.0054349242819,0.427962755814656,4.08768427775461e-05,0.0300727251182435
17,23877,-2.11103782952562,-0.54454269157389,-0.0688649911737398,2.13182573657371,0.627639767347609,1.71428234996662e-05,0.0291917376641604
19,40594,-1.4434449283789,-0.74103867632271,-0.286817379015626,1.64317852998088,0.374906995920071,4.12777098609637e-05,0.045044617468786
20,5283,-1.44543342597642,-0.555191312735683,-0.167340791928919,1.80756232276011,0.42517664894714,-1.17926678440793e-05,0.0158711775980233
68,33343,-1.75025564164623,-0.546067752696165,-0.172670638610272,1.7421353944597,0.576989940922983,0.000159644806412041,0.0136287166690708
71,31328,-4.31448782499128,-0.459600100330294,-0.129145272268706,3.07296276601464,0.27968785090631,-0.000195964615305852,0.00827369340561978
73,8861,-1.35044520381006,-0.655800337347546,-0.132736208906704,1.45055892300622,0.57961252429498,-1.6554391488998e-05,0.0154494559207304
81,8120,-1.83213207488868,-0.636947589398428,-0.17473683710886,1.88891103164622,0.458683050871539,6.96701719129896e-05,0.0313279235902419
93,32275,-0.293175682447105,-0.850120860860499,-0.230765907935248,1.52824031139955,0.458360544419987,2.32569869868356e-05,0.0605056533416787
94,19469,-1.81874149843421,-0.770823056072916,-0.131175620441997,1.49397248917619,0.61805868112057,-3.1474729335535e-05,-0.00179131060543059
95,55226,-2.8429995906117,-0.527591771949976,-0.00105174335340183,2.18813958069703,1.1473559471415,-6.95770448835425e-05,0.0312857145663557
97,53187,-2.89445254874065,-0.42959570128916,-0.0482329549412609,2.28180651909621,0.72032859858073,3.55817779788575e-05,0.00155180232324143
105,17711,-2.61874211884957,-0.594712315859512,-0.0733625984806822,1.62637651993763,0.697540925960794,6.21170061306715e-05,-0.0103498511205617
108,72546,-1.36010517601055,-0.798294138738375,-0.3523804477693,1.47335490434532,0.404700570527213,-4.17897695369098e-05,0.0145179917189156
110,37262,-0.225990621931846,-0.655003811271083,-0.0587303999549709,1.16126935762809,0.822466632340548,-8.15196984877965e-05,0.0102367265918737
111,39973,-1.0965560658023,-0.768333010879884,-0.0673976980514108,1.4664052588703,0.773149338476479,3.90716251447067e-05,-0.011223400812367
121,17633,-1.31716792912649,-0.752726746675248,-0.0659142464068604,1.37589113587004,0.767026838021883,-0.000250962694059567,-0.017828925042468
122,74938,-0.131240878004272,-0.907657572965342,-0.154044309288293,1.33828526766039,0.611416332079141,2.63264065870553e-05,0.0327759623677248
125,44462,-2.15314964967031,-0.714553957843048,-0.041877591950549,1.32984831646718,0.837298956254203,2.9999737635748e-05,-0.0284182770421804
129,60048,-1.85144525120084,-0.490841601326313,-0.0467981150217908,2.18021770828352,0.835389046665313,-1.18171270082488e-05,0.0109063055051208
131,269719,-0.889536265193693,-0.603597539531381,-0.0457207568818935,1.48293237536794,0.859292018624955,-0.000171245690445022,-0.0157988221585396
132,17096,-0.482552607905811,-0.58196774610623,-0.0840458206733525,1.29582394798812,0.712226172864314,-2.85407969652297e-05,0.0225753761321197
202,156486,-1.32860255446066,-0.580797787739443,-0.0944198353720783,1.86556231022447,0.622869325420378,-4.25362453096488e-05,0.0331313385045008
241,98956,-3.9742319489711,-0.30021898397779,-0.021039710677804,3.45514379614712,0.676903010636854,-5.88472771724578e-05,0.00405143208041269
242,13575,-1.6528761615447,-0.476919592964785,-0.179106774545356,2.13598130544974,0.502855286599403,-7.76921322672003e-05,0.0228860319357397
261,63589,-2.91181777816951,-0.466017757629238,-0.0487350965651396,2.09599003180327,0.739861831891933,-5.92747167703478e-05,-0.0118586755888359
263,32974,-0.78761607955042,-0.600438308848574,-0.209002913767259,1.60713789990846,0.500437525341642,-4.44135174296258e-05,0.0311426269891188
264,9731,-1.75901095034183,-0.585032428144686,-0.201532925280131,1.63335973740355,0.44704519874601,-1.34694193630879e-05,0.0187319041298378
313,9663,-2.53099657658735,-0.365394273246926,-0.242448506341132,2.55429128682155,0.429898730653845,-7.50043151589241e-05,-0.00506248418016519
315,8035,-3.14582915544366,-0.380671473769073,-0.490588093913038,2.54534498608569,0.322184808516844,3.0972792929803e-05,-0.0125832574638855
316,283321,-3.12660419935648,-0.310016294804949,-0.0708510519354982,3.19580571502572,0.672587199421005,-3.13699806563162e-05,0.00860368186169129
317,7825,-3.25666263456046,-0.2290827220144,-0.0787713881512843,4.38116954832241,0.57849700088808,-0.000128415339837657,0.00121081895196937
318,170961,-2.81616799613016,-0.345738332108601,-0.0712494942937312,2.8086171476299,0.706506629064778,6.11457994585827e-05,0.0164553370768157
351,6273,0.0580530998217443,-0.728246180255522,-0.12833511820634,1.11824462260387,0.610643492353171,-2.0334532597301e-05,0.0193899334336801
371,44172,-3.66079404750516,-0.435686074215283,-0.0363667573085497,2.3243915614817,0.791237978022435,8.4239413667785e-05,-0.0151657534248868
