SPCD,n,B0,B1,B2,B3,B4,B5
611,172181,-2.36449558678979,-0.272823729174307,-0.0692985574049704,2.35128604416039,0.720315189922429,-0.029945630074217
835,69973,-2.78015726995083,-0.221865317627241,-0.044431463646626,2.64724338902532,0.843066217631126,-0.00355716738224067
531,101182,-2.40055485894566,-0.243126688517715,-0.0761901270795053,2.35091086739012,0.665535588653156,0.0609761315045405
521,7689,-2.72908025791399,-0.333832582946462,-0.144664915530568,2.07338392715893,0.518320425457816,-0.0463735768151549
491,20085,-1.68468373276741,-0.773868016356424,-0.375619772243685,0.925787691901458,0.416362888300053,0.0739453279089622
812,32720,-1.88737864857941,-0.163301541296937,-0.047637014332223,2.31960557733455,0.810062355645341,0.00825865300730008
591,18727,-2.5098257372026,-0.411559181274922,-0.305009625461811,1.67851379932251,0.346432996623609,0.10389123913065
827,66200,-2.03649794632983,-0.076555240772331,-0.0583417074407021,4.72723411086793,0.735434611827693,0.0416832938909244
131,533163,-0.442179356774552,-0.312102440853827,-0.0488467236256128,1.13179920884452,0.842325277957918,-0.0237688923812414
802,161628,-2.40610952279096,-0.149642507796091,-0.0253768724941559,2.87598670041506,0.936452202460282,-0.0344568342363859
693,65435,-2.53935082722193,-0.235958866827299,-0.114027217972567,2.30043101245337,0.625643427686751,0.118886511402265
121,28730,-0.896258466810249,-0.600104575839624,-0.0963575226415952,1.20797256320881,0.704037027278069,-0.208575732190398
653,18331,-2.61658271652618,-0.102790522636281,-0.0390654015415971,3.99464030397261,0.745994750789514,-0.000694097131045603
316,449259,-3.01456239108697,-0.192460348801175,-0.0587425663355401,3.50626553579153,0.709756998793652,0.0323526263457195
221,13770,-2.4417859424542,-0.284681380529345,-0.057387421946296,2.61791672643923,0.670937053979476,-0.0913605863753471
972,48713,-2.4930981756567,-0.138830516768844,-0.108202706553859,4.18980661035401,0.578838778465791,0.0479036791392935
951,46665,-2.59604792122181,-0.262812087959528,-0.0396416838191326,2.44135772180744,0.778641818477328,0.198801675806139
111,82843,-0.729321362048471,-0.473227526500636,-0.0567326065230216,1.21226626321949,0.816603524385559,-0.0722168501553241
721,4623,-2.42416900698868,-0.237953279431222,-0.323588051954649,2.70315108780733,0.382527502340531,2.93438771243255e-05
824,8149,-1.76466061247216,-0.228993920731546,-0.210536816199831,1.33722073437647,0.545265752173046,0.102493072473016
621,104556,-1.58192605629398,-0.249798441906058,-0.0394880829508995,1.8868829372142,0.825892154002398,0.00124552488478986
694,46968,-3.34484623558066,-0.0856589762640385,-0.0249145511573976,5.46389437501997,0.782814373659428,0.0130441041729915
110,61065,-0.585188877104381,-0.477093290398842,-0.0290817543005648,0.981131155999727,0.995073879011679,0.0305923512156876
820,25201,-2.33003775097454,-0.020562987003355,-0.0772015137458362,16.4456711769154,0.614909691434092,-0.000474215014478996
409,45122,-2.70306385692268,-0.157551721485139,-0.0625348212283536,2.99138540952313,0.740877628609887,-0.0110144137129226
711,39842,-2.92069594302722,-0.181969867838918,-0.0316608354408698,2.74350964891074,0.768204334924424,0.057420432469724
822,5287,-1.93626589483556,-0.170930994678147,-0.0276758464174691,2.54377633974272,0.897720258889926,-0.211357122775974
691,13187,-2.12671102252742,-0.140392012088615,-0.00565831241503249,2.49792102147241,1.09605693190777,-0.0977095187588522
391,22576,-2.51007842408369,-0.225651025489962,-0.340504605190366,2.30625179779576,0.388103277352379,0.315148732813501
701,37795,-2.38323103010387,-0.445280142650212,-0.352966142066281,1.44292965711504,0.397190816081641,0.0920555477946832
762,74241,-2.79611174022668,-0.209937274100637,-0.063979558978919,3.36939951901918,0.681424363940178,-0.00526220355570436
837,61402,-2.40395749097019,-0.137606608516037,-0.0305575947806548,3.29101295186461,0.842330032328919,-0.0453464812853746
731,9225,-2.46910851068896,-0.276744827870125,-0.0175699931779895,2.70611357600038,0.88947497737324,-0.117091815879714
68,68146,-2.00038495249359,-0.43579690718247,-0.134927368743415,1.75416674666085,0.624470669530564,0.062826896288966
403,43307,-3.1103118895757,-0.0845014224977222,-0.0329390071484745,5.89638838097451,0.86571588949357,0.0206450012115621
994,5500,-2.09885668843079,-0.198330349418116,-0.0602242739292985,2.56861714339592,0.627354373007407,0.0440564535392827
544,55289,-2.6093586403161,-0.116817522027443,-0.080525055257468,4.20778258754025,0.623853785743273,0.0144135132384544
971,37566,-2.35458916193836,-0.268444044912953,-0.280613615633479,2.29648223668573,0.444346777710181,0.0378899061155952
461,12693,-2.2539567738913,-0.226786182633809,-0.0904594049566389,2.62935208792879,0.646267464898923,-0.0638838602765763
831,13325,-1.49471704747358,-0.150835534198699,-0.0832352274046411,2.27564229487812,0.705137471696244,-0.0923843243226124
552,5958,-2.39567086352923,-0.242011862610349,-0.209656210393848,2.8243386266405,0.327448472344336,-0.0319202298597742
602,17471,-2.16713354689972,-0.441102971988485,-0.0806863557017756,2.05139257241937,0.611951031222369,0.0323602139657378
825,3059,-1.34268849911348,-0.171417577565343,-0.125056018129388,1.5824284617182,0.621140688115323,0.132105682704534
975,14984,-1.85074803279755,-0.243030492357297,-0.431878675250248,2.36571182082138,0.385375115654193,0.0842089430066704
742,4850,-2.01277133805454,-0.226960932829664,-0.0680807670666854,3.04823253601245,0.724538115803245,-0.0489856641864802
