SPCD,n,B0,B1,B2,B3,B4,B5
611,172181,-2.36113265776992,-0.27282373399706,-0.0692985617227574,2.3512860068389,0.720315179733149,-0.0130179725679437
835,69973,-2.78112453970546,-0.221865215484442,-0.0444314538480646,2.64724406446042,0.843066231352498,-0.00134314089122399
531,101182,-2.40709054465367,-0.243126697050189,-0.0761901473540981,2.35091078629889,0.665535541869047,0.0246769331564962
521,7689,-2.72734288264337,-0.333832566296201,-0.144664862174115,2.07338400402885,0.518320492962204,-0.0222778365256226
491,20085,-1.6864819084027,-0.773868003921248,-0.37561961080322,0.925787718062517,0.416362970230273,0.0317824277066022
812,32720,-1.88749272008367,-0.163301560180737,-0.0476370252330748,2.31960536855228,0.810062315997014,0.00327521041010314
591,18727,-2.51148118543692,-0.411559196611657,-0.305009720077869,1.67851374144743,0.346432949189168,0.045533852095275
827,66200,-2.03992180613682,-0.0765553068412977,-0.0583411578203489,4.72722432304273,0.73543646843215,0.0183009670771194
131,533163,-0.437330133650387,-0.312102434477417,-0.0488467651997469,1.13179936761412,0.842325119582648,-0.0106140548246336
802,161628,-2.40918446198259,-0.149642683604411,-0.0253770270608409,2.87598323971285,0.936451031083733,-0.013397681110207
693,65435,-2.53408947742934,-0.235958858930563,-0.114027204257028,2.30043107300337,0.625643448986695,0.0482904689831387
121,28730,-0.857810956477125,-0.600104575716251,-0.0963575237104092,1.20797256177605,0.704037024962619,-0.0728180174694654
653,18331,-2.61659642417554,-0.102789785596016,-0.0390646810785829,3.99466711407198,0.745997867937642,-0.000290261250980041
316,449259,-3.01891337316491,-0.192460355154621,-0.0587425683009666,3.50626543191407,0.709756997306162,0.0133142001521343
221,13770,-2.45321827896257,-0.284681317577825,-0.0573874398777887,2.61791722548578,0.67093696682344,-0.0375885644232495
972,48713,-2.49319888807584,-0.138829180215825,-0.108197017513179,4.18984670854382,0.578848544922918,0.0233425253310713
951,46665,-2.61916890072989,-0.262812057946627,-0.0396416659332031,2.44135788246991,0.778641882404725,0.0804126557591798
111,82843,-0.712162025806954,-0.473227525445829,-0.0567326085698828,1.21226626834091,0.816603517150733,-0.0293827391054827
721,4623,-2.42418660181979,-0.23794887471611,-0.323593655805204,2.70319135242723,0.382521883808837,-1.56587970128195e-06
824,8149,-1.73824107745042,-0.228993931817989,-0.210536856248036,1.33722066798734,0.545265716492768,0.0395951074437018
621,104556,-1.58218382513497,-0.249798434758573,-0.0394880802474782,1.8868829880463,0.825892164556973,0.000503676797409696
694,46968,-3.3438256333705,-0.0856588981248715,-0.0249145576124839,5.46389877610008,0.782814297318155,0.00533671883754123
110,61065,-0.580136044849364,-0.47709328243332,-0.0290817565888881,0.981131081721267,0.995073858690454,0.011802311237469
820,25201,-2.33005436231516,-0.0205638389829747,-0.0772055534427907,16.4450107428493,0.61489969151418,-0.000223863688039443
409,45122,-2.70372213702563,-0.157551704173068,-0.0625348235674224,2.99138568753049,0.740877610338328,-0.00448030126775914
711,39842,-2.92360099601331,-0.181969775434266,-0.0316606745012173,2.74351103608486,0.768205233374665,0.0215073190457088
822,5287,-1.9887876660409,-0.170931774117319,-0.0276771995885615,2.54376971161766,0.897710907781105,-0.0897693387347775
691,13187,-2.1462512056768,-0.140391612213356,-0.0056583518224401,2.49792379301358,1.09605566938637,-0.037947917034675
391,22576,-2.51676129141162,-0.225650921980156,-0.340504090558477,2.30625283784194,0.388103511910625,0.140626881398658
701,37795,-2.38793184487852,-0.445280143354622,-0.352966133044983,1.44292966238784,0.397190821164516,0.0393184185100223
762,74241,-2.79543218378191,-0.209937236682761,-0.0639793963590904,3.36940017954829,0.681424843967003,-0.0023857884790122
837,61402,-2.41118355712733,-0.137597575969509,-0.0305398044168069,3.29122381050515,0.842445893513292,-0.0183683757397525
731,9225,-2.45212742858284,-0.276744864787685,-0.0175699978051474,2.70611526699492,0.889475144298367,-0.0537508580957551
68,68146,-1.99360927572237,-0.435796907826667,-0.134927377131467,1.75416674168371,0.624470655884032,0.026479250831642
403,43307,-3.10939419782108,-0.0845014259961077,-0.0329389433082925,5.8963883800208,0.865716289451047,0.00853721752808208
994,5500,-2.09992644281545,-0.198330350443255,-0.0602242995771815,2.56861710228932,0.627354279434398,0.0192741515340333
544,55289,-2.61028436747635,-0.11681753715327,-0.0805250021344725,4.20778204465323,0.62385392948887,0.00663266196145618
971,37566,-2.35321678391558,-0.268444047008104,-0.280613621440937,2.29648222107036,0.4443467747016,0.0158592133802437
461,12693,-2.26230072611697,-0.226785494059322,-0.0904562076722542,2.62936072530593,0.646274311074149,-0.0305877030542851
831,13325,-1.49457411626423,-0.150835529531936,-0.0832352279750903,2.27564233242673,0.70513746762285,-0.0398490902477037
552,5958,-2.39949959408023,-0.242011856227711,-0.209656200323377,2.82433869635263,0.327448476151566,-0.0154170351183613
602,17471,-2.16648506811212,-0.441102964508013,-0.0806863642482477,2.0513925953203,0.611951000676097,0.0158821545418015
825,3059,-1.33028190669902,-0.171418105482436,-0.125058795228269,1.58242312265411,0.621136295999777,0.0626206355247031
975,14984,-1.84567407593709,-0.243030489281691,-0.431878760912396,2.36571186797165,0.385375071416338,0.0379644105428581
742,4850,-2.00585558499204,-0.226957994713843,-0.0680673038735839,3.0482692581548,0.724579433119581,-0.0264996764639533
901,11792,-2.38333961490158,-0.410611881201629,-0.17557996602147,2.0797140470922,0.429443103119195,0.0252151966472442
819,3237,-2.30936376426244,-0.201056495617731,-0.206071210886201,1.7435447789512,0.505439081952492,0.00310829951059898
471,5786,-2.12404050686189,-0.217644842159047,-0.209216140330804,1.99685201330347,0.417647350666053,0.0482649148561194
311,4524,-2.3926038376266,-0.334929724990068,-0.172062772742552,2.15038532644176,0.571300152015789,0.0974797175462655
313,17288,-1.67665054278404,-0.249886601130529,-0.249332409724547,1.95046626264837,0.427751748237346,0.0360894771388961
838,10931,-3.33999142518897,-0.26448939375624,-0.168266689202911,3.62728243435001,0.466049162663663,-0.0102218898899024
222,19508,-4.77234633909914,-0.0533758032699453,-1.92647217696624e-05,16.1354302239897,2.0799593982264,-0.0720205626965947
132,33898,-1.16659149752369,-0.439167795065262,-0.0767471829531217,1.27320959658296,0.750888860738261,-0.00563505187443588
922,5336,-1.86220839267588,-0.194866838734748,-0.0772395342435716,2.85090563689066,0.484173450766681,-0.0622959584747389
107,5675,-1.81785497763094,-0.386298714138908,-0.0608435783311449,1.79262602047852,0.829269814821867,0.0239830055917673
555,5381,-2.586713197798,-0.122906736433367,-0.0791172111479377,4.22934098880632,0.489100238822344,-0.0394970706441776
500,5179,-4.36329412608685,-0.193189291263074,-0.0854489702921532,4.766772671916,0.574961149661893,0.112542099287337
931,18891,-2.32370988672034,-0.129615486200929,-0.243578663820144,3.38137210080665,0.419299013617134,0.0194269247523459
826,10082,-3.58781460554786,-0.0810295171395503,-0.0140191962430052,7.35961014930422,0.913013423915258,-0.0800705813683666
407,30100,-3.77764546582698,-0.0269396060079038,-0.0173940892062438,20.8663568419374,0.867589105872359,-0.024429122096937
682,5597,-2.24355807253123,-0.226931639665409,-0.231447289295936,2.88561695724224,0.41129068478291,0.0375015135172286
541,55869,-2.89777767143224,-0.195352329066043,-0.0424889973939197,3.5150891143319,0.749009304625912,-0.0435054095110826
402,16785,-2.59642658060392,-0.0697531226477562,-0.0339224928494266,5.50891524327622,0.782131490161594,-0.0227928729020826
813,8267,-1.54991974722731,-0.138689659506907,-0.0293944131751756,2.4529399231938,0.904766620599859,-0.0216420877375284
373,4129,-1.34273953497371,-0.362759185730817,-0.119349311627524,1.532742732255,0.611899586240393,0.00531125710226183
462,16195,-2.91663648927798,-0.173721769505985,-0.0791458019861661,4.09716083828231,0.586701600796945,0.0287008365550291
806,34340,-2.77418973473512,-0.0539679307284254,-0.0349331583763508,8.37822466607202,0.789275882545093,-0.0398529226916388
641,7636,-3.20027505537526,-0.129830192441368,-0.0467000270835681,5.03783627083294,0.683484361506515,0.00489732315119498
651,3922,-1.33216607076408,-0.290062902721496,-0.133071803584579,1.36037280274124,0.626977487444069,0.0648435927360979
833,100703,-2.71302949718229,-0.0366167999485082,-0.0163122631865716,10.9033026831429,0.894765522590683,-0.0394938802330074
318,246571,-2.99056893820805,-0.222663681487313,-0.0414667901596826,3.06344716422469,0.810435366035588,0.0420465860012926
317,11295,-3.14162749352253,-0.0543177334114301,-0.0223746591751203,11.2688844071682,0.754832075046635,-0.0340691080151876
408,20140,-3.01538607084311,-0.196623091937735,-0.0602299394020506,2.86237004038642,0.762182576132874,0.00394760102249614
