SPCD,n,B0,B1,B2,B3,B4,B5
611,172107,-2.80890619540055,-0.281525339848191,-0.0779676607228539,2.2796733289029,0.700344165579732,0.0273326550352743
835,69973,-3.73230416909304,-0.229228653889306,-0.0464050635838158,2.59952806765261,0.836021981416636,0.0513943411463031
531,101138,-2.42085361923908,-0.221457349776542,-0.070703008244558,2.62285831056038,0.664666119435776,-0.0098797462116829
521,7689,-4.20365769652894,-0.335660101035227,-0.0801924219207104,2.15174275621624,0.62695061223185,0.0712669029624801
491,20085,-2.81253940028837,-0.763372190103916,-0.384305936908029,0.906494555524315,0.405768572733311,0.0623383097889409
812,32720,-2.61336100892914,-0.154115449350221,-0.0498580027059463,2.40717012141489,0.798055985052118,0.038185702087548
591,18714,-3.78829194308603,-0.380880604096364,-0.262620925403095,1.81492384448385,0.354522062700878,0.0598957813582276
827,66191,-3.84613779124655,-0.0930026222719337,-0.058363832216854,4.14587532120521,0.737526901539835,0.0967010281575082
131,533000,-1.22769940244138,-0.317829159964088,-0.0495378830731732,1.1718090064328,0.839046764571968,0.0411194454705224
802,161619,-2.98555974626425,-0.153466394347485,-0.0274416412403564,2.77789194668023,0.923444334247388,0.0345844129214775
693,65420,-4.04401453154603,-0.213972531633179,-0.129936983784721,2.47942925947724,0.579001930169603,0.0773483951086105
121,28719,-1.01138343123491,-0.6294933224782,-0.100595374501782,1.19571951356419,0.703868969567907,0.0126101843377978
653,18331,-3.81274044994378,-0.114542208544795,-0.0363861055061574,3.77722775557348,0.759775686459135,0.0625060581582904
316,449240,-3.79478416751492,-0.182689820949496,-0.0627881175893262,3.5989924038598,0.702248607005778,0.0496912032805779
221,13770,-2.77220963231552,-0.287535810479604,-0.0293060471844383,2.62946701930781,0.788353354396484,0.01338751324167
972,48713,-2.16132384079423,-0.115653978288274,-0.119695847146777,4.84521330542179,0.543368404317203,-0.0228186577033735
951,46665,-4.63389046252537,-0.21786004019328,-0.0329041804000069,2.80176453825201,0.796965187781134,0.117520703767368
111,82842,-0.430067432431666,-0.469833084349489,-0.0517067218007093,1.22374475180985,0.840879677959191,-0.0164854290887721
721,4617,-3.582463585618,-0.223716334223111,-0.402065206805456,2.6799875441613,0.352115467804352,0.0730984917484471
824,8149,-2.86912980414985,-0.20292815743409,-0.147071663084217,1.67091594184516,0.601807398489778,0.0453421045373379
621,104543,-2.57563972207588,-0.247767051347396,-0.0390095092892873,1.89093588669838,0.827517080072717,0.0564056364131106
694,46944,-5.24585822217172,-0.0874093904124312,-0.0352628773313562,5.50501123350161,0.718470262632697,0.105416856630885
110,61065,-2.66531751949363,-0.47697251641622,-0.0279367026584657,1.05566369612234,0.999995176311404,0.104313023513541
820,25195,-2.97009072643724,-0.0296595243958334,-0.0853028933298993,11.7819753346076,0.597513831674454,0.0360198315836199
409,45119,-2.42645675144505,-0.176393167598549,-0.0668361958526711,2.70122703404804,0.736607266304051,-0.0107003872628989
711,39842,-3.11908044275843,-0.176640019298378,-0.0382180125354463,2.75355203105998,0.721548782608121,0.0114087756420057
822,5287,-0.623645183446108,-0.235391531543042,-0.0473905216428677,1.83966281025617,0.830687348761735,-0.0470356423229816
691,13187,-1.15269371169203,-0.137350181081836,-0.00751100651809176,1.99889625508685,1.04964738180095,-0.0407160483876724
391,22576,-4.49233673124404,-0.172857015143168,-0.406961297571505,2.53118050505434,0.301186262258049,0.100736356007573
701,37795,-2.73368568905287,-0.412018462547224,-0.337186968339133,1.45420890166055,0.401653609964155,0.0202158104952832
762,74241,-3.54546806799908,-0.190285914130578,-0.0596332432592652,3.49553712456191,0.697337922863763,0.0466102360575271
837,61402,-2.71845539337409,-0.158596660159619,-0.0378029671370823,3.03758527260566,0.802947908367402,0.0191850821412577
731,9225,-2.48757538348289,-0.332536251726651,-0.0285697886142505,2.49281718219604,0.814343074123807,0.00528825001346981
