SPCD,n,B0,B1,B2,B3,B4,B5
611,172107,-2.30447969353955,-0.281525317490779,-0.0779675718072003,2.2796734168766,0.700344379405588,0.0323517749662268
835,69973,-2.77133887661097,-0.229228703869213,-0.0464050903207747,2.59952750041287,0.836021877775826,0.0437500985867657
531,101138,-2.57496000484921,-0.221456169917219,-0.0706987706860412,2.62287271477522,0.664676855603259,-0.0145829351410695
521,7689,-2.89164947672269,-0.335660197502313,-0.0801926857879177,2.15174210265206,0.626950018961402,0.0820820607343385
491,20085,-1.68292211424303,-0.763372892513573,-0.384309866549147,0.906493662506977,0.405766906026249,0.0655676439686675
812,32720,-1.91096360727182,-0.15411586852803,-0.0498536310252155,2.40717236576296,0.798074675308481,0.0444739852270126
591,18714,-2.70081400958199,-0.380880446244897,-0.262619964556979,1.81492461271457,0.354522624397019,0.0730260558821751
827,66191,-2.04706258121185,-0.0930026322299421,-0.0583582141218862,4.14584431175171,0.737545777692831,0.109955089830162
131,533000,-0.468403206403124,-0.317828043148839,-0.0495377875699442,1.17181740340775,0.839047604086438,0.0486913565571085
802,161619,-2.36711786422154,-0.153457533236392,-0.0274268498765646,2.77804928740198,0.923554100490685,0.0406874098989441
693,65420,-2.65050767471465,-0.21397257675441,-0.129937200767772,2.47942871845491,0.579001624376097,0.0948456516836401
121,28719,-0.781117615487388,-0.629493403825305,-0.100595356624676,1.19571941741562,0.703868980211286,0.0124826572485781
653,18331,-2.6477844874422,-0.114546510458926,-0.0363989448356981,3.77708625817283,0.759710056107168,0.0688447779204259
316,449240,-2.99289960422869,-0.18270559724225,-0.0628363565798713,3.59868359597631,0.702104990872117,0.0765642273849793
221,13770,-2.52198304830231,-0.287550435692115,-0.0293126204670172,2.62936428697925,0.788318931753756,0.0144975632932606
972,48713,-2.55766567863893,-0.115613422993525,-0.119512120338248,4.84688851704006,0.543649015680804,-0.0333574964903204
951,46665,-2.78496775276382,-0.217859747225115,-0.0329086156683976,2.80177534627237,0.796937824595645,0.139145460555777
111,82842,-0.727998460856898,-0.46983324838194,-0.0517066633256318,1.22374434307647,0.840879872989975,-0.0140327403981475
