SPCD,n,B0,B1,B2,B3,B4,B5,B6,B7,B8
12,191742,100,0.0300316118917691,2.7900034062191,0.202438357303184,0.00214361179004879,0.000103928833574242,-0.166817512351561,-0.023466980829852,-0.230194484959881
15,29324,215,0.0115861102306906,1.72264843427171,0.565509180646852,-0.00168041014657217,0.000186145411868878,0.3043970009604,0.0141222441291378,0.669804008644636
19,42828,146,0.008794505608107,1.47485782346127,0.776890653557005,-0.000840263753897896,9.01900881753953e-05,0.188953028567109,0.00833993445058934,0.274393904032589
71,37035,125,0.0163202624730926,2.1509469735343,0.360867604863501,8.40977075062937e-05,0.00031497301359607,-0.502006936329206,-0.0785297673693499,-0.685258855548239
95,70840,102,0.027891265922839,3.1640112078724,0.197489718143339,0.00182199547560466,0.000177117110412745,-0.653124572897919,-0.0864806772169538,-0.634395676627011
122,85374,233,0.0105947270735889,1.34572559620658,0.51808693595509,0.0011366837708149,7.94525104123906e-05,0.19290558219987,0.0320352778743371,0.0652302473887736
131,500054,162,0.022772397408862,1.67869691264136,0.214128421912834,0.000468934017358518,-1.00487216769676e-05,0.318414300801396,0.032616110014427,0.428649766113476
202,168070,303,0.0119417479782359,1.6549667832835,0.442759788513852,0.000835220568821369,0.000141655385863247,0.262965565213126,0.0372712340059556,0.358586133271228
242,15253,258,0.00889397393491988,1.58592907296005,0.53762922447921,0.00268535033318181,-4.42459013365231e-05,0.160351434418738,0.0328720754923024,-0.119587579614706
263,36932,257,0.0146843433580297,1.96937305661441,0.498729839771294,0.00074163678428449,0.000106557007417786,0.27495052466767,0.035824794875885,0.501320828569285
318,198803,166,0.016553211671384,2.09389411993468,0.218963293387835,0.00339667617792595,-2.58180261434419e-05,0.216286287109665,0.0374785137953954,-0.334438342200654
409,37272,145,0.00806454216623205,1.63679784851855,0.0160087231168855,0.00525652543031532,2.50399477760584e-05,0.26234369047696,0.0322352068806356,-0.505453911312211
541,45713,146,0.00620197024038791,1.46118799433416,0.161335849233455,0.00362532112115458,-3.9206481507254e-05,0.115911260480893,-0.00644421370387364,-0.666367694325705
691,10734,133,0.00446460648428153,1.3101027279062,0.0123448845089939,0.00252013715836314,-6.57543836217597e-05,0.0997422251976921,-0.0294075308703957,-0.588436064693071
693,55133,144,0.00744606781283135,1.55251007726502,0.0678731782021823,0.0047075845979505,3.17186640923372e-05,0.252233538031721,0.0335688471175739,-0.575396963021745
731,7382,160,0.0127413199724027,1.4675594696848,0.31360141638569,0.00238845750285581,-6.22081398939077e-06,0.219234451644937,0.0113781963417687,-0.21988623258705
805,9234,115,0.00414155846270871,1.34657693871653,0.0678580574961268,0.00256278544559525,4.25814645195212e-05,0.142599029327377,0.0421653074646143,-0.675148079919762
806,27924,152,0.0104748721722772,1.60504075947869,-0.0286061150256307,0.00420409568157569,1.59663190000971e-05,0.28708116882592,0.0438865678085686,-0.58243170455132
