SPCD,FORM,A,B,C,CWMAX,DBHMAX
10,2,4.4947,0.572,0,0,0
11,1,4,1.5,0,0,999.99
12,2,4.4947,0.572,0,0,0
15,1,6.188,1.0069,0,0,0
16,1,2.42123,0.803796,0.00265417,66,0
17,1,6.188,1.0069,0,0,0
18,1,4.71009,1.49874,0,0,0
19,1,4,1.5,0,0,0
20,1,3.0884,0.7871,0,0,0
21,1,3.0884,0.7871,0,0,0
22,1,3.6883,0.8627,0,0,0
41,1,4,1.65,0,0,0
42,1,4,1.65,0,0,0
43,2,5.3477,0.436,0,0,0
50,1,4.6198,1.8426,-0.01131,0,81.45
51,1,4.6198,1.8426,-0.01131,0,81.45
52,1,4.6198,1.8426,-0.01131,0,81.45
54,1,4.6198,1.8426,-0.01131,0,81.45
55,1,4.6198,1.8426,-0.01131,0,81.45
56,1,4.6198,1.8426,-0.01131,0,81.45
57,1,2.42123,0.803796,0.00265417,66,0
58,1,2.42123,0.803796,0.00265417,66,0
59,1,2.42123,0.803796,0.00265417,66,0
60,1,2.42123,0.803796,0.00265417,66,0
61,1,2.42123,0.803796,0.00265417,66,0
62,1,2.42123,0.803796,0.00265417,66,0
63,1,3.26749,1.42281,0,0,0
64,1,3.26749,1.42281,0,0,0
65,1,3.26749,1.42281,0,0,0
66,1,3.26749,1.42281,0,0,0
67,1,2.42123,0.803796,0.00265417,66,0
68,2,8.00515,0.408,0,0,0
69,1,3.26749,1.42281,0,0,0
70,1,2.42123,0.803796,0.00265417,66,0
71,1,2.42123,0.803796,0.00265417,66,0
72,1,3.48515,1.34258,0,0,0
73,1,3,1.37,0,0,0
81,1,3.2837,1.2031,-0.0071858,0,0
90,2,4.4947,0.572,0,0,0
91,1,5.057,1.1313,0,47,0
92,1,6.5,1.8,0,0,0
93,1,4,1.2,0,0,0
94,2,4.9212,0.496,0,0,0
95,2,1.75523,0.742,0,0,0
96,1,3.26749,1.42281,0,0,0
97,2,5.90544,0.461,0,0,0
98,1,6.5,1.8,0,0,81.45
101,1,3.26749,1.42281,0,0,0
102,1,3.26749,1.42281,0,0,0
103,1,6,0.6,0,0,0
104,1,4.6198,1.8426,-0.01131,0,81.45
105,2,4.06819,0.585,0,0,0
106,1,4.07906,1.49874,0,0,0
107,1,3.26749,1.42281,0,0,0
108,1,3.2095,1.2633,-0.0082873,0,0
109,1,4.6198,1.8426,-0.01131,0,81.45
110,1,8,1.5,0,45,0
111,1,8,1.5,0,50,0
112,1,4.6198,1.8426,-0.01131,0,81.45
113,1,3.26749,1.42281,0,0,0
114,1,3.26749,1.42281,0,0,0
115,1,8,1.5,0,45,0
116,1,5.303,0.9293,0,0,81.45
117,1,4.6601,1.0702,0,0,0
118,1,4.07906,1.2484,0,0,0
119,1,3.2095,1.2633,-0.0082873,0,81.45
120,1,4.6198,1.8426,-0.01131,0,81.45
121,1,8,1.5,0,50,0
122,1,3.4835,1.343,-0.0082544,0,81.45
123,1,3.26749,1.42281,0,0,0
124,1,6,0.6,0,0,0
125,2,4.06819,0.585,0,0,0
126,1,3.26749,1.42281,0,0,0
127,1,4.6198,1.8426,-0.01131,0,81.45
128,1,3.26749,1.42281,0,0,0
129,2,4.06819,0.585,0,0,0
130,1,3.26749,1.42281,0,0,0
131,1,2.42123,0.803796,0.00265417,66,0
132,1,3.26749,1.42281,0,0,0
133,1,3.26749,1.42281,0,0,0
134,1,4.07906,1.49874,0,0,0
135,1,4.6198,1.8426,-0.01131,0,81.45
136,1,2.42123,0.803796,0.00265417,66,0
137,1,4.6198,1.8426,-0.01131,0,81.45
140,1,2.42123,0.803796,0.00265417,66,0
141,1,2.42123,0.803796,0.00265417,66,0
142,1,3.26749,1.42281,0,0,0
143,1,4.07906,1.49874,0,0,0
201,1,4.6198,1.8426,-0.01131,0,81.45
202,1,4.7071,1.8917,-0.01132,0,81.45
211,1,3.08861,0.788148,0,0,0
212,1,6,0.6,0,0,0
221,2,5.3477,0.436,0,0,0
222,2,5.3477,0.436,0,0,0
231,1,4,1.65,0,0,999.99
241,2,5.3477,0.436,0,66,0
242,1,4,1.65,0,0,999.99
251,1,2,1.5,0,0,0
260,2,8.00515,0.408,0,0,0
261,2,8.00515,0.408,0,0,0
262,2,8.00515,0.408,0,0,0
263,1,4.5652,1.4147,0,0,999.99
264,1,6.71,0.421,0,0,0
300,1,4.0953,2.3849,-0.01163,0,102.53
303,1,4.0953,2.3849,-0.01163,0,102.53
310,1,8,1.5,0,0,0
311,1,8,1.5,0,0,0
312,1,3.0786,1.9242,0,0,102.53
313,1,4.07906,1.4189,0,0,0
314,1,8,1.5,0,0,0
315,1,4.07906,1.4189,0,0,0
316,2,7.11934,0.491,0,0,0
317,2,7.11934,0.491,0,0,0
318,1,8,1.5,0,0,0
319,1,4.07906,1.4189,0,0,0
320,1,8,1.5,0,0,0
321,1,4.07906,1.64853,0,0,0
322,1,3.36368,2.02589,0,0,0
323,1,8,1.5,0,0,0
330,2,7.11934,0.491,0,0,0
331,2,7.11934,0.491,0,0,0
332,1,4.07906,1.4189,0,0,0
333,1,2,1.5,0,0,0
334,2,7.11934,0.491,0,0,0
337,2,7.11934,0.491,0,0,0
341,1,4.07906,1.4189,0,0,0
345,1,4.07906,1.4189,0,0,0
351,1,8,1.53,0,0,0
352,1,8.00001,1.53,0,0,0
353,1,4.0953,2.3849,-0.01163,0,102.53
355,1,4.07906,1.4189,0,0,0
356,1,4.07906,1.4189,0,0,0
357,1,4.07906,1.4189,0,0,0
358,1,4.07906,1.4189,0,0,0
361,1,3.4299,1.3532,0,0,0
362,1,4.0953,2.3849,-0.01163,0,102.53
363,1,4.0953,2.3849,-0.01163,0,102.53
367,1,4.07906,1.4189,0,0,0
