SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,219432,46970,-2.486799280971,-0.325488044200837,-1.07777737956693,0.355375635767078,0.299670708164511
835,79955,9490,-2.64991357825413,-0.255502689244486,-2.78959466821855,0.827551505966523,0.277219199701009
531,116016,13843,-2.53214736692665,0.0995337561462756,-3.59926162902494,0.0458739849927467,0.344411090392741
521,10719,2983,-2.03395158856697,-0.281074922789498,-2.31166142530902,0.321865969901822,0.152805023267312
491,31113,10901,-2.15371321208755,0.0930701193363039,-2.58921896178594,0.415299574302644,0.109701606011381
812,41226,8522,-2.27351804457375,-0.266797312510885,-1.64485692541236,0.47039454061546,0.258207463715943
591,21839,3024,-2.98130749399357,-0.0995763020322828,-1.52491966365048,0.191899092851123,0.288109139539765
827,86913,20715,-2.388091477704,-0.174635595491787,-1.67299009406967,0.483535307338508,0.288078944082172
131,792467,262619,-1.92182932702522,-0.0724794446901095,-2.01633214597084,0.420175421650891,0.294216129769442
802,181770,18085,-2.98572966677249,-0.124138539119637,-2.89590351982287,0.749205974605552,0.3359161696952
693,74738,8787,-2.72327649432327,-0.470214099999414,-1.8625328153717,0.26869428848347,0.275968053586133
316,520533,65270,-2.46123087946402,-0.282732303764158,-3.20681368822291,0.492284699162709,0.273150876376003
653,22492,4083,-2.45750343808785,-0.332418182065519,-2.24429384371433,0.328846248940958,0.253346545002727
121,34229,5624,-2.97481049687134,-0.220410337286928,-0.607460724934428,0.414606717335428,0.389642288550227
221,15422,838,-3.83318994074665,-0.295296857956069,-1.91213372930471,0.510061403441516,0.399009112049733
972,64274,14689,-2.6968557464577,0.0800261260627069,-1.23351314604097,-0.234326772235061,0.215607137321729
951,53725,5294,-2.17693611795255,-0.340810744810935,-4.36239859187075,0.636307414166168,0.292927500344329
391,29603,6752,-2.37059885639832,0.0694429903299609,-2.82822935111021,0.31306679986957,0.227844963415874
111,130468,47846,-1.92437004963764,-0.131007638192351,-1.48106790136716,0.313048007331096,0.227395791374004
721,8068,3410,-1.88126373615871,-0.284378743751948,-0.507619224653299,0.0470810244235524,0.0909307719942029
824,11467,3272,-2.64379060133394,0.116787740313298,-1.9653634255078,0.72511072839234,0.270915552896397
762,91627,16471,-1.66820381003695,-0.555769301006134,-3.35661468160052,0.50313441727006,0.279580575117831
621,121824,16628,-2.1002450941481,-0.456946222550945,-2.71846452682263,0.503481477310302,0.256409939686659
694,54346,6558,-2.95178663912926,-0.366804566374061,-1.26120946156699,0.254805005920465,0.309950005504825
110,75259,14051,-2.33570045630152,-0.269261799245284,-1.91982865442308,0.481451388882478,0.367201716624635
403,48579,4658,-2.9735506405866,-0.267394233131482,-2.54247748192918,0.625088633940964,0.347614440106168
820,31939,6651,-2.49110898054809,-0.202814366455872,-1.56913407353334,0.44166568453605,0.308757348491312
409,51263,5638,-3.09640828160308,-0.160298882849027,-2.23747949441344,0.653737932477208,0.258280020531843
711,45982,5767,-2.10658306074772,-0.583280850811618,-3.37716136317914,0.373836654249174,0.175675939722545
931,26101,6907,-1.64347204404089,-0.480986953033167,-3.16186447152819,0.440246811423043,0.140796108389035
68,76674,8125,-2.77885635703709,-0.36753402548454,-2.20726287909895,0.661216024054574,0.209834499728113
373,5401,1227,-1.59315455418113,-0.336958694112582,-2.95459166973203,0.537247980919949,0.179003525087502
822,6002,668,-3.14055240327865,0.0111181771366756,-2.81844873059612,0.653356117925065,0.34425242785177
691,15726,1564,-3.09954751548326,-0.46060926808925,-1.66983064302717,0.51321531517318,0.451567371722036
701,45096,6887,-2.29781075411726,-0.0869782628699909,-3.42538716951415,0.277122536487298,0.250419162745637
837,74125,11793,-1.99380184310439,-0.262776043448953,-3.29068245663775,0.703631861118001,0.379519644332522
731,10790,1340,-2.0083253165084,-0.526670868175768,-2.56464196881727,0.617008407526543,0.348906580230064
994,8414,2926,-1.88552347231751,-0.283818183767031,-1.86360356670305,0.286533341845711,0.227882215460812
544,68488,12497,-2.20921666569987,-0.167450348024235,-3.0468622825305,0.285655695735806,0.288876817116668
971,44380,6614,-3.28713181364531,-0.0646260867333273,-1.20364702095027,0.37895500627588,0.268668471813547
461,15702,2891,-2.88296212826084,-0.0554648530970531,-1.8729177381963,0.432513208971681,0.265422024077994
831,16664,3268,-2.56754353684472,-0.11809214970102,-1.55133781208009,0.481347776885797,0.234127909536176
552,7579,1516,-2.07562440135554,-0.362528428503575,-1.93766383057877,0.661581050691188,0.240897586706405
602,19359,1581,-2.20592243245959,-0.35993621062377,-5.06898009367955,1.06272422696006,0.308217423694221
975,19704,4418,-2.07481468946194,-0.107542939784311,-2.52592809218857,-0.0311826519415368,0.172571073948319
742,6125,1122,-0.480492168013997,-0.815942175922104,-3.46117366175888,0.339888733893858,0.406641228333559
901,16651,4514,-0.968702567723246,-0.524919521848317,-4.36170128430942,0.441059935873175,0.164458625342333
471,9436,3563,-1.83485931537106,0.0197633098007515,-3.49762421616771,0.49677486872172,0.0651578993435121
311,5215,658,-2.91877279694328,-0.129717135004769,-2.53961781638981,0.628507084766919,0.250258888979548
922,9397,3937,-0.763851752514273,-0.447692053745031,-2.5998252755158,0.291548364478943,0.0395794580351944
313,22478,4831,-1.44628617554317,-0.303234033074105,-3.50695326902572,0.358075024113586,0.149298600081682
838,12728,1663,-3.29063454374278,-0.431755198308023,-0.838349781184748,0.970506615640157,0.705927578322782
222,21694,1681,-3.23775693412949,-0.495493383985764,-2.06719064290268,0.237008135702042,0.671253322282347
132,45811,11795,-2.0638804898067,-0.21928087086231,-2.26708138018205,0.5351105741391,0.2367945161115
107,8782,3100,-3.39778148622611,0.347474716731959,-0.180317646917456,0.680045071782317,0.223696304529934
555,7597,2207,-2.4436060128537,-0.227306915794486,-0.617415187668048,0.228521217410713,0.436153328471207
500,7435,2116,-1.89941736082735,-0.302891088817672,-2.68908624397934,0.368531888397559,0.137434479595356
826,10964,791,-2.19787065331969,-0.296424169853695,-5.5769422268282,0.599825473050476,0.298540401065087
407,32764,2209,-2.8500540948476,-0.229816181129961,-4.18733856099097,0.898026887534193,0.301640687998416
682,7066,1395,-1.60967938032477,-0.344824831250297,-3.78525612260357,0.363345703185287,0.121349077762714
541,70687,13984,-2.09284796547162,-0.0637393761156449,-3.82812545318874,0.389070636386361,0.252369579596107
813,10112,1821,-2.54467101324456,-0.160830242019573,-2.00916818879781,0.642430509670433,0.355297924301176
402,18814,1795,-2.6039565433347,-0.121479942548143,-4.34966734689933,0.662725478011511,0.239994183894723
462,18039,1606,-2.68216461190561,-0.270597608104472,-3.56263235030199,0.446588264374606,0.184263147933313
806,40340,5676,-2.65660930586376,-0.00209161227229509,-3.42345026857438,0.941889121305759,0.332853022715652
641,8794,988,-1.56741276697959,-0.757150703596037,-3.24199105761367,0.36322014530226,0.283835390200591
833,114106,10957,-2.81032817124041,-0.157441993887888,-3.35220255081742,0.791613058267081,0.381535545830617
832,93305,7749,-2.71619697792783,-0.177460944402534,-4.25953863385326,0.786139013956702,0.380699706364824
318,276743,23981,-2.6895458133608,-0.188119885578629,-3.82775290638773,0.474569799407813,0.346956552849533
761,6487,2353,-1.23822130462221,-0.167835369459693,-3.89181000967266,0.286685962508177,0.202863071067668
356,10602,1964,-1.6128482374847,-0.500797957403795,-4.60021776144756,0.183304358888845,0.233866117892629
317,13237,1571,-1.91242812130316,-0.407842924779775,-3.67266916209036,0.566961133873528,0.291502361480433
408,22594,2340,-3.02275727882678,-0.142136443520247,-2.38222192846576,0.621914671068393,0.335958738343758
341,4931,1152,-2.14526462537405,-0.266983370370041,-2.79692929203273,0.516111635428162,0.255459622023927
261,93760,7802,-2.76073892060678,-0.0504828042340392,-3.40862145624418,0.209449851834071,0.350892992374181
372,41283,3626,-1.79493699696373,-0.656175550445587,-4.57451648219226,0.447764094898738,0.290342413400523
743,44464,8071,-1.55089758089859,-0.357284427953757,-4.5322454793651,0.545798934127189,0.407741448423259
912,7735,484,-3.13312714274363,-0.549689316740458,0.505950635838822,-0.324363853150254,0.164093221604647
128,7430,1573,-2.91904552166617,-0.107745551764029,-1.27483911247871,0.899398651467682,0.446530177733471
126,13272,1159,-2.61383648544795,-0.286067122450913,-4.06858735715817,0.653621942141114,0.45194916429512
315,18004,5517,-1.51100458214651,0.210061634084708,-4.22846250827739,0.258091908384937,0.100267407427124
129,95816,10679,-2.13649211426908,-0.457987133910255,-3.04893208026548,0.498959109677123,0.351565151073338
319,6025,2723,-1.16053522582753,-0.24274680418387,-2.8215840646847,0.0860090939127966,0.111486372768212
371,70462,6959,-2.27409242135983,-0.209629384713083,-3.97643724633566,0.246162585880406,0.343001813077261
202,206875,32067,-2.19330107264886,-0.531606098533404,-1.80037508546678,-0.00131988202666819,0.737991780716345
242,17923,1989,-2.53059347679667,-0.606430112742859,-1.31259945464078,-0.241904160416237,0.914997150659359
73,12068,1912,-2.04375179117473,-0.729147151928194,-1.96623665702081,0.294549048162343,0.660548843427684
746,250322,61093,-1.30602489867669,-0.428242250770273,-3.75405404406694,-0.00915830824874869,0.209160250567137
263,45810,7670,-1.38170262834131,-0.726525716463052,-2.14111645221668,-0.313768719232407,0.764427296098341
17,32312,6586,-2.09840967256977,-0.35112743846573,-1.80770943359312,-0.354602543928522,0.776823999835545
375,105253,19757,-1.75667330105706,-0.0834605986949622,-4.67281528763552,0.282791249056456,0.254557720592068
19,54815,10769,-2.45530103447505,0.115457822869241,-2.75628540445915,-0.251166989652889,0.535948705638577
93,45454,8969,-3.01922961710553,0.020071623772915,-1.48673080794326,-0.432618127703948,0.825164058270146
122,105737,16772,-2.38823106124369,-0.418508603728688,-1.67320450120039,0.00658873924800939,0.564507277063531
108,110778,27513,-3.72697112875259,0.246788511722849,-1.16974006137406,-0.0607249778557616,0.800467171729582
101,8587,2321,-3.41374114440727,0.431732633805451,-2.15912041798563,-0.147701072645638,0.641151226760896
264,14580,1187,-2.65500643818519,-0.363699046370023,-2.83639137643562,-0.0619325488781636,0.685631964664765
351,10140,3190,-1.38530542097897,-0.60938663139873,-2.556551455158,0.369403153703568,0.568334997241816
475,6648,521,-1.82401019854131,-0.47977902428825,-5.38557892873776,0.745168095356376,0.702670271662126
64,7711,648,-3.39035495738047,-0.351406123883708,-1.22640767647139,0.245419460950287,0.572191076957254
65,56895,1229,-2.9937341315248,-0.87958138020163,-1.70068002943739,-1.15809067697412,0.559869959332641
66,10527,594,-3.29660256646092,-0.628336022582472,-1.05899751863465,-0.251728967573632,0.651911685129753
133,23129,1606,-3.55124663243374,0.0914694892061745,-2.3735535582261,-0.0452328802626079,0.337644900477807
543,66500,6439,-2.83274237712266,-0.197008025680899,-3.4895733779772,0.56049859741593,0.398753068610955
