SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,221320,47613,-2.40930418712846,-0.355385536749705,-0.978526081734724,0.297587074388309,0.175362668156963
835,81207,9703,-2.80162470952768,-0.129172994843222,-2.98521264680197,0.856302474740803,-0.0744177232750878
531,120638,14267,-2.3638456216094,0.031039489916654,-3.65448169225443,-0.00455063203222399,0.191672442450433
521,11055,3090,-2.14603813144131,-0.260733589602742,-2.27460618083771,0.413455900282182,0.0584470344879046
491,32308,11348,-2.15644326194765,0.111711095423534,-2.67074527106672,0.420808313833305,-0.00646349435253028
812,41641,8647,-2.11830929823266,-0.31290847024862,-1.70222871147009,0.411759987813276,0.13587687657407
591,21932,3048,-2.86995935797679,-0.133556252799544,-1.61353816413774,0.16478057910405,0.145179976429669
827,87434,20883,-2.37721783045657,-0.179087677026229,-1.58797019954735,0.448730692079589,0.146698721826711
131,801017,266684,-1.85273430152433,-0.0969798863594134,-1.97405482300453,0.382990152420167,0.122301692378837
802,191929,18888,-2.84400208885816,-0.176860290652826,-2.98627126618098,0.738072227128461,0.146020025683166
693,75807,8936,-2.64869723556124,-0.477525288145573,-1.87851523653575,0.2400059177694,0.109171498756448
316,549466,69290,-2.29895398707294,-0.351675832990568,-3.19774254161231,0.378472180769372,0.179335390062989
653,22666,4130,-2.45786143119867,-0.334140050295116,-2.07822486589178,0.312802449763947,0.0846596275703031
121,34562,5741,-2.79685638185143,-0.231419460296877,-0.834870924499829,0.300069245199404,0.212963843716946
221,15507,846,-4.14544391947552,-0.0840251694801222,-2.10315641640132,0.638820776136664,-0.125454349026742
972,75635,21267,-2.87672066368375,0.212390945935576,-1.2901180936987,-0.141334477726478,-0.107410797757143
951,65406,6703,-2.11927493655589,-0.460475128683813,-3.79352382696366,0.452868512246524,0.215982413103619
391,30331,7045,-2.37875800003506,0.0713229963860823,-2.5908620471527,0.256797494918079,0.0974321381338767
111,132300,49244,-1.8054061722664,-0.145298701021736,-1.63302217527404,0.259041122303557,0.0582743622535984
721,8111,3424,-1.78335744047781,-0.278789549731535,-0.62431182185402,-0.0217127169473278,0.0398937251797984
824,11651,3329,-2.66012934097415,0.205306024075634,-2.28676142014585,0.715695619862736,-0.0393710602337647
762,96539,17604,-1.63840625717707,-0.578264406820292,-3.21705910670013,0.466789778177716,0.131248749983388
621,125710,17103,-2.01997892554151,-0.496095943857643,-2.62857981198891,0.438603318386022,0.160730665242891
694,54691,6634,-2.84062696493693,-0.352758778240214,-1.46649312167884,0.21807952263981,0.0292480071288998
110,75871,14209,-2.39287493216165,-0.178718543048691,-2.30148803047975,0.535679808728361,-0.144102502433856
403,50782,4885,-2.99239613298544,-0.241777051912982,-2.44066379959304,0.627990695937967,0.101083698222279
820,32134,6735,-2.5238570521958,-0.192475569144375,-1.33503327342731,0.370784631440285,0.0377938925197244
409,52669,5853,-2.91686907407991,-0.225613045361824,-2.22549346706752,0.527405528222967,0.0743894419454015
711,46737,5844,-1.92788237472531,-0.602618464270449,-3.66665411544921,0.304681979333774,0.0619968512386078
931,27752,7496,-1.66787973074853,-0.473246059024873,-3.01254488944635,0.426440282111763,0.0341345896668461
68,77732,8341,-2.72578848585237,-0.375230671244333,-2.14803732384575,0.610076433645746,-0.0624492722728702
373,5646,1307,-1.94454826165671,-0.242072289160454,-2.65927017207474,0.635788964270112,0.0540557006708588
822,6027,674,-3.05387506518384,-0.0385881976235382,-2.49873050757718,0.611359737025457,0.121899388304853
691,15807,1568,-2.35607355457431,-0.671753800051559,-1.57540810339724,0.241745126861894,0.179780584991484
701,47593,7609,-2.29150957640039,-0.104305473186908,-3.24303833083212,0.205604200055209,0.105890783348643
837,79197,12607,-2.04941828476359,-0.260289999921735,-3.12080180785352,0.693658699240951,0.134728673488435
731,11862,1466,-1.99841611979656,-0.550736102863776,-2.44112004503276,0.652091818127077,0.193101801090333
994,8515,2960,-1.95207686864031,-0.242827138674038,-1.88778934440026,0.304297757462889,0.146176425499749
544,73113,13436,-2.15351304363939,-0.22874954691924,-2.9237258758143,0.246240998865526,0.185441396213976
971,44600,6680,-3.25779028956917,-0.0820445746966814,-1.10847305969787,0.337649071683936,0.0751884389921266
461,15786,2947,-2.92430873686782,-0.0125006838815259,-1.72575696544674,0.400575989721501,0.0824803238783746
831,16722,3304,-2.67033218586477,-0.0849832731082917,-1.48711055981698,0.554416673077074,0.0554401563870792
552,8375,1720,-1.99707865052288,-0.417456339524881,-1.90248315223849,0.700856984062119,0.0802881241896927
602,21583,1848,-2.35112564520211,-0.359082823802643,-4.73261716548228,1.22560104826528,0.0777603022436368
975,21714,5266,-2.37646649541321,0.023047108241165,-2.43540363923713,0.106648833714734,0.0724033118660478
742,8645,1687,-1.07273098691603,-0.71747801667135,-2.46781842181624,0.579089798056364,0.216082319996689
901,17773,4802,-1.19619771940054,-0.462278719961594,-4.14267121301225,0.592532249061981,0.0327032727844581
471,9946,3804,-1.95085187450011,0.0677475240823826,-3.39044665447614,0.518378933711813,-0.0808205199801732
311,5235,670,-3.12869470716569,-0.026693763310224,-2.60699980807752,0.74261322906027,-0.0490782571316235
922,10349,4305,-0.906148894770405,-0.517227098358788,-1.97558243642776,0.406207131163773,0.0307697009621128
313,24737,5570,-1.57464512865191,-0.323145515645674,-3.21767394304767,0.41242369992675,0.0958346591590889
838,12817,1734,-2.80983960087924,-0.548064980663799,-1.38610287657535,0.823112577073379,0.197514614964932
222,21724,1689,-3.0019618933051,-0.457320780535392,-2.07221616960238,0.123487826275221,0.0122736619740348
132,46853,12047,-2.11786480412496,-0.136462049121326,-2.53254579884603,0.521394624284648,0.0332530314091841
107,9054,3366,-3.22527578486666,0.401953945219161,-0.882815611520137,0.631874279332298,0.390197994738444
555,7630,2229,-2.36274076181724,-0.210143078954502,-0.777747521125213,0.181921590402017,0.0732272716999018
500,7915,2330,-1.90286334757221,-0.310367028135691,-2.71107712865832,0.394340956100141,0.0605672324109116
826,11982,887,-2.67294529256841,-0.330220383854372,-4.13179289524716,0.801763373430813,0.127714922787032
407,35054,2480,-2.66903761878002,-0.298996631277525,-4.00773921288586,0.807079998993849,0.00421281741674195
682,7565,1598,-1.52928925429052,-0.301862487470002,-3.99782948377851,0.255765291892686,-0.0630491763624281
541,75100,14780,-2.01867766794775,-0.140637887079061,-3.6645289773943,0.331237560762777,0.217005435904596
813,10182,1838,-2.44545421000057,-0.209720193522774,-1.87700120215263,0.545447910019349,0.238213978297079
402,20159,2020,-2.54064195692018,-0.18330136838879,-4.02746562978037,0.588098044934294,0.10391810340617
462,20348,1985,-2.85057007190569,-0.264917109514282,-3.03246197014379,0.490407434657401,0.0109887132769055
806,41393,5807,-2.57058071998898,0.0184897656645438,-3.65237131616303,0.888775595489834,0.0741562369079565
641,9615,1196,-1.97256191705708,-0.526350150413135,-3.14168913213508,0.455299131467508,0.02975557532378
833,131666,13127,-2.33940504370539,-0.372292169922373,-3.02538414252229,0.493965349952769,0.204009201086868
832,96550,7959,-2.70135381891933,-0.14268322701723,-4.24482939084593,0.700557674904034,0.0908585247121097
318,314887,28458,-2.18800724679017,-0.405850898252072,-3.86248293272173,0.186799449367838,0.261175516303609
761,6624,2410,-1.24851104202417,-0.180094425449368,-3.83418499819825,0.331057431834911,0.084414524291349
356,10701,1974,-1.46977306625251,-0.544051611633821,-4.49455662282939,0.073361711479272,0.11992293989524
317,15693,1943,-2.03220529778212,-0.402426196536986,-3.4388120979792,0.489970431194535,0.201243366412267
408,22624,2351,-3.0260364025901,-0.103093594317685,-2.47651717347577,0.669350420231501,-0.021822646672374
341,5025,1174,-1.7070588369091,-0.376107265752785,-3.29254593110314,0.297888021542139,0.0858643948037092
261,100094,8285,-2.34995709664634,-0.196583465920349,-3.293812366176,-0.027985399159148,0.336292164912918
372,42140,3730,-1.86680184228276,-0.631784275426966,-4.13695490366445,0.361991754349279,0.100898685247429
743,53007,10032,-1.35605018877398,-0.532422959871614,-4.2031328171069,0.355705894661322,0.391743126450047
912,7736,484,-2.39583670891747,-0.850682594252957,0.43915935945073,-0.340149393359956,-0.254162708599894
128,7460,1587,-2.46303295780265,-0.22925331210294,-1.52368197472629,0.55426425684874,0.232408224205778
126,13451,1180,-2.78946689577473,-0.135350448003604,-4.3988986169997,0.89975892753705,-0.0621187739783906
315,18126,5572,-1.46055417530155,0.169969836066872,-4.22187455545437,0.201622001066381,0.131697671212819
