SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,220861,47536,-2.45881602894879,-0.317756528215922,-1.02188740930405,0.312871492363857,-0.132891538240285
835,80130,9584,-2.5690064647443,-0.190795094252165,-3.14377767983905,0.704964543190866,-0.259673896562293
531,116823,13919,-2.4275186888394,0.133417903947897,-3.87811470617203,0.0881606272644808,-0.0949147451872812
521,10765,2993,-2.06546217253224,-0.253178797128411,-2.38615168655289,0.336489310366098,-0.107130538178381
491,31322,10944,-2.03770958553989,0.101006323487893,-2.83595067016753,0.363525807058841,-0.120053152766853
812,41553,8634,-2.27506972567337,-0.220597060940215,-1.76099584845317,0.437898404082145,-0.154393410766316
591,21908,3048,-2.85970388244028,-0.0893998540170934,-1.70122353687888,0.151334994782494,-0.164437686349232
827,87432,20883,-2.38830395108981,-0.150238887673222,-1.69040127130953,0.466615406763382,-0.0252243071319126
131,800980,266680,-1.86036527310328,-0.0822704502303682,-2.02271349214777,0.394411019458826,-0.0192954693670501
802,183515,18345,-2.9240742524316,-0.0546034588135785,-3.28385255434538,0.70672157572636,-0.223208982492252
693,75407,8881,-2.71102169374414,-0.467681578356639,-1.80745829277493,0.209776615318902,-0.33895913187871
316,521341,65375,-2.53787061625078,-0.191710556707107,-3.29844522905959,0.433996226106961,-0.260446330969797
653,22665,4130,-2.54970612549703,-0.295298804352759,-2.07529668030724,0.348429268768484,-0.0224739265890851
121,34562,5741,-2.93629993809528,-0.119053993736593,-1.04573835251896,0.416568593393934,0.0373900776723404
221,15465,842,-3.69494265758353,-0.252734430830402,-2.22346965231413,0.463998340385798,0.141589815450958
972,63119,13938,-2.7588227683343,0.102407772627777,-1.31350514795851,-0.124702724675749,0.109651580583219
951,52677,5142,-2.25515126327681,-0.267650188183807,-4.35345432889827,0.628820796773284,0.00055822998185615
391,29581,6716,-2.28141615029859,0.0813360741315121,-2.85748833963188,0.239750305571883,-0.112349184899181
111,132300,49244,-1.81791823581317,-0.117439445658691,-1.79544278405694,0.301436135571781,0.0870025854630998
721,8111,3424,-1.95931700169822,-0.239121556132764,-0.555060609674882,0.0826035723769643,0.0461108097340318
824,11497,3276,-2.49665290531266,0.171069605450495,-2.50520468500454,0.649622721989798,-0.17529446200934
762,92002,16508,-1.72919702263876,-0.480257759414977,-3.4319040320204,0.483665540481472,-0.135802133464292
621,124573,17000,-2.17548547119641,-0.405694024130408,-2.71755735455179,0.460662722029379,-0.222025760920192
694,54685,6633,-2.8973217474985,-0.315256733122613,-1.6432430007523,0.257457338728932,0.0268487850249814
110,75527,14164,-2.24694518850508,-0.234867283645894,-2.32957201750068,0.415174211613057,-0.310353089867696
403,49316,4717,-2.99470333898341,-0.178910881721677,-2.73393257311807,0.591939160797809,-0.21530674462725
820,32134,6735,-2.56373603989119,-0.140476173455333,-1.46585643219007,0.407808031986601,0.123562955591604
409,51965,5734,-2.99242521229632,-0.158570156077446,-2.37027018700949,0.515936703305655,-0.295622406219217
711,46737,5844,-2.29019070299874,-0.458502041724031,-3.36031553093175,0.296768636064217,-0.372628288373273
931,26386,6992,-1.60841077540186,-0.468683874178999,-3.09101550700149,0.379336723195116,-0.109664555706358
68,76879,8233,-2.71707392620175,-0.363972767953206,-2.19133040961245,0.588044178565496,-0.140132801945004
373,5401,1230,-1.55183366493991,-0.317021262361758,-3.1682929324743,0.495950483528874,-0.0560644589601543
822,6008,669,-3.34747052871798,0.092696301670054,-2.65852858003466,0.781448035683073,0.0829449371139877
691,15771,1565,-2.491882795241,-0.638035884389797,-1.68700194985841,0.347762485884559,-0.0491543442094274
701,44776,6765,-2.26780699573925,-0.042401552468871,-3.5507756544792,0.252318820516605,-0.159068489809747
837,74380,11834,-2.10164842504078,-0.175034977119246,-3.30456337418052,0.637356893407495,-0.122631919778122
731,10810,1345,-2.12464644770587,-0.414432300944701,-2.82727784562903,0.600022956410944,-0.181329824175313
994,8515,2960,-1.92806311013249,-0.234653491011314,-1.89101819621617,0.288663860577869,0.0250817266419874
544,68228,12492,-2.26764563434605,-0.0996885318639792,-3.10163990549612,0.307548764533949,-0.00102612246579814
971,44477,6639,-3.1436757973918,-0.0999227215544985,-1.29593999079811,0.297656684089884,-0.172268386913555
461,15780,2945,-2.93835717229108,-0.0163434981965459,-1.76898514098526,0.445529760422031,-0.00253883356260684
831,16717,3303,-2.59151237935596,-0.0922808043541466,-1.52001048504879,0.484881242409838,-0.0435187274773315
552,7515,1511,-2.26472857481157,-0.287814441161863,-1.74374740247815,0.704020842115443,-0.187204782421839
602,19406,1600,-2.44682844246261,-0.203567389768864,-5.36165370835237,1.15777829485126,-0.0330463970083371
975,19727,4372,-2.12490942619725,-0.0637134677759,-2.75116984868975,0.0856005638105162,0.0733085742775529
742,5990,1111,-0.723424906111609,-0.622110231894717,-3.80321106474673,0.34681456278235,-0.190247348020598
901,17300,4680,-1.06744781188135,-0.459122511077447,-4.44170161582702,0.482191169809355,-0.000939320489574049
471,9472,3582,-1.65888717585084,-0.0260331195291614,-3.68269226065522,0.400931226714926,-0.0503543833725446
311,5235,670,-2.77521417768727,-0.138876528999727,-2.77049834599864,0.525087913174952,-0.321806753275856
922,9342,3915,-0.753692540368027,-0.48281749789998,-2.41235945173915,0.277517097781045,-0.0253051628932584
313,22354,4787,-1.41021314878678,-0.318615438784567,-3.45635577454692,0.32103816716324,-0.082702953021418
838,12817,1734,-2.51428947542845,-0.589475472864658,-1.6461446871994,0.54933934788604,-0.222588728025111
222,21724,1689,-2.82925087285415,-0.538651093940185,-2.06400507000165,0.0699823821596214,0.186612486255936
132,46650,11979,-2.12396077644806,-0.139549886258709,-2.50098073547884,0.48704287041197,-0.128862932314335
107,9054,3366,-3.29021554847773,0.489511387087435,-1.23510409530664,0.792514791899756,0.295893724216219
555,7630,2229,-2.4913600699176,-0.107689484365222,-0.872954284042856,0.218337966065208,0.105556021589375
