SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,221233,47600,-2.4770603828044,-0.30380324335891,-1.07356901449611,0.335088455299701,0.1436318472796
835,81207,9703,-2.62555426317726,-0.166396779024196,-3.30631812702502,0.747707782770687,0.274587132799763
531,120592,14265,-2.88432436676454,0.170118232579425,-3.45800689912971,0.292563719211498,-0.281030323437055
521,11055,3090,-2.05689453840174,-0.247900571525419,-2.51610271687615,0.339378028258441,0.129262335634738
491,32308,11348,-1.92124531866509,0.0267266531567977,-2.80916631123725,0.304656252103691,0.234887644885627
812,41641,8647,-2.30805285670074,-0.192136321783852,-1.91901724888308,0.492317359478813,0.197062528368162
591,21917,3046,-2.97727156572927,-0.127250229798715,-1.45112889712436,0.178926054510293,0.198195592818598
827,87422,20880,-2.3975121882453,-0.15316309594232,-1.62905532494976,0.46870917305317,0.025727316148311
131,800801,266631,-1.88402369095625,-0.0760095372255785,-2.0068111026969,0.401825479567878,0.0726675551244654
802,191918,18886,-2.90955960390213,-0.105095546541184,-3.16772662297224,0.684777335968474,0.216157548886758
693,75792,8936,-2.65294401284106,-0.494202732135251,-1.81712747673711,0.182985605372768,0.341698573957154
316,549408,69281,-2.43584633992598,-0.28468930797324,-3.18168701591042,0.376143020756651,0.207153087009639
653,22666,4130,-2.49014051598762,-0.296040828215699,-2.1667222106704,0.314437049653837,-0.0561855074328481
121,34551,5741,-2.88463846560823,-0.155698772430824,-1.01459803910283,0.416567776108119,-0.0679684704301909
221,15507,846,-3.78682367499922,-0.180183776376429,-2.55954032704044,0.482419967611728,-0.322495014788799
972,75634,21266,-2.87529850033411,0.214890055887432,-1.41006314877464,-0.0707209734330702,-0.239278903161973
951,65406,6703,-2.32996781715552,-0.419605910362565,-3.7271908235486,0.735802769706814,-0.00751739020633048
391,30330,7044,-2.34204776995168,0.0424127019326962,-2.6234245246078,0.238552370794211,0.0830318609283624
111,132299,49244,-1.77519198499324,-0.132919300490956,-1.82804528368694,0.288975410791744,-0.0987409695397431
721,8102,3421,-1.91585063658979,-0.261330580443188,-0.614152858319771,0.0967804690940759,0.193743887349055
824,11651,3329,-2.56164464071919,0.170012411354801,-2.27805442858228,0.665596993736576,0.149237974423562
762,96539,17604,-1.71060698136866,-0.52861264344086,-3.32478085736847,0.490991341163359,0.0721268117953524
621,125696,17102,-2.16710302976589,-0.401618548557554,-2.81336103874617,0.472955254602259,0.211794716995736
694,54663,6632,-2.83412079973634,-0.327423463492365,-1.73815912178551,0.258632654193484,-0.107377114144197
110,75871,14209,-2.27590833467298,-0.220304339509718,-2.3982876595168,0.430869031281179,0.332565369827676
403,50780,4885,-2.99949349164802,-0.151214117588236,-2.94521322703895,0.582908963769463,0.260932275492361
820,32126,6733,-2.53415187109787,-0.151149626265487,-1.50154168817641,0.397346852777419,-0.0932631066408351
409,52665,5852,-2.85354858946662,-0.179382451611208,-2.57222801065771,0.445324673599402,0.31003876759637
711,46737,5844,-2.13257085443449,-0.539678181657502,-3.44999097348954,0.337821571905554,0.250182599118732
931,27752,7496,-1.73176740026194,-0.41263712822729,-2.94584036830822,0.346373220742927,0.229374047289631
68,77725,8338,-2.75392222984445,-0.373583337665668,-2.08987394212917,0.571277586639558,0.21038478382945
373,5646,1307,-2.15386651138922,-0.152243073269485,-2.64313863399731,0.723506660263101,-0.00744801451342273
822,6027,674,-2.97400148694973,-0.0481942679204638,-2.61809090860691,0.614530176860497,0.0218927311415966
691,15807,1568,-2.78450118957076,-0.542764550972554,-1.55433160844411,0.415531308863482,0.0330067434526576
701,47593,7609,-2.40779605671823,-0.0822799725898912,-3.11614908559415,0.2653249278995,0.0935455444986524
837,79197,12607,-2.11627959554203,-0.214457150624971,-3.21054019819442,0.671833327424363,0.0841280825119991
731,11862,1466,-2.28967193759782,-0.403572370943544,-2.64935974814354,0.705391435927507,0.171284258847684
994,8515,2960,-2.04191634546884,-0.202815950467434,-1.83618522823992,0.351248199439156,-0.0558378613625432
544,73112,13436,-2.27948473877087,-0.166548265522124,-2.94580348062692,0.302613512544108,0.0589893839173532
971,44600,6680,-3.21305539723837,-0.0547243495850305,-1.33265394292958,0.322814056338664,0.170182575909825
461,15786,2947,-2.97394793289889,0.0397354056792836,-2.08224099619202,0.490347030067347,0.0536911745786013
