SPCD,n,deaths,b0,b_lnDBH,b_CR,b_CCH,b_driver
611,221320,47613,-2.50174143147415,-0.303240463081706,-0.988244449026324,0.335077045415288,
835,81207,9703,-2.77385680511196,-0.170551718769785,-2.85657823170284,0.872212680689357,
531,120638,14267,-2.58332476833015,0.115856763510417,-3.74040792716993,0.213860022533098,
521,11055,3090,-2.11425373324206,-0.257679708031071,-2.26487154986422,0.357361893524912,
491,32308,11348,-2.19934112424451,0.134155777016188,-2.65407934502765,0.435721365829781,
812,41641,8647,-2.30031014179876,-0.231586673953126,-1.64531587876957,0.444374981018354,
591,21932,3048,-2.95713594275774,-0.106777744550121,-1.4512308802993,0.162479172457964,
827,87434,20883,-2.38208777986447,-0.150116039251461,-1.69168075128032,0.456126554196128,
131,801017,266684,-1.86775873002276,-0.0821920089516288,-2.00846862782766,0.399751801791564,
802,191929,18888,-3.02503050000248,-0.105342433544196,-2.90500082635019,0.797617232878284,
693,75807,8936,-2.66670383271483,-0.443918274590208,-1.92662233498212,0.231918994548744,
316,549466,69290,-2.49868963792189,-0.265147030819808,-3.22239902301695,0.510804318718803,
653,22666,4130,-2.51632640299391,-0.299615267583561,-2.05413211544438,0.331828379397951,
121,34562,5741,-2.92402364434322,-0.12733968030894,-1.1040822263041,0.436277074459758,
221,15507,846,-3.83940001291855,-0.197683645136336,-2.1377896378539,0.506291444705947,
972,75635,21267,-2.83263816749706,0.207196957188426,-1.22263141210757,-0.277405280820862,
951,65406,6703,-2.31167969501334,-0.418640691770353,-3.73543238832233,0.705330221759804,
391,30331,7045,-2.3494187283543,0.105968624320537,-2.76486742666592,0.247079492159987,
111,132300,49244,-1.91300506677711,-0.100113601579903,-1.58069362919795,0.316838253338002,
721,8111,3424,-1.94964481508805,-0.276036081438617,-0.344117166855138,0.0368235992854874,
824,11651,3329,-2.61326727955437,0.165623089244184,-2.18741790897035,0.663831109600779,
762,96539,17604,-1.78270972483325,-0.515683724056398,-3.22603568462573,0.541268252258387,
621,125710,17103,-2.14376176172309,-0.43183607591706,-2.67391070425948,0.503788330232843,
694,54691,6634,-2.97184351666213,-0.287761480403814,-1.47517722527867,0.24825720912771,
110,75871,14209,-2.26798401491691,-0.233467810536895,-2.22665250197562,0.464200543371091,
403,50782,4885,-2.98838970401732,-0.216506031461666,-2.63131407437205,0.654957664120719,
820,32134,6735,-2.54980057965803,-0.161108685051309,-1.43576159831956,0.41431590860327,
409,52669,5853,-2.96723258257647,-0.204717140934584,-2.20638361114677,0.571348100339692,
711,46737,5844,-2.00908551206811,-0.581000533187913,-3.48864460452011,0.328735220078307,
931,27752,7496,-1.69947234733401,-0.458138370623661,-3.03816533886301,0.455213936129655,
68,77732,8341,-2.70577853383225,-0.381829848511844,-2.19962842195202,0.629989644494004,
373,5646,1307,-1.90658569499506,-0.245177172448593,-2.63451077969563,0.595816647339188,
822,6027,674,-2.99910985440259,-0.0215617948442249,-2.72492684095387,0.651719938603456,
691,15807,1568,-2.59937174348031,-0.566179069574536,-1.80945572667539,0.353242586533487,
701,47593,7609,-2.37756060601289,-0.08986161635174,-3.25049041840076,0.30779969771073,
837,79197,12607,-2.08255349133562,-0.225805651826935,-3.22077980066221,0.676552540329005,
731,11862,1466,-2.13446249828866,-0.470273601841231,-2.72965956555052,0.802077946700221,
994,8515,2960,-1.91968678058656,-0.226787828034334,-1.949318044382,0.295348171915666,
544,73113,13436,-2.27013758746443,-0.169503323693637,-2.98473175882679,0.329901627953972,
971,44600,6680,-3.21747007086429,-0.0505152980401729,-1.26848991944373,0.350114176168053,
461,15786,2947,-2.95367547420762,0.0261578701033464,-1.92686517346684,0.44021672071761,
831,16722,3304,-2.68884170280654,-0.0691084324768102,-1.51570856613528,0.560358396660385,
552,8375,1720,-1.92981007752575,-0.424455563618829,-2.00062920368233,0.672008951354478,
602,21583,1848,-2.19231466029321,-0.386336040125634,-5.09648064339548,1.16538561467939,
975,21714,5266,-2.3427985595595,0.0168882843786223,-2.50026697694481,0.0846539287645896,
742,8645,1687,-1.04151201286745,-0.673803541841379,-2.88081042302172,0.732651412288463,
901,17773,4802,-1.21169158179514,-0.443623927271278,-4.20145899395651,0.554444532152869,
471,9946,3804,-1.96188779789147,0.0689798354006416,-3.29701266312231,0.516211570911317,
311,5235,670,-2.98559937993805,-0.116954621036513,-2.58231003193645,0.713968813743456,
922,10349,4305,-0.873807596048383,-0.536334680351204,-1.93182634389453,0.368422925299029,
313,24737,5570,-1.64427949099238,-0.282680427721623,-3.24569958241945,0.451065323958771,
838,12817,1734,-2.97766417101585,-0.428599151747077,-1.4607308931494,0.802749576568837,
222,21724,1689,-3.22380167579397,-0.369411574433816,-1.82951041259971,0.154807512166022,
132,46853,12047,-2.15510899914741,-0.134613104099286,-2.45606388239596,0.50949445161675,
107,9054,3366,-3.38522322531628,0.445013308064505,-0.566705177246486,0.720105253960613,
555,7630,2229,-2.42762639774846,-0.157123412175399,-0.821896850727776,0.231014286341032,
500,7915,2330,-1.94715280563783,-0.257937092736697,-2.63014836766241,0.397326568799237,
826,11982,887,-2.3909327358902,-0.355207692885585,-4.72446537649496,0.707243463172919,
407,35054,2480,-2.77732110088998,-0.240820138154741,-3.97864219892536,0.783319149013899,
682,7565,1598,-1.60107336580988,-0.363937905885535,-3.66606300897388,0.354854360585802,
541,75100,14780,-2.23399878863198,-0.0235383796045155,-3.8265109902125,0.510969892733661,
813,10182,1838,-2.78100452884978,-0.0613019259104844,-1.88417600357274,0.704561092198551,
402,20159,2020,-2.49449651943593,-0.226537917602214,-4.03655243728587,0.591890009657446,
462,20348,1985,-2.81485649841574,-0.254400087944625,-3.0621759377238,0.45383213412737,
806,41393,5807,-2.84631341931318,0.12766050487149,-3.58655673742939,0.980245404220714,
641,9615,1196,-2.06538002707322,-0.527328574973906,-3.01198743064037,0.581660291551127,
833,131666,13127,-2.60001041914091,-0.256198414609123,-3.20901066369626,0.729654042523,
832,96550,7959,-2.63178680911057,-0.127170378779166,-4.60446112307586,0.735872766959999,
318,314887,28458,-2.61581758971543,-0.282385807414426,-3.70148110525572,0.544141881721686,
761,6624,2410,-1.4231869131742,-0.120513116028534,-3.75041002465635,0.457485041787224,
356,10701,1974,-1.59817622547214,-0.482607213114276,-4.53805428854459,0.167656918289416,
317,15693,1943,-2.31364517142415,-0.327380392239163,-3.12401638243991,0.65083921539391,
408,22624,2351,-2.95425460338434,-0.132227989203554,-2.39452385656684,0.580358489411848,
341,5025,1174,-1.96060012336328,-0.318168775863161,-3.0850610310013,0.501745116695667,
261,100094,8285,-2.80618946604718,-0.060588677722338,-3.35368209222908,0.306554240908678,
372,42140,3730,-1.8611034956402,-0.612881450638522,-4.33021622544871,0.368200705538558,
743,53007,10032,-1.72147122633808,-0.404332986779205,-3.9958695349032,0.687045357128338,
912,7736,484,-2.64687390733931,-0.770251281725599,0.564964105623639,-0.317131042457321,
128,7460,1587,-2.70479971502643,-0.105897590445867,-1.65059685057811,0.831913128086186,
126,13451,1180,-2.56234572801012,-0.234819064495694,-4.39928778699101,0.78205001155785,
315,18126,5572,-1.53757683740999,0.194347522432993,-4.18258515999428,0.286217983379967,
129,101750,11344,-2.12484257972194,-0.452181825332021,-3.11602146794007,0.561408245745242,
319,6414,2985,-1.22048306119592,-0.260449048101618,-2.70453120055676,0.0917407133479494,
371,77037,8255,-2.51480758525185,-0.128757837965543,-3.76402915950412,0.384544888389211,
202,213581,37608,-2.29964332883089,-0.346214752051634,-1.97928025917261,0.116395249066795,
242,18414,2444,-2.90113817177947,-0.324486586788879,-1.44280175498861,-0.0286563861818834,
73,12237,2074,-2.27268096709304,-0.403506823047641,-2.67348527557303,0.403274850559288,
746,303910,79584,-1.5361479214522,-0.400167217158714,-3.43324170946395,0.19853751892767,
263,47142,8796,-1.55720425292663,-0.467524962633087,-2.4883688369089,-0.299362461821606,
17,33294,7515,-2.54879179024775,-0.070375544597142,-1.91477274696091,-0.0530376571405456,
375,127094,25042,-2.31815810393029,0.000329911292337643,-3.8829892705652,0.535345093211819,
19,58284,14064,-2.62095366258685,0.208155001386024,-2.36283282084348,-0.0567077563481008,
93,47130,10321,-3.3724966424763,0.315371989260405,-1.74901269749571,-0.00557577003180709,
122,111423,19381,-2.75099921252672,-0.170001196524733,-1.83786907092254,0.322641663246016,
108,114598,30938,-3.71637240558247,0.44636203647016,-1.69770628081058,0.155477040466437,
101,8934,2658,-3.52158891093594,0.535467469954531,-1.99961883800194,0.0384230363390685,
264,14844,1451,-2.53441542004846,-0.268019695395809,-2.61586096185625,-0.117722584007224,
351,10582,3479,-2.10272075529393,-0.245902556844063,-2.68976113170947,0.584899460710109,
475,6945,789,-3.67543982327742,0.18338986677752,-2.95713991831409,1.03876431367882,
64,7818,755,-3.4021894714701,-0.33287275694067,-0.940193187428357,0.459740173253639,
