SPCD,n,b0,b1,b2,b3,b4,b5
11,23669,2.35211219836577,-0.778649593905882,-0.303574594065149,0.0353499509329301,1.76160723574997,0.0504046143454141
12,285032,2.33788421171734,-0.858827464836297,-0.34209339933322,0.215819640572951,0.895886401258792,-0.0652935448928712
15,39608,2.44974167743674,-0.152235731410166,-0.800002158977726,-0.642293530741644,0.17562971232497,-0.147298466908542
17,33294,1.69012963123892,-0.554103057665704,-0.357545056492239,0.172200510833089,1.55125801377924,0.117058096581407
19,58284,4.32263774700388,-3.26550436301479,-0.0994575614160066,0.29018157422675,1.20503185915847,0.140190236803701
20,7163,1.5864590939392,-0.112139030090144,-0.768197725951917,-0.146413714431315,0.0197347637183512,0.0406229751108726
68,77733,1.66400104116759,-0.295692098597131,-0.57690153225203,-0.0286048296708294,1.77170832177364,0.144065819876315
71,54523,2.61311376367798,-0.230926904375522,-0.631896572018778,-0.682450910125748,0.160002874235824,-0.273855791627271
73,12237,1.9192469970262,-0.129343551347633,-0.687583210526015,-0.420763649989201,0.210144483868319,0.00785245755554476
81,11529,1.25575256970745,-0.0258141151360979,-1.16989839285439,-0.0250266778410232,0.000746003423462596,0.0858390591999314
93,47130,2.11522531096138,-0.0398146078400342,-1.31319949908329,-0.429812325411678,0.000796886264773481,-0.135902126537483
94,36617,3.09013959768382,-1.03923013666629,-0.319357095531789,-0.422636691249587,0.0649654422891222,-0.0774084930987923
95,105689,2.18015403871808,-0.214526434157088,-0.614420699598051,-0.355688405428199,0.0106285256103665,-0.113926260896008
97,82784,2.09937772129927,-0.863077299495146,-0.333484439342456,0.548719911179749,-0.0611826502974956,-0.0713494462156696
101,8934,2.05791548768357,-0.304199667666834,-0.39597346552577,-0.0832777836452354,0.000570357961605833,-0.163263399589213
105,43235,1.46377554789506,-0.158320547033053,-0.786463019656222,0.23138171088575,1.42067242006438,0.0532885568870278
108,114598,2.75452487632333,-1.39393388044056,-0.120121539588881,0.170126578776628,1.36142558680764,0.00570940378927788
110,75871,1.76895556438373,-0.0328771352076286,-1.2568929674143,-0.504196382543645,0.172871219780067,-0.0269869249754097
111,132300,1.29105695008761,-0.00504988207005805,-1.68349523287194,-0.365094233027938,0.178351647781939,-0.0381940802543616
116,6680,1.4641185102125,-0.182126969329738,-0.681270167076134,0.202838415702968,0.901593616071513,0.0907175719664281
121,34562,1.55816713467371,-0.00778951805495563,-1.579361110953,-0.354013980421164,0.221845401153002,-0.029631054271322
122,111423,1.61153250619116,-0.318618963513343,-0.453560710204215,0.0743278297729058,1.51969123535825,0.0904527077476007
125,76918,1.89514730463557,-0.155553150617981,-0.814024920562568,-0.455428309243867,0.254287737287165,0.0394712774629179
129,101754,2.2053193380401,-0.1543072602711,-0.763270879124068,-0.66756514160144,0.143059953700027,0.0110607923073436
131,801017,1.53957793491974,-0.0289408512687685,-1.2522229217481,-0.536571229448982,0.368883860324743,-0.102866766986971
132,46853,1.39143607135827,-0.0422171794730659,-1.13911710861366,-0.287867693353928,0.304025729666941,0.0394233173400883
202,213581,1.47603917920932,-0.0536959974562665,-0.963716365784099,-0.13837866402888,0.130231982940947,0.0616005979386313
211,6315,5.80764994080994,-0.0735439032845868,-0.826034545473707,-4.13704130267012,0.0149545345965746,-0.0343177348719376
241,181338,2.45006544459247,-0.62148263854663,-0.334634819652618,-0.0264538218181873,1.1264381567494,0.0187203374659725
242,18414,2.03219578986795,-0.807744524604873,-0.234559086188337,0.1028208907708,1.30645699463808,0.13938665156395
261,100095,2.33691077796609,-0.345414764226064,-0.617170742892826,-0.295987746358812,0.0412584430510971,-0.0153838690689662
263,47142,1.6877234291225,-0.359356983728333,-0.480571176702831,0.0290615700044843,1.86522561268558,0.0961769933811205
264,14844,1.47925263274273,-0.174420980577072,-0.648767899011197,0.0922403023517453,1.55753540788114,0.116045249867655
313,24737,1.62398552786163,-0.492746447308889,-0.440379170947499,0.118129132768805,1.21308992305913,0.155526471247007
315,18126,1.60615286381527,-0.148491443880374,-0.900418689842777,-0.1728939314262,0.000622720585957617,-0.0515419786651486
316,549467,2.51336472657047,-0.494611394794107,-0.468679781612012,-0.551264955161886,0.126675027328501,0.055096958905354
317,15693,2.21288221656522,-0.204496704395151,-0.736766560751947,-0.627842686738646,0.0931365006262581,0.0129022512913136
318,314887,2.78626268630622,-0.743341774193194,-0.414275245529174,-0.386639949626802,0.105409784348212,0.0505497880823935
351,10582,1.80409240618262,-0.324540463634249,-0.492840176554006,-0.278578633263845,0.101425615234494,0.0906386790365685
356,10701,1.8837953042634,-0.161780049637006,-0.700574070047964,-0.441087449160421,0.000721381514658181,0.144223463281345
371,77037,2.63640393761133,-0.72894762950542,-0.433652340828832,-0.168443530333602,0.196861421952215,0.00996866071074658
372,42140,1.56900722286746,-0.130723781937158,-0.764608578136552,-0.11316004502052,0.0185385760018829,0.16181810278855
375,127094,2.09218395239913,-0.391209784754829,-0.581955827432256,-0.138774646975782,0.101405869086121,0.0107949736923159
391,30331,1.19900847113022,-0.790488803052105,-0.340435245862431,1.08363325439738,0.407855833576347,0.0880739482626742
402,20159,4.70387173163518,-3.4072540037987,-0.119598297069029,0.546300267339783,0.932846527733286,0.228205647905084
403,50782,2.1791348630961,-0.308549757205455,-0.619168667946199,-0.347194186350269,0.159178487223621,0.0432538861989151
407,35054,-23.3425047632152,25.5978126847753,0.0179347063202121,-0.480388851160917,0.126802686261926,0.0225372436302126
408,22624,1.61028406255917,-0.269672192110835,-0.647234391550483,0.110400711820862,1.60219868615396,0.130348319067085
409,52669,2.11144288444995,-0.318220939962659,-0.575523852926149,-0.335861563526737,0.0442998373653116,0.0689031433498177
462,20348,2.03005517284328,-0.342930480987093,-0.548292116035776,-0.0997891633968313,0.0554371968656121,0.0646435260859415
491,32308,0.43665983010884,-0.652329089448395,-0.388965265152924,1.43813434116065,0.433725047958185,0.204733838204399
531,120639,5.62619518916754,-3.9322912260646,-0.113847176077893,0.0705513964945535,2.34810220712824,0.0329658337787056
541,75100,2.03151691743695,-0.195939529904983,-0.631673336147059,-0.487638504916276,0.0767389718255413,-0.0193367637692695
543,77769,1.89666894023829,-0.211333130871308,-0.615062344558188,-0.275281716835857,0.0398855313233531,0.0905177840378423
544,73113,1.9649568653344,-0.390889818767958,-0.436314320337906,-0.229253295622434,0.0285235122643462,0.0630204031775061
591,21932,4.68788242132875,-4.00542590298302,-0.103496573219046,0.545621740071439,0.935396965518273,0.284273966847901
602,21583,3.21686389986556,-1.18553466091971,-0.266091173137081,-0.409349023621335,0.244597317254073,0.0419234359309765
611,221320,1.72676135222526,-0.109770952183876,-0.776303701684892,-0.524868307945705,0.0780761081489065,0.0918235226310039
621,125710,2.47857635284061,-0.232040120225094,-0.634888091113901,-0.909049361697508,0.153278344665552,-0.0214030867653894
631,15413,1.67412033782209,-0.0477826129168163,-1.11255792659948,-0.328398189081005,0.000784373742781107,0.08038385306914
653,22666,1.34681853301145,-0.144274074471076,-0.743155290326157,0.013092770202209,2.8663419237782,0.147340354065926
