fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,PW,119,6,98.3360280356443,-0.0306132741540001,1.39400847145559,conus_htdbh
2,LW,73,6,129.287605111401,-0.0562134070030147,1.15627303107274,conus_htdbh
3,FD,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,BG,17,5,5.19167461700587,-14.7149593606336,2.95428581083066,conus_htdbh
5,HW,263,5,5.39568773967056,-17.8041952551988,3.94162882514225,conus_htdbh
6,CW,242,2,6.4481516902473,-5.18899068589301,-0.318639253840949,conus_htdbh
7,PL,108,3,75.4722860888433,-0.162048795459456,1.45651682371468,conus_htdbh
8,SE,93,2,6.34153938530047,-5.38019071389928,-0.346288526148882,conus_htdbh
9,BL,19,5,4.86417179244512,-11.1689662425416,2.01282727686487,conus_htdbh
10,PY,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,EP,375,3,73.4146454771709,-0.125431847449098,0.874657743908028,conus_htdbh
12,AT,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
13,AC,747,6,171.1586435167,-0.0446347742231565,0.938044563028798,conus_htdbh
14,OC,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
15,OH,376,,,,,native_fallback
