fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,WP,119,6,98.3360280356443,-0.0306132741540001,1.39400847145559,conus_htdbh
2,WL,73,6,129.287605111401,-0.0562134070030147,1.15627303107274,conus_htdbh
3,DF,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,GF,17,5,5.19167461700587,-14.7149593606336,2.95428581083066,conus_htdbh
5,MH,264,5,5.12328719696338,-18.0764699777001,3.33556535116655,conus_htdbh
6,WJ,64,5,3.82901838244217,-8.06181114784646,2.20800080068743,conus_htdbh
7,LP,108,3,75.4722860888433,-0.162048795459456,1.45651682371468,conus_htdbh
8,ES,93,2,6.34153938530047,-5.38019071389928,-0.346288526148882,conus_htdbh
9,AF,19,5,4.86417179244512,-11.1689662425416,2.01282727686487,conus_htdbh
10,PP,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,WB,101,6,53.4613832350708,-0.0654514442528323,1.22439535158058,conus_htdbh
12,LM,113,6,45.4768303502727,-0.0846439902885189,1.09646932362652,conus_htdbh
13,PY,231,5,4.1592149589186,-12.8064670303966,4.14177286375702,conus_htdbh
14,YC,42,5,5.08513662250381,-16.7561216888539,3.42718396257443,conus_htdbh
15,AS,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
16,CW,747,6,171.1586435167,-0.0446347742231565,0.938044563028798,conus_htdbh
17,OS,299,,,,,native_fallback
18,OH,998,4,2.6502919183639,-0.559940419816323,,conus_htdbh
