fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,RC,68,2,5.99369538213628,-4.07649579140111,-0.239129684461209,conus_htdbh
2,JU,57,5,3.9608303704461,-11.9366135446312,7.25730989403742,conus_htdbh
3,SP,110,5,4.95608979030198,-11.6823427621771,2.95818585483651,conus_htdbh
4,VP,132,5,4.84443474499266,-9.68483956081692,2.61709312624028,conus_htdbh
5,LP,131,5,5.12358039716932,-14.6188636258103,3.89991706965602,conus_htdbh
6,OS,299,,,,,native_fallback
7,WP,129,6,119.557148917212,-0.055766421429091,1.01064303388876,conus_htdbh
8,WN,602,6,94.1761872112372,-0.0868548700989347,1.01201922264673,conus_htdbh
9,BN,601,5,4.65732873290113,-8.82340703136603,2.74937597806778,conus_htdbh
10,TL,690,4,2.98377855993712,-0.761254254836661,,conus_htdbh
11,TS,694,3,97.1817960787807,-0.0817428513508794,0.8671530822571,conus_htdbh
12,WT,691,3,97.2860690499266,-0.09753312973419,0.982197981151822,conus_htdbh
13,BG,693,5,4.86869792072567,-11.5978433923744,3.54523350966317,conus_htdbh
15,SH,407,5,4.97546634829028,-10.7912423082463,2.97457486133052,conus_htdbh
16,SL,405,6,109.376396002375,-0.072134742058345,1.07547937408899,conus_htdbh
17,MH,409,3,138.405849863886,-0.0501488378929495,0.889984615240066,conus_htdbh
18,PH,403,5,5.04752531090925,-11.512380469404,3.28729433431041,conus_htdbh
19,HI,400,2,7.16465643663271,-4.82944235512607,-0.156743767080729,conus_htdbh
20,WH,401,3,107.737997074816,-0.0663099062844626,0.849622713602943,conus_htdbh
21,BH,402,5,4.98195633306394,-10.5149299565272,3.01937395937721,conus_htdbh
22,PE,404,6,98.6800268545072,-0.0912589322239814,0.935401609295431,conus_htdbh
23,BI,408,3,91.879991122481,-0.0753350742003603,0.918515657810867,conus_htdbh
24,AB,531,2,7.84986632788297,-5.48439795206407,-0.154149330236053,conus_htdbh
25,BA,543,3,87.7421887305523,-0.0869744056319589,0.829859092962405,conus_htdbh
26,PA,545,5,4.90456022422093,-10.320735460161,3.21947125467444,conus_htdbh
27,UA,546,6,94.4817632929255,-0.116373340163741,0.875535836031788,conus_htdbh
28,EC,742,3,106.116502576543,-0.075306544995367,0.905899993245578,conus_htdbh
29,RM,316,6,96.3922448635395,-0.136953203364767,0.849299083187643,conus_htdbh
30,BE,313,3,63.8704363640289,-0.109011210766611,0.805967193376699,conus_htdbh
31,SV,317,3,94.597403448077,-0.0780278849482925,0.76768780170989,conus_htdbh
