fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,WP,119,6,98.3360280356443,-0.0306132741540001,1.39400847145559,conus_htdbh
2,WL,73,6,129.287605111401,-0.0562134070030147,1.15627303107274,conus_htdbh
3,DF,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,GF,17,5,5.19167461700587,-14.7149593606336,2.95428581083066,conus_htdbh
5,WH,263,5,5.39568773967056,-17.8041952551988,3.94162882514225,conus_htdbh
6,RC,242,2,6.4481516902473,-5.18899068589301,-0.318639253840949,conus_htdbh
7,LP,108,3,75.4722860888433,-0.162048795459456,1.45651682371468,conus_htdbh
8,ES,93,2,6.34153938530047,-5.38019071389928,-0.346288526148882,conus_htdbh
9,AF,19,5,4.86417179244512,-11.1689662425416,2.01282727686487,conus_htdbh
10,PP,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,MH,264,5,5.12328719696338,-18.0764699777001,3.33556535116655,conus_htdbh
12,WB,101,6,53.4613832350708,-0.0654514442528323,1.22439535158058,conus_htdbh
13,LM,113,6,45.4768303502727,-0.0846439902885189,1.09646932362652,conus_htdbh
14,LL,72,5,4.52699379401801,-9.22380746646572,1.92807096915182,conus_htdbh
15,PM,133,4,3.47301482353042,-9.52932267356753,,conus_htdbh
16,RM,66,4,3.08370326195617,-6.00909089979847,,conus_htdbh
17,PY,231,5,4.1592149589186,-12.8064670303966,4.14177286375702,conus_htdbh
18,AS,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
19,CO,740,4,4.44816838440389,-4.94467743698477,,conus_htdbh
20,MM,321,6,27.1099166406306,-0.205858295984719,1.2608062208517,conus_htdbh
21,PB,375,3,73.4146454771709,-0.125431847449098,0.874657743908028,conus_htdbh
22,OH,998,4,2.6502919183639,-0.559940419816323,,conus_htdbh
23,OS,299,,,,,native_fallback
