fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,OS,299,,,,,native_fallback
2,SP,117,2,7.94104508386922,-6.84193928383112,-0.218406315328303,conus_htdbh
3,DF,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,WF,15,2,8.10324958397867,-7.13301967345957,-0.216065139094872,conus_htdbh
5,MA,361,5,4.52619906138708,-9.06373459473923,2.32424406529696,conus_htdbh
6,IC,81,3,173.599436725932,-0.0270921718093439,1.11628978018754,conus_htdbh
7,BO,818,2,5.64763613805123,-3.93622852651285,-0.296272230187719,conus_htdbh
8,TO,631,6,101.449069041289,-0.0719295614874211,0.972842567192274,conus_htdbh
9,RF,20,5,5.36445886044206,-25.7762178151567,4.81282439781002,conus_htdbh
10,PP,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,OH,998,4,2.6502919183639,-0.559940419816323,,conus_htdbh
12,RW,211,6,225.953360456627,-0.0269330133470053,0.972319773620558,conus_htdbh
