fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,FR,10,1,4.23880215560263,-7.06473262308236,,conus_htdbh
2,JU,57,5,3.9608303704461,-11.9366135446312,7.25730989403742,conus_htdbh
3,PI,90,1,4.44729103207195,-5.56564650069738,,conus_htdbh
4,PU,107,6,81.0391741966962,-0.11266739629169,1.04844807822487,conus_htdbh
5,SP,110,5,4.95608979030198,-11.6823427621771,2.95818585483651,conus_htdbh
6,SA,111,6,94.130348942267,-0.0577815865884254,1.27402199230795,conus_htdbh
7,SR,115,3,142.893027964017,-0.0452255260386345,0.904028156495646,conus_htdbh
8,LL,121,3,90.209989936985,-0.130670552914133,1.34035060912447,conus_htdbh
9,TM,123,5,4.60870905684167,-9.76812215794682,2.53211545148401,conus_htdbh
10,PP,126,6,116.244771423034,-0.0572119754090533,0.937415611048893,conus_htdbh
11,PD,128,5,5.06668937980111,-16.5363853815677,4.23376880296317,conus_htdbh
12,WP,129,6,119.557148917212,-0.055766421429091,1.01064303388876,conus_htdbh
13,LP,131,5,5.12358039716932,-14.6188636258103,3.89991706965602,conus_htdbh
14,VP,132,5,4.84443474499266,-9.68483956081692,2.61709312624028,conus_htdbh
15,BY,221,6,100.083392610824,-0.064693399342334,1.13289468590407,conus_htdbh
16,PC,222,3,101.715749198549,-0.0810521701463759,0.987343870979504,conus_htdbh
17,HM,260,,,,,native_fallback
18,FM,311,3,90.7121347032055,-0.085418001074341,0.83040404381009,conus_htdbh
19,BE,313,3,63.8704363640289,-0.109011210766611,0.805967193376699,conus_htdbh
20,RM,316,6,96.3922448635395,-0.136953203364767,0.849299083187643,conus_htdbh
21,SV,317,3,94.597403448077,-0.0780278849482925,0.76768780170989,conus_htdbh
22,SM,318,3,86.8722151320408,-0.118466921733072,0.912923449941275,conus_htdbh
23,BU,330,5,6.09966545338436,-69.0153727611017,16.4302541048105,conus_htdbh
24,BB,370,2,4.79459462936925,-2.10718171924323,-0.315563319443269,conus_htdbh
25,SB,372,3,86.5942690929821,-0.111339234928666,0.836642957386161,conus_htdbh
26,AH,391,2,6.55522718226434,-4.02840839139553,-0.159841614930784,conus_htdbh
27,HI,400,2,7.16465643663271,-4.82944235512607,-0.156743767080729,conus_htdbh
28,CA,450,1,4.16965749876193,-3.51262283090321,,conus_htdbh
29,HB,460,5,7.3361397813616,-156.003373412876,36.4633925434479,conus_htdbh
30,RD,471,2,4.74292868094835,-2.33540001856959,-0.332606757466213,conus_htdbh
31,DW,491,3,39.8470167813583,-0.202844502971137,0.82558230849676,conus_htdbh
32,PS,521,3,119.943921392711,-0.0594261606448371,0.887362160186024,conus_htdbh
33,AB,531,2,7.84986632788297,-5.48439795206407,-0.154149330236053,conus_htdbh
34,AS,540,2,8.13606218879613,-5.56472946357305,-0.110078422262995,conus_htdbh
35,WA,541,3,108.923208769068,-0.0737459295532818,0.872822507398674,conus_htdbh
36,BA,543,3,87.7421887305523,-0.0869744056319589,0.829859092962405,conus_htdbh
37,GA,544,3,103.04238294783,-0.0741987271862411,0.844796506505631,conus_htdbh
38,HL,552,2,7.64517465712684,-5.36988449723511,-0.152339964578616,conus_htdbh
39,LB,555,2,5.69918303678809,-3.60850007478401,-0.318970562620752,conus_htdbh
