variant,method,n_params,sigma_median
acd,unknown,2130,0.6954265125
ak,variational_meanfield_eta005,2047,0.898211306
bc,variational_fullrank_auto,2128,0.768513
bm,variational_meanfield_eta005,2047,0.96639868475
ca,unknown,2158,0.817029796
ci,variational,2046,0.770117
cr,variational_meanfield_eta005,2097,1.05472663575
cs,unknown,2244,0.7581085885
ec,variational_meanfield_eta005,2085,0.97661186825
em,variational_meanfield_eta005,2049,0.88714397625
ie,variational_meanfield_eta005,2057,0.90791995
kt,unknown,2072,0.721874611
ls,unknown,2166,0.71328680775
nc,variational_meanfield_eta005,2073,0.91706578525
ne,variational_meanfield_eta005,2181,0.8165430225
oc,variational_fullrank_auto,2146,0.800564
on,variational_fullrank_auto,2160,0.70064
op,variational_meanfield_eta005,2101,0.95422767725
pn,variational_fullrank_auto,2086,0.803971
sn,variational_meanfield_eta005,2243,0.8438075235
so,variational_meanfield_eta005,2067,0.95747666175
tt,hmc,858,0.65679140925
ut,variational_meanfield_eta005,2061,1.11276041875
wc,variational_meanfield_eta005,2081,0.9245250075
ws,variational_meanfield_eta005,2107,0.99576940525
