variant,n,pooled_BA%,undist_BA%,undist_n,flatlost_BA%,flatlost_n,harvest_BA%,harvest_n
ne,70,12.6,1.7,36,16.3,11,33.4,23
acd,80,16.1,2.4,42,15.4,9,45.2,29
sn,75,38.7,1.6,16,18.5,1,51.5,58
ls,32,18.3,3.5,16,19.6,6,49.1,10
cs,27,23.5,7.0,10,34.8,5,33.5,12
ie,43,-0.2,-14.8,25,9.7,5,33.2,13
kt,34,37.9,8.6,14,168.1,1,65.0,19
ci,32,10.8,-1.4,19,11.0,1,45.9,12
em,5,28.6,-5.6,3,,0,229.0,2
bm,61,9.1,1.1,29,-8.0,7,35.0,25
cr,25,35.1,16.8,8,-2.2,3,71.0,14
tt,29,6.4,-9.6,13,,0,20.5,16
ut,24,20.2,7.8,12,24.4,5,42.5,7
ca,30,18.7,2.8,15,11.8,4,41.8,11
ws,30,20.2,2.4,15,12.7,4,45.8,11
nc,36,10.1,3.7,25,-5.5,3,69.6,8
so,36,-2.7,-9.1,25,-9.2,3,47.1,8
ec,61,-5.6,-17.0,29,-8.5,7,16.7,25
wc,61,12.4,1.9,29,10.5,7,32.7,25
oc,61,6.7,-6.1,29,7.2,7,29.3,25
op,56,4.5,-5.6,30,9.9,7,20.9,19
pn,61,18.5,10.2,29,14.5,7,36.0,25
