variant,def_BA,cal_BA,def_TPH,cal_TPH
BM,9.7,9.2,-31.7,-31.2
CA,10.1,11.2,34.8,34.3
CI,14.0,8.1,-13.8,-26.6
CR,38.6,38.9,2.6,2.5
CS,16.8,16.7,-2.1,-2.3
EC,-7.3,-7.3,-38.5,-38.7
EM,41.7,41.7,-7.8,-8.7
IE,19.8,8.4,-24.9,-36.7
KT,12.5,8.1,-28.9,-38.7
LS,24.1,23.9,1.1,0.5
NC,8.6,8.4,16.9,16.3
NE,12.9,12.7,-4.1,-4.1
OC,19.2,19.3,-3.3,-3.3
OP,18.9,19.4,3.3,2.6
PN,17.8,17.2,-17.9,-24.5
SN,29.9,30.4,-0.1,-0.7
SO,16.0,16.1,-8.4,-8.6
TT,17.6,18.6,-9.2,-9.2
UT,28.1,28.7,-9.2,-9.3
WC,12.7,12.3,-17.8,-19.1
WS,5.5,5.6,19.9,18.7
