"STATECD","UNITCD","COUNTYCD","PLOT","ID","SDImax.mean","SDImax.median"
1,1,129,1,"1-1-129-1",1562.85873827485,1571.3169802869
1,1,129,10,"1-1-129-10",759.814344431886,786.987366010143
1,1,129,100,"1-1-129-100",579.657259502621,569.456012014241
1,1,129,101,"1-1-129-101",716.375291993533,720.446808185917
1,1,129,102,"1-1-129-102",993.664065386135,989.300214498744
1,1,129,103,"1-1-129-103",624.987955381718,620.259397599744
1,1,129,104,"1-1-129-104",802.378971235349,813.157828498731
1,1,129,105,"1-1-129-105",465.479265691434,455.339958812768
1,1,129,106,"1-1-129-106",513.895301394874,533.894422722216
1,1,129,107,"1-1-129-107",791.313570207154,835.231959758027
1,1,129,108,"1-1-129-108",910.522896829178,839.763393171105
1,1,129,109,"1-1-129-109",1223.23069625207,1154.08448286552
1,1,129,11,"1-1-129-11",742.934470049848,748.841432676417
1,1,129,110,"1-1-129-110",507.340936191874,474.503344627033
1,1,129,111,"1-1-129-111",656.660370686313,603.671913050057
1,1,129,112,"1-1-129-112",1152.14794273094,1080.69574207736
1,1,129,113,"1-1-129-113",828.173831447551,853.763848171994
1,1,129,114,"1-1-129-114",1211.69968337842,1178.90692225056
1,1,129,115,"1-1-129-115",1230.80445241737,1094.67238124916
1,1,129,116,"1-1-129-116",856.581376120034,861.294903081859
1,1,129,117,"1-1-129-117",773.408586373462,762.706867978907
1,1,129,118,"1-1-129-118",939.295130127594,917.599025039717
1,1,129,119,"1-1-129-119",932.256130488118,935.284967580557
1,1,129,12,"1-1-129-12",783.667818943129,764.957377624921
1,1,129,120,"1-1-129-120",556.321322103575,595.671449490968
1,1,129,126,"1-1-129-126",871.148375078898,850.285970178971
1,1,129,127,"1-1-129-127",1420.67784137923,1391.38184620421
1,1,129,128,"1-1-129-128",919.352502676434,956.246088691542
1,1,129,129,"1-1-129-129",502.633000316678,505.390677312413
1,1,129,13,"1-1-129-13",745.525617536411,682.162010276684
1,1,129,130,"1-1-129-130",364.439012120086,368.72760345152
1,1,129,131,"1-1-129-131",1054.43839389961,1003.7603784651
1,1,129,132,"1-1-129-132",984.444917593851,800.701342472431
1,1,129,133,"1-1-129-133",422.118613943815,416.26354918237
1,1,129,134,"1-1-129-134",1799.62816475969,1815.67654528297
1,1,129,135,"1-1-129-135",569.936202737257,591.591818965227
1,1,129,136,"1-1-129-136",877.320621526816,846.16010714835
1,1,129,137,"1-1-129-137",654.722050225317,674.370828317666
1,1,129,138,"1-1-129-138",999.305128139935,1202.63163057724
1,1,129,139,"1-1-129-139",837.693673903741,837.52036804585
1,1,129,14,"1-1-129-14",772.599155299305,764.666361126095
1,1,129,140,"1-1-129-140",1008.35999085362,964.630890787369
1,1,129,142,"1-1-129-142",590.105987848328,560.960670111463
1,1,129,143,"1-1-129-143",666.808916180779,575.32191274684
1,1,129,146,"1-1-129-146",714.042164633479,588.973205166705
1,1,129,147,"1-1-129-147",469.035522223556,421.227859075307
1,1,129,15,"1-1-129-15",1015.1968884661,985.264575501801
1,1,129,16,"1-1-129-16",694.692974944256,682.459106587428
1,1,129,17,"1-1-129-17",1087.30279242206,1043.32189157399
1,1,129,18,"1-1-129-18",809.253555397179,821.077193937559
1,1,129,19,"1-1-129-19",727.977461520439,712.649178609011
1,1,129,2,"1-1-129-2",738.974958603847,748.784357155045
1,1,129,20,"1-1-129-20",741.981771457263,736.732247171544
1,1,129,21,"1-1-129-21",794.4693962805,786.338930942363
1,1,129,22,"1-1-129-22",1764.9598729584,1697.82838377423
1,1,129,23,"1-1-129-23",662.351841305027,689.447362700588
1,1,129,24,"1-1-129-24",883.507068354663,893.866237333407
1,1,129,25,"1-1-129-25",638.460554578363,616.454792494956
1,1,129,26,"1-1-129-26",455.248222134091,425.680031849394
1,1,129,27,"1-1-129-27",1089.80114346762,1054.54304158954
1,1,129,28,"1-1-129-28",993.819154367128,988.145692257475
1,1,129,29,"1-1-129-29",723.608945975116,765.392575237739
1,1,129,3,"1-1-129-3",1170.27115519002,1157.2535918498
1,1,129,30,"1-1-129-30",1087.86212007004,1082.79350376116
1,1,129,31,"1-1-129-31",788.07817814039,765.141384375031
1,1,129,32,"1-1-129-32",991.567343814949,986.651368462169
1,1,129,34,"1-1-129-34",1042.44527035861,1015.09527705396
1,1,129,35,"1-1-129-35",854.440498091661,876.351129503071
1,1,129,36,"1-1-129-36",828.413116710492,808.491466978723
1,1,129,37,"1-1-129-37",838.08136835074,807.775253470268
1,1,129,39,"1-1-129-39",1303.34695511553,1265.77281471034
1,1,129,4,"1-1-129-4",769.99447050744,721.362636522464
1,1,129,41,"1-1-129-41",1549.26680902992,1423.03410605074
1,1,129,42,"1-1-129-42",1086.04283235599,1066.95081413339
1,1,129,43,"1-1-129-43",658.493737831509,645.791722367962
1,1,129,44,"1-1-129-44",1206.09798322073,1204.50742626397
1,1,129,46,"1-1-129-46",1016.0250543923,1002.96639706109
1,1,129,47,"1-1-129-47",716.899003192371,703.954787425441
1,1,129,48,"1-1-129-48",759.414449710018,743.675581572248
1,1,129,49,"1-1-129-49",1019.86910772133,1007.64604275754
1,1,129,5,"1-1-129-5",1274.60037050823,1246.57951251331
1,1,129,50,"1-1-129-50",1018.44495606276,1005.75104378692
1,1,129,52,"1-1-129-52",929.15812038953,929.027247164369
1,1,129,53,"1-1-129-53",617.536355647855,625.181311662374
1,1,129,54,"1-1-129-54",490.663256037324,474.999383986434
1,1,129,55,"1-1-129-55",1826.26857060763,1629.67017585524
1,1,129,56,"1-1-129-56",685.719883530987,678.158128106428
1,1,129,57,"1-1-129-57",934.862821168025,938.599759756315
1,1,129,58,"1-1-129-58",717.757585561849,686.043051793987
1,1,129,59,"1-1-129-59",982.028760291913,953.550962295513
1,1,129,6,"1-1-129-6",748.979866478751,756.201643707876
1,1,129,60,"1-1-129-60",769.968498758784,735.380390054657
1,1,129,61,"1-1-129-61",440.651880117694,434.826034611337
1,1,129,62,"1-1-129-62",562.981816913804,564.277838166938
1,1,129,63,"1-1-129-63",779.161909190509,769.272276711414
1,1,129,64,"1-1-129-64",1082.72203858404,1078.89467710986
1,1,129,65,"1-1-129-65",767.515915894249,715.365261658663
1,1,129,66,"1-1-129-66",877.078651581677,830.423774236492
1,1,129,67,"1-1-129-67",820.661242586158,829.496485646397
1,1,129,68,"1-1-129-68",1020.19575625888,1032.19653140946
1,1,129,69,"1-1-129-69",545.680126486719,653.743274409836
1,1,129,7,"1-1-129-7",1038.02555224935,1017.74056259384
1,1,129,70,"1-1-129-70",973.178928040192,961.119390391823
1,1,129,71,"1-1-129-71",1103.17320797292,1000.61883830277
1,1,129,72,"1-1-129-72",1050.11798624959,1046.27354351451
1,1,129,73,"1-1-129-73",1269.99652804702,1105.98243629862
1,1,129,74,"1-1-129-74",642.134722655176,710.873190224565
1,1,129,75,"1-1-129-75",886.628203255655,888.926807664662
1,1,129,76,"1-1-129-76",945.917657454372,929.764838598248
1,1,129,77,"1-1-129-77",470.452940998812,448.160813965798
1,1,129,78,"1-1-129-78",445.284791523209,454.402207016854
1,1,129,79,"1-1-129-79",582.284886707196,569.673706861912
1,1,129,8,"1-1-129-8",657.635525159732,663.361755526094
1,1,129,80,"1-1-129-80",741.301406381212,703.291160119854
1,1,129,81,"1-1-129-81",868.589920074958,888.424900717549
1,1,129,82,"1-1-129-82",996.544216033575,985.14089541675
1,1,129,83,"1-1-129-83",600.948634417967,605.483989280906
1,1,129,84,"1-1-129-84",571.090135065115,582.509348866885
1,1,129,85,"1-1-129-85",1065.5602252479,1133.70577168502
1,1,129,86,"1-1-129-86",810.121609953915,810.119905102765
1,1,129,87,"1-1-129-87",1147.1549875768,1133.65289341675
1,1,129,88,"1-1-129-88",540.64289285019,535.85120706793
1,1,129,89,"1-1-129-89",760.08566244403,742.601171876122
1,1,129,9,"1-1-129-9",765.828299443456,746.886634706491
1,1,129,90,"1-1-129-90",967.106979856672,953.567996759143
1,1,129,91,"1-1-129-91",718.43906118959,699.006545096502
1,1,129,92,"1-1-129-92",1247.84968519988,1196.73225288062
1,1,129,93,"1-1-129-93",1170.99177555556,1210.12372508885
1,1,129,94,"1-1-129-94",834.609255186881,841.540164833361
1,1,129,95,"1-1-129-95",1157.08530490171,1143.2539182009
1,1,129,97,"1-1-129-97",809.149066854638,767.015579289555
1,1,129,98,"1-1-129-98",990.501623774752,947.310873537551
1,1,3,100,"1-1-3-100",1008.68361885334,975.251161892882
1,1,3,101,"1-1-3-101",600.145163383121,591.288349064405
1,1,3,102,"1-1-3-102",497.259451456898,486.654811219386
1,1,3,104,"1-1-3-104",1351.79805719976,1321.44393607715
1,1,3,105,"1-1-3-105",761.268994258712,671.316833517923
1,1,3,106,"1-1-3-106",1155.33890324589,1121.32113352999
1,1,3,108,"1-1-3-108",816.502735796863,835.246799491273
1,1,3,11,"1-1-3-11",981.22236432992,930.609039287495
1,1,3,111,"1-1-3-111",629.708120794502,643.347067901497
1,1,3,114,"1-1-3-114",528.692554328807,486.774251135143
1,1,3,115,"1-1-3-115",562.324800191946,567.86434339321
1,1,3,117,"1-1-3-117",667.628408128591,700.429336839275
1,1,3,118,"1-1-3-118",466.881984499897,467.566568940664
1,1,3,12,"1-1-3-12",583.954715354714,588.462130702217
1,1,3,120,"1-1-3-120",663.427180887873,716.448428147411
1,1,3,121,"1-1-3-121",935.27950994347,926.204097161084
1,1,3,123,"1-1-3-123",578.871216322539,623.564836191012
1,1,3,125,"1-1-3-125",384.772115760506,374.645860484018
1,1,3,126,"1-1-3-126",595.219543889328,572.290472254252
1,1,3,127,"1-1-3-127",285.860048421095,283.208346092283
1,1,3,128,"1-1-3-128",1078.97970643693,1060.04016893905
1,1,3,13,"1-1-3-13",567.002543566101,555.89702539191
1,1,3,130,"1-1-3-130",696.472332032384,704.316226401383
1,1,3,131,"1-1-3-131",355.107930873166,362.260460885949
1,1,3,132,"1-1-3-132",651.437820499281,616.225466898897
1,1,3,134,"1-1-3-134",867.422528763069,849.937160363361
1,1,3,137,"1-1-3-137",400.270370829729,391.069156997955
1,1,3,14,"1-1-3-14",544.696881220572,581.94595464368
1,1,3,141,"1-1-3-141",1061.9350012935,1028.97628707469
1,1,3,142,"1-1-3-142",934.500322687269,936.349565187503
1,1,3,143,"1-1-3-143",513.400100044655,517.871334314997
1,1,3,144,"1-1-3-144",734.189553278535,782.656374383204
1,1,3,145,"1-1-3-145",737.0576996431,709.2256762368
1,1,3,147,"1-1-3-147",671.285380548444,729.830408612362
1,1,3,149,"1-1-3-149",979.651263449086,950.440729851559
1,1,3,151,"1-1-3-151",1219.62295124565,1074.00412016372
1,1,3,152,"1-1-3-152",740.250115355607,713.190376456034
1,1,3,153,"1-1-3-153",1159.76402670489,1144.0745947034
1,1,3,154,"1-1-3-154",1027.85312341324,1015.76007353832
1,1,3,156,"1-1-3-156",1075.22808496174,1152.79607640585
1,1,3,159,"1-1-3-159",948.907856413808,855.737841166102
1,1,3,161,"1-1-3-161",688.651078246501,635.871479408465
1,1,3,162,"1-1-3-162",550.501518142273,525.815733234186
1,1,3,163,"1-1-3-163",644.507441878809,641.972853013154
1,1,3,164,"1-1-3-164",565.315964061413,552.324971993682
1,1,3,166,"1-1-3-166",1009.63457616173,1064.20405575377
1,1,3,167,"1-1-3-167",1128.83719065961,990.118219459103
1,1,3,169,"1-1-3-169",1282.46748559573,1269.33991405335
1,1,3,17,"1-1-3-17",719.554552776073,724.145861456886
1,1,3,170,"1-1-3-170",538.422113545524,517.524151079219
1,1,3,171,"1-1-3-171",927.69172715811,867.015240157006
1,1,3,172,"1-1-3-172",892.091788996868,890.892617004008
1,1,3,177,"1-1-3-177",770.457569119543,713.967694940701
1,1,3,178,"1-1-3-178",671.504206601207,671.633891677115
1,1,3,181,"1-1-3-181",583.081120688186,631.665678992303
1,1,3,183,"1-1-3-183",700.142743797946,735.837154920392
1,1,3,184,"1-1-3-184",861.031394990522,872.696890384654
1,1,3,187,"1-1-3-187",2218.63965052972,2201.26257665595
1,1,3,188,"1-1-3-188",1527.0897904036,1447.36412288636
1,1,3,189,"1-1-3-189",448.681332221328,510.373511342231
1,1,3,19,"1-1-3-19",386.413198583868,385.805128380969
1,1,3,190,"1-1-3-190",920.153848131924,862.666919406369
1,1,3,192,"1-1-3-192",332.997098639464,331.302429135605
1,1,3,194,"1-1-3-194",425.734332957318,466.284533448772
1,1,3,195,"1-1-3-195",777.961664156676,792.287611400822
1,1,3,197,"1-1-3-197",802.689303021109,723.393075535643
1,1,3,198,"1-1-3-198",677.775674153861,637.439276588534
1,1,3,199,"1-1-3-199",1514.71166970735,1487.8815082271
1,1,3,20,"1-1-3-20",1261.43248211219,1247.29700300785
1,1,3,200,"1-1-3-200",696.794791094589,805.19231645567
1,1,3,202,"1-1-3-202",595.125806775579,713.921366843247
1,1,3,203,"1-1-3-203",480.50706322864,531.611217560134
1,1,3,205,"1-1-3-205",953.236454718982,957.129353092613
1,1,3,206,"1-1-3-206",1059.50982228452,1041.97587446553
1,1,3,207,"1-1-3-207",816.257630231852,763.249625076591
1,1,3,208,"1-1-3-208",598.204826420831,619.203467025051
1,1,3,21,"1-1-3-21",1069.57661361938,1014.41503346905
1,1,3,212,"1-1-3-212",519.86890019082,428.987122736765
1,1,3,213,"1-1-3-213",553.584686744293,635.953567036435
1,1,3,214,"1-1-3-214",523.597436102306,525.467122783645
1,1,3,216,"1-1-3-216",552.096833896051,549.761167158616
1,1,3,217,"1-1-3-217",1053.02310369371,889.213392224277
1,1,3,219,"1-1-3-219",581.554410951151,542.489474086228
1,1,3,22,"1-1-3-22",387.19976512298,383.030603126362
1,1,3,221,"1-1-3-221",437.279434662986,415.718263487692
1,1,3,222,"1-1-3-222",2025.94810817568,1976.95680504058
1,1,3,223,"1-1-3-223",608.940643504402,574.732694451974
1,1,3,224,"1-1-3-224",470.424845098664,486.587996024653
1,1,3,225,"1-1-3-225",875.749415828904,879.961194752665
1,1,3,228,"1-1-3-228",511.48438204342,491.853428688483
1,1,3,230,"1-1-3-230",703.880047239714,677.958950542377
1,1,3,232,"1-1-3-232",1247.14755737349,1178.23145281179
1,1,3,233,"1-1-3-233",1008.84204396276,902.458745522413
1,1,3,234,"1-1-3-234",559.690446075473,519.099671915233
1,1,3,235,"1-1-3-235",1241.6400543587,1255.57433264867
1,1,3,238,"1-1-3-238",501.36797681522,477.732476415436
1,1,3,24,"1-1-3-24",1001.06694840792,1000.98433554561
1,1,3,241,"1-1-3-241",488.064543741635,470.965044152491
1,1,3,244,"1-1-3-244",1003.30045924937,959.006649870477
1,1,3,245,"1-1-3-245",483.195912490726,554.670875564584
1,1,3,248,"1-1-3-248",524.179223805085,519.21597315841
1,1,3,249,"1-1-3-249",681.046968858028,610.160874612646
1,1,3,250,"1-1-3-250",439.75486560176,448.695706436557
1,1,3,251,"1-1-3-251",876.169511172356,770.948192414536
1,1,3,252,"1-1-3-252",501.375641787581,490.655904564476
1,1,3,253,"1-1-3-253",1053.34492656786,1061.66200374891
1,1,3,255,"1-1-3-255",1533.79286232547,1499.12997464324
1,1,3,256,"1-1-3-256",622.116531335038,469.667791144534
1,1,3,258,"1-1-3-258",636.848776095113,681.812220784668
1,1,3,259,"1-1-3-259",607.082745131204,571.454680465052
1,1,3,26,"1-1-3-26",503.189818430825,463.420429493404
1,1,3,260,"1-1-3-260",802.060339239108,711.777128312668
1,1,3,261,"1-1-3-261",1336.40865195085,1379.66767124048
1,1,3,262,"1-1-3-262",599.399426942981,478.259511080924
1,1,3,263,"1-1-3-263",929.358984319529,964.0232205549
1,1,3,264,"1-1-3-264",1037.30714540395,998.193724100357
1,1,3,265,"1-1-3-265",386.865684649847,312.271195840946
1,1,3,27,"1-1-3-27",575.20077467848,609.43836349279
1,1,3,28,"1-1-3-28",687.705362073772,683.779162961678
1,1,3,29,"1-1-3-29",1028.25855595194,1042.85102940287
1,1,3,3,"1-1-3-3",284.697952322918,277.121534834785
1,1,3,31,"1-1-3-31",815.46453852341,787.643995897552
1,1,3,32,"1-1-3-32",848.339745919492,826.655728148437
1,1,3,33,"1-1-3-33",1535.10765838266,1502.09095653576
1,1,3,36,"1-1-3-36",674.913508443066,719.093430976609
1,1,3,37,"1-1-3-37",718.936918614172,766.111620460268
1,1,3,38,"1-1-3-38",1047.7039082713,1029.472497976
1,1,3,4,"1-1-3-4",493.715852753882,604.020722791468
1,1,3,40,"1-1-3-40",669.439793904049,639.097304011852
1,1,3,46,"1-1-3-46",865.624334675538,864.371773181976
1,1,3,47,"1-1-3-47",1525.16742200702,1501.98328612818
1,1,3,49,"1-1-3-49",640.43185041228,678.200488178887
1,1,3,5,"1-1-3-5",513.731546536982,495.757252005151
1,1,3,50,"1-1-3-50",459.680417522024,439.606803426429
1,1,3,51,"1-1-3-51",791.829952261543,797.399617976242
1,1,3,54,"1-1-3-54",1197.1530181287,1130.68338726923
1,1,3,55,"1-1-3-55",862.90782858957,807.410037686129
1,1,3,56,"1-1-3-56",564.562185801488,614.09206698376
1,1,3,57,"1-1-3-57",525.624129767463,450.566771991294
1,1,3,58,"1-1-3-58",1262.1575076857,1254.51070755608
1,1,3,59,"1-1-3-59",306.84556832881,332.820438271678
1,1,3,6,"1-1-3-6",971.944264405035,947.045424030786
1,1,3,60,"1-1-3-60",720.575089426782,724.668666064998
1,1,3,61,"1-1-3-61",573.882139999076,586.126810433984
1,1,3,63,"1-1-3-63",701.700504989156,812.279678009121
1,1,3,68,"1-1-3-68",1088.84157277618,985.540603837812
1,1,3,71,"1-1-3-71",607.500110300474,599.104496531541
1,1,3,73,"1-1-3-73",676.430868034045,651.926611025639
1,1,3,74,"1-1-3-74",765.646794842443,803.761013163699
1,1,3,76,"1-1-3-76",1293.93968890641,1305.08452200472
1,1,3,77,"1-1-3-77",882.916753291987,857.845930106699
1,1,3,78,"1-1-3-78",1006.99849437602,1025.2309227868
1,1,3,79,"1-1-3-79",705.993697987127,752.488107869963
1,1,3,8,"1-1-3-8",838.255362996266,812.588710660134
1,1,3,80,"1-1-3-80",334.737755944686,315.285369638397
1,1,3,81,"1-1-3-81",1175.75330266934,1177.25314274112
1,1,3,83,"1-1-3-83",990.937018718309,950.582879171646
1,1,3,84,"1-1-3-84",673.848647968014,670.972653809113
1,1,3,85,"1-1-3-85",1098.37911345002,1090.61691846164
1,1,3,86,"1-1-3-86",799.706645957385,823.446545631524
1,1,3,88,"1-1-3-88",803.680033730079,838.223719683937
1,1,3,9,"1-1-3-9",1410.29104052894,1378.02347980413
1,1,3,90,"1-1-3-90",604.163961577551,610.301994624814
1,1,3,91,"1-1-3-91",786.934886855198,856.706248654144
1,1,3,93,"1-1-3-93",892.493629158948,893.321148563832
1,1,3,94,"1-1-3-94",621.566281850485,632.433569327621
1,1,3,95,"1-1-3-95",348.825741655026,333.813663309795
1,1,3,96,"1-1-3-96",565.940419668569,537.773968581728
1,1,3,97,"1-1-3-97",1034.62049650297,934.372846727564
1,1,3,98,"1-1-3-98",479.028007480446,474.514146118756
1,1,3,99,"1-1-3-99",1241.40052896016,1223.60624816134
1,1,39,1,"1-1-39-1",463.533065123813,516.197191277724
1,1,39,102,"1-1-39-102",679.826988617502,639.021225511947
1,1,39,103,"1-1-39-103",1164.7584599394,1064.25052829472
1,1,39,106,"1-1-39-106",634.130189925389,614.638180515689
1,1,39,107,"1-1-39-107",1174.72505159201,1155.69090286003
1,1,39,108,"1-1-39-108",722.073948195538,662.8564792899
1,1,39,109,"1-1-39-109",866.963126412005,996.063415815953
1,1,39,110,"1-1-39-110",687.657453794054,676.223612442425
1,1,39,111,"1-1-39-111",955.55866996672,974.821858812757
1,1,39,113,"1-1-39-113",885.481909025511,832.630892363857
1,1,39,114,"1-1-39-114",566.685480339995,537.704133945302
1,1,39,115,"1-1-39-115",659.282755120435,626.751417138646
1,1,39,117,"1-1-39-117",623.487238843634,610.737801589664
1,1,39,118,"1-1-39-118",922.075023827396,997.965921574874
1,1,39,119,"1-1-39-119",724.121030287925,697.697596171916
1,1,39,121,"1-1-39-121",737.634154626646,839.255401999435
1,1,39,122,"1-1-39-122",350.159804452845,292.617934498717
1,1,39,123,"1-1-39-123",555.189212497042,387.973079014495
1,1,39,124,"1-1-39-124",700.097617473777,683.632783444345
1,1,39,125,"1-1-39-125",677.21207317704,643.136952608279
1,1,39,126,"1-1-39-126",928.732070140609,905.360941179513
1,1,39,13,"1-1-39-13",697.1013455439,686.670918385822
1,1,39,14,"1-1-39-14",698.046297971827,705.943026435973
1,1,39,15,"1-1-39-15",732.391121835259,740.937066079083
1,1,39,151,"1-1-39-151",503.830096713093,550.317773744498
1,1,39,152,"1-1-39-152",603.12859321144,547.993256009316
1,1,39,154,"1-1-39-154",753.666114917627,785.422382655564
1,1,39,157,"1-1-39-157",995.034817801209,1014.76236936972
1,1,39,158,"1-1-39-158",1103.89454132965,1107.69927103265
1,1,39,16,"1-1-39-16",673.577541886927,706.452617658185
1,1,39,160,"1-1-39-160",825.907241200867,820.745178606468
1,1,39,161,"1-1-39-161",770.556335865557,775.167735651276
1,1,39,162,"1-1-39-162",644.155387437798,649.544339138663
1,1,39,163,"1-1-39-163",1298.43083808714,1211.71534199484
1,1,39,164,"1-1-39-164",957.597017443818,943.701314822876
1,1,39,166,"1-1-39-166",648.853780176839,779.83236160134
1,1,39,167,"1-1-39-167",467.777049328578,509.269276490845
1,1,39,168,"1-1-39-168",622.982509176167,581.129820435921
1,1,39,169,"1-1-39-169",359.260363785136,361.89907184338
1,1,39,17,"1-1-39-17",1005.74352567191,950.946191447793
1,1,39,170,"1-1-39-170",553.247770762895,561.292826320684
1,1,39,171,"1-1-39-171",1199.52243679442,1292.51336198742
1,1,39,172,"1-1-39-172",506.161578687208,449.976205748365
1,1,39,173,"1-1-39-173",962.191105790255,926.524142526501
1,1,39,174,"1-1-39-174",531.833605224796,515.64246891651
1,1,39,175,"1-1-39-175",1036.06754075792,1008.09013693509
1,1,39,176,"1-1-39-176",1013.86817957517,1003.92342006013
1,1,39,177,"1-1-39-177",503.846434955173,502.588320355485
1,1,39,178,"1-1-39-178",712.955391026701,676.18398766507
1,1,39,179,"1-1-39-179",819.544043927643,843.055294745737
1,1,39,18,"1-1-39-18",945.724107027382,903.542468031867
1,1,39,180,"1-1-39-180",458.07743737325,404.957950924907
1,1,39,19,"1-1-39-19",482.032969872158,471.13673819578
1,1,39,2,"1-1-39-2",1187.90583804411,1199.75352451705
1,1,39,20,"1-1-39-20",577.298164500433,577.022867186006
1,1,39,21,"1-1-39-21",1039.04864972165,996.17732233108
1,1,39,22,"1-1-39-22",496.76540719532,566.807721555435
1,1,39,23,"1-1-39-23",654.390143181634,645.482215032889
1,1,39,24,"1-1-39-24",1102.21107034954,919.717422483256
1,1,39,25,"1-1-39-25",1142.30101915119,1057.66101169782
1,1,39,26,"1-1-39-26",741.563207149473,717.880126191778
1,1,39,27,"1-1-39-27",871.660003492291,859.321545203018
1,1,39,28,"1-1-39-28",872.274611114978,920.997338058691
1,1,39,29,"1-1-39-29",362.859130880915,352.69242479287
1,1,39,3,"1-1-39-3",1151.50010283785,1022.82787060605
1,1,39,30,"1-1-39-30",464.75870946415,443.7629518722
1,1,39,31,"1-1-39-31",875.177443692352,859.884601178226
1,1,39,32,"1-1-39-32",1202.23571424974,1139.14034603039
1,1,39,33,"1-1-39-33",656.456016440643,666.043282177693
1,1,39,34,"1-1-39-34",992.176871847035,979.006774777321
1,1,39,35,"1-1-39-35",435.881452655838,400.39760984219
1,1,39,36,"1-1-39-36",613.079044964426,636.835649189451
1,1,39,37,"1-1-39-37",1163.36907261354,1002.0076408761
1,1,39,38,"1-1-39-38",810.616388702852,784.860955363234
1,1,39,4,"1-1-39-4",867.028890693709,869.974590655249
1,1,39,40,"1-1-39-40",463.837889987954,438.69352133149
1,1,39,42,"1-1-39-42",982.947596539894,955.237013197386
1,1,39,43,"1-1-39-43",706.392744111678,695.291999909431
1,1,39,44,"1-1-39-44",883.380522153258,893.783117344241
1,1,39,45,"1-1-39-45",563.980549294449,537.397895765164
1,1,39,46,"1-1-39-46",980.56767795077,949.314722027024
1,1,39,48,"1-1-39-48",605.405803147263,595.473111589093
1,1,39,49,"1-1-39-49",555.264676327741,564.038351206994
1,1,39,5,"1-1-39-5",940.168318256216,924.312170745644
1,1,39,50,"1-1-39-50",999.225737329871,971.679818389983
1,1,39,51,"1-1-39-51",958.290552658233,900.496953894275
