variant,n_fia_plots,n_brms_match,match_rate_pct,SDImax_median,SDImax_p10,SDImax_p90
ne,66732,42156,63.2,370.0,229.0,543.0
acd,33643,24684,73.4,386.0,251.0,568.0
sn,196282,80671,41.1,337.0,209.0,495.0
ls,341358,97067,28.4,322.0,191.0,491.0
cs,144607,28763,19.9,303.0,196.0,446.0
ie,73719,16694,22.6,307.0,167.0,525.0
kt,73719,16694,22.6,307.0,167.0,525.0
ci,26876,7580,28.2,314.0,173.0,548.0
cr,62919,13874,22.1,317.0,175.0,538.0
ut,67765,12556,18.5,265.0,147.0,471.0
ca,43814,12877,29.4,347.0,158.0,676.0
nc,85008,37428,44.0,347.0,165.0,655.0
ec,64293,38317,59.6,371.0,180.0,685.0
wc,64293,38317,59.6,371.0,180.0,685.0
pn,64293,38317,59.6,371.0,180.0,685.0
