variant,n,inject,def_BA,cal_BA,def_TPH,cal_TPH,def_QMD,cal_QMD,def_VOL,cal_VOL
ne,112,1,9.9,9.7,-11.4,-4.4,8.7,2.9,24.0,22.9
acd,145,1,6.3,5.0,-18.0,-12.3,9.9,5.0,13.1,10.9
sn,97,1,15.2,14.0,-13.8,-0.5,14.9,5.7,14.1,9.6
ls,64,0,16.8,13.2,-4.1,-9.9,7.2,7.7,21.1,18.4
cs,40,0,20.4,18.3,6.3,4.0,3.8,3.6,20.5,18.5
ie,47,1,-0.9,-2.9,-24.0,-13.0,10.3,2.1,-11.6,-14.6
kt,45,1,12.4,5.3,-40.2,-16.5,26.3,3.9,18.6,7.1
ci,44,1,-0.3,-4.1,-22.0,-8.0,8.7,-1.8,-11.4,-15.5
cr,19,0,25.9,20.3,7.6,1.1,4.4,4.2,33.6,28.8
ut,13,1,13.1,11.4,-20.6,-7.6,13.8,4.6,54.5,49.9
ca,40,0,7.6,4.6,3.9,-1.4,4.8,4.9,8.4,7.0
nc,54,1,6.0,8.5,-10.7,4.4,18.4,9.4,-8.0,-5.2
ec,77,1,-13.2,-1.5,-30.8,-6.1,14.7,-2.2,-16.9,-6.4
wc,77,1,4.5,2.3,-16.7,-14.6,6.4,0.7,-2.2,-3.6
pn,77,1,11.4,7.7,-16.9,-17.1,9.8,4.1,12.3,10.1
