level,n,def,cal,dimension,metric
kt,45,12.3738006213623,5.262464744847,variant,BA
ie,47,-0.874157173042618,-2.94081515996045,variant,BA
ci,44,-0.29965843034116,-4.11024791802363,variant,BA
ec,77,-13.1825902100823,-1.50506236982016,variant,BA
wc,77,4.54846590002794,2.2760465782499,variant,BA
pn,77,11.3685709084531,7.73645252289037,variant,BA
nc,54,5.99026334825065,8.51048877778131,variant,BA
ca,40,7.59438028828773,4.64458939189825,variant,BA
ne,112,9.92551251117198,9.69007637232854,variant,BA
cs,40,20.4484454277417,18.3155259023151,variant,BA
ls,64,16.7634562235805,13.1507026951001,variant,BA
acd,145,6.28334670363159,4.97408444384193,variant,BA
sn,97,15.1598637402889,14.0188902373507,variant,BA
kt,45,-40.2176066363134,-16.5199726024431,variant,TPH
ie,47,-23.9575455829357,-12.9733423795607,variant,TPH
ci,44,-21.9810715980138,-7.96109347137067,variant,TPH
ec,77,-30.775159866283,-6.13598857868467,variant,TPH
wc,77,-16.6626754715539,-14.6085104672175,variant,TPH
pn,77,-16.8582012163813,-17.1055241403038,variant,TPH
nc,54,-10.745986642937,4.44972500976904,variant,TPH
ca,40,3.85840590280696,-1.38760257495827,variant,TPH
ne,112,-11.397433233234,-4.41261193775719,variant,TPH
cs,40,6.30709425224962,4.04664416792486,variant,TPH
ls,64,-4.12568943130008,-9.92124910520376,variant,TPH
acd,145,-18.0127358220018,-12.2599435950016,variant,TPH
sn,97,-13.7683473076495,-0.461722745237498,variant,TPH
kt,45,26.3499666901186,3.91393161086074,variant,QMD
ie,47,10.340003751744,2.1276581910039,variant,QMD
ci,44,8.69669117566314,-1.80128464047327,variant,QMD
ec,77,14.6719539655304,-2.17933035691713,variant,QMD
wc,77,6.3725848271476,0.660132085619106,variant,QMD
pn,77,9.77005348922181,4.13343640588536,variant,QMD
nc,54,18.4408513265563,9.41363658872724,variant,QMD
ca,40,4.81526290743824,4.90615053811307,variant,QMD
ne,112,8.71421692020138,2.91755574230691,variant,QMD
cs,40,3.77754844163363,3.63237937495811,variant,QMD
ls,64,7.1737462043929,7.6828136606382,variant,QMD
acd,145,9.93343165748055,5.02060340628892,variant,QMD
sn,97,14.912462293058,5.68530430856413,variant,QMD
kt,45,18.636214247363,7.12596506656306,variant,VOL
ie,47,-11.59607308447,-14.6145924632907,variant,VOL
ci,44,-11.3795791881368,-15.5145085116555,variant,VOL
ec,77,-16.8725034101972,-6.4389187850837,variant,VOL
wc,77,-2.2206164628737,-3.59455918075663,variant,VOL
pn,77,12.3011628717566,10.0560609636519,variant,VOL
nc,54,-8.04527632849862,-5.22592143194445,variant,VOL
ca,40,8.43381162585271,7.02077773811061,variant,VOL
ne,112,23.9862135487244,22.8974365924152,variant,VOL
cs,40,20.519793014217,18.5362174105403,variant,VOL
ls,64,21.0708138855364,18.3647539548134,variant,VOL
acd,145,13.087798979416,10.8864428817282,variant,VOL
sn,97,14.0823182483984,9.56199986501293,variant,VOL
6.2,65,9.24342977259365,5.57864537781778,ecoL2,BA
8.1,23,4.44847139670505,2.4477273944882,ecoL2,BA
6.2,65,-27.4784117477095,-17.8578415039589,ecoL2,TPH
8.1,23,-24.2413052355846,-21.1211799470429,ecoL2,TPH
6.2,65,19.7555070479727,10.3618553933636,ecoL2,QMD
8.1,23,11.5232562848164,6.77131258346006,ecoL2,QMD
6.2,65,9.38847702678043,4.69494373714382,ecoL2,VOL
8.1,23,19.8274539559913,17.8252652449324,ecoL2,VOL
Private,55,8.15567609900942,6.46722706616691,landowner,BA
National Forest,56,10.3937311994275,6.9937896812575,landowner,BA
Private,55,-17.0518017142053,-10.0233351540392,landowner,TPH
National Forest,56,-25.3523324007092,-17.5872626635806,landowner,TPH
Private,55,12.0947554939147,4.95979711325114,landowner,QMD
National Forest,56,19.4606566206059,10.7971979889015,landowner,QMD
Private,55,11.681405520232,9.02506377050767,landowner,VOL
National Forest,56,12.4076197494355,8.06121663003232,landowner,VOL
