variant,arm,n_undist,BA%,TPH%,QMD%
ne,default,51,10.4,-11.3,12.1
ne,BAIMULT0.90,51,9.6,-11.0,11.4
ne,BAIMULT0.80,51,8.7,-10.7,10.7
ne,BAIMULT0.70,51,7.9,-10.5,10.0
sn,default,45,16.8,-21.6,23.6
sn,BAIMULT0.90,45,15.6,-21.1,22.6
sn,BAIMULT0.80,45,14.3,-20.7,21.6
sn,BAIMULT0.70,45,13.0,-20.2,20.6
kt,default,26,8.1,-49.4,30.3
kt,BAIMULT0.90,26,4.8,-49.5,28.3
kt,BAIMULT0.80,26,1.4,-49.7,26.2
kt,BAIMULT0.70,26,-2.0,-49.8,24.1
nc,default,28,5.2,-15.7,15.8
nc,BAIMULT0.90,28,3.6,-14.7,14.5
nc,BAIMULT0.80,28,2.0,-13.5,13.2
nc,BAIMULT0.70,28,0.5,-12.3,11.9
